Cód.IBGE_6,Cód.IBGE_7,UF,Município,2020,2021,2022,2023,2024,2025
110001,1100015,RO,Alta Floresta D'Oeste,22'728,22'516,21'494,23'081,22'853,22'787
110002,1100023,RO,Ariquemes,109'523,111'148,96'833,107'677,108'573,109'170
110003,1100031,RO,Cabixi,5'188,5'067,5'351,5'746,5'690,5'664
110004,1100049,RO,Cacoal,85'893,86'416,86'887,96'530,97'637,98'280
110005,1100056,RO,Cerejeiras,16'204,16'088,15'890,17'047,16'975,16'966
110006,1100064,RO,Colorado do Oeste,15'544,15'213,15'663,16'806,16'588,16'508
110007,1100072,RO,Corumbiara,7'220,7'052,7'519,8'075,8'001,7'968
110008,1100080,RO,Costa Marques,18'798,19'255,12'627,13'608,13'522,13'510
110009,1100098,RO,Espigão D'Oeste,32'695,33'009,29'414,32'587,32'717,32'842
110010,1100106,RO,Guajará-Mirim,46'556,46'930,39'387,43'685,43'553,43'594
110011,1100114,RO,Jaru,51'620,51'469,50'591,55'595,55'583,55'682
110012,1100122,RO,Ji-Paraná,130'009,131'026,124'333,138'274,139'359,140'101
110013,1100130,RO,Machadinho D'Oeste,40'867,41'724,30'707,34'046,34'063,34'149
110014,1100148,RO,Nova Brasilândia D'Oeste,20'489,20'504,15'679,16'811,16'504,16'374
110015,1100155,RO,Ouro Preto do Oeste,35'737,35'445,35'044,38'869,38'681,38'684
110018,1100189,RO,Pimenta Bueno,36'881,37'098,35'079,38'856,39'053,39'220
110020,1100205,RO,Porto Velho,539'354,548'952,460'434,511'343,514'873,517'709
110025,1100254,RO,Presidente Médici,18'571,18'165,19'327,20'761,20'518,20'443
110026,1100262,RO,Rio Crespo,3'804,3'843,3'471,3'722,3'753,3'767
110028,1100288,RO,Rolim de Moura,55'407,55'748,56'406,61'885,62'559,62'959
110029,1100296,RO,Santa Luzia D'Oeste,6'216,5'942,7'419,7'977,7'877,7'837
110030,1100304,RO,Vilhena,102'211,104'517,95'832,106'700,108'528,109'651
110032,1100320,RO,São Miguel do Guaporé,23'077,23'147,21'635,22'271,22'267,22'305
110033,1100338,RO,Nova Mamoré,31'392,32'184,25'444,28'166,28'496,28'701
110034,1100346,RO,Alvorada D'Oeste,14'106,13'807,13'117,14'098,13'837,13'720
110037,1100379,RO,Alto Alegre dos Parecis,13'255,13'268,11'479,12'360,12'263,12'237
110040,1100403,RO,Alto Paraíso,21'847,22'258,16'320,17'518,17'463,17'467
110045,1100452,RO,Buritis,40'356,41'043,27'992,31'026,30'729,30'649
110050,1100502,RO,Novo Horizonte do Oeste,8'329,8'125,7'667,8'215,8'056,7'972
110060,1100601,RO,Cacaulândia,6'269,6'307,4'150,4'398,4'345,4'292
110070,1100700,RO,Campo Novo de Rondônia,14'266,14'391,8'844,9'436,9'225,9'095
110080,1100809,RO,Candeias do Jamari,27'388,28'068,22'310,23'947,24'163,24'313
110090,1100908,RO,Castanheiras,2'987,2'923,3'233,3'447,3'456,3'450
110092,1100924,RO,Chupinguaia,11'472,11'755,9'324,10'020,10'129,10'191
110094,1100940,RO,Cujubim,26'183,27'131,14'863,15'926,15'883,15'877
110100,1101005,RO,Governador Jorge Teixeira,7'445,7'130,8'001,8'556,8'420,8'340
110110,1101104,RO,Itapuã do Oeste,10'641,10'819,8'548,9'184,9'209,9'228
110120,1101203,RO,Ministro Andreazza,9'559,9'461,6'466,6'837,6'657,6'519
110130,1101302,RO,Mirante da Serra,10'818,10'691,9'235,9'918,9'740,9'657
110140,1101401,RO,Monte Negro,16'007,16'158,11'548,12'411,12'241,12'168
110143,1101435,RO,Nova União,6'895,6'822,6'200,6'656,6'577,6'541
110145,1101450,RO,Parecis,6'198,6'319,4'125,4'405,4'390,4'372
110146,1101468,RO,Pimenteiras do Oeste,2'148,2'127,2'156,2'286,2'311,2'309
110147,1101476,RO,Primavera de Rondônia,2'776,2'697,3'076,3'282,3'279,3'268
110148,1101484,RO,São Felipe D'Oeste,5'066,4'962,5'258,5'653,5'605,5'588
110149,1101492,RO,São Francisco do Guaporé,20'681,21'088,16'286,17'465,17'511,17'557
110150,1101500,RO,Seringueiras,11'851,11'846,11'171,12'983,12'954,12'965
110155,1101559,RO,Teixeirópolis,4'233,4'160,4'256,4'569,4'536,4'521
110160,1101609,RO,Theobroma,10'395,10'348,8'113,8'692,8'540,8'459
110170,1101708,RO,Urupá,11'272,11'081,10'725,11'533,11'377,11'314
110175,1101757,RO,Vale do Anari,11'377,11'545,7'788,8'358,8'265,8'220
110180,1101807,RO,Vale do Paraíso,6'656,6'490,6'479,6'958,6'843,6'790
120001,1200013,AC,Acrelândia,15'490,15'721,14'021,14'589,14'657,14'712
120005,1200054,AC,Assis Brasil,7'534,7'649,8'100,8'420,8'573,8'648
120010,1200104,AC,Brasiléia,26'702,27'123,26'000,27'491,27'841,28'028
120013,1200138,AC,Bujari,10'420,10'572,12'917,13'431,13'766,13'928
120017,1200179,AC,Capixaba,12'008,12'280,10'392,10'834,10'922,10'981
120020,1200203,AC,Cruzeiro do Sul,89'072,89'760,91'888,97'662,98'382,98'916
120025,1200252,AC,Epitaciolândia,18'696,18'979,18'757,19'496,19'739,19'874
120030,1200302,AC,Feijó,34'884,34'986,35'426,37'572,37'644,37'764
120032,1200328,AC,Jordão,8'473,8'628,9'222,9'567,9'787,9'884
120033,1200336,AC,Mâncio Lima,19'311,19'643,19'294,20'076,20'329,20'479
120034,1200344,AC,Manoel Urbano,9'581,9'701,11'996,12'442,12'776,12'923
120035,1200351,AC,Marechal Thaumaturgo,19'299,19'727,17'093,17'798,17'951,18'057
120038,1200385,AC,Plácido de Castro,19'955,20'147,16'560,17'230,17'127,17'107
120039,1200393,AC,Porto Walter,12'241,12'497,10'735,11'171,11'275,11'333
120040,1200401,AC,Rio Branco,413'418,419'452,364'756,387'662,387'852,389'001
120042,1200427,AC,Rodrigues Alves,19'351,19'767,14'938,15'555,15'537,15'560
120043,1200435,AC,Santa Rosa do Purus,6'717,6'893,6'723,6'942,7'143,7'217
120045,1200450,AC,Senador Guiomard,23'236,23'446,21'454,22'359,22'352,22'402
120050,1200500,AC,Sena Madureira,46'511,47'168,41'343,43'867,43'916,44'049
120060,1200609,AC,Tarauacá,43'151,43'730,43'467,46'058,46'517,46'816
120070,1200708,AC,Xapuri,19'596,19'866,18'243,18'979,19'090,19'170
120080,1200807,AC,Porto Acre,18'824,19'141,16'693,17'381,17'455,17'523
130002,1300029,AM,Alvarães,16'220,16'396,15'866,16'535,16'670,16'806
130006,1300060,AM,Amaturá,11'736,11'934,10'819,11'316,11'411,11'533
130008,1300086,AM,Anamã,13'956,14'292,9'962,10'343,10'318,9'981
130010,1300102,AM,Anori,21'477,21'937,17'194,17'913,17'932,18'056
