semana_inicio,municipio_v17,observado,esperado,esperado_ajustado,razao_obs_esp,aglomerado_emergente,janela_semanas,regional_v17
2026-05-04,SINOP,2.0,0.07692307692307693,0.25,8.0,1,4,SINOP
2026-04-27,SINOP,2.0,0.07692307692307693,0.25,8.0,1,4,SINOP
2026-04-20,SINOP,2.0,0.07692307692307693,0.25,8.0,1,4,SINOP
2026-04-13,SINOP,2.0,0.07692307692307693,0.25,8.0,1,4,SINOP
2026-05-11,JUARA,1.0,0.0,0.25,4.0,0,4,JUARA
2025-12-29,RONDONOPOLIS,1.0,0.07692307692307693,0.25,4.0,0,4,RONDONOPOLIS
2025-12-22,RONDONOPOLIS,1.0,0.07692307692307693,0.25,4.0,0,4,RONDONOPOLIS
2025-12-15,RONDONOPOLIS,1.0,0.07692307692307693,0.25,4.0,0,4,RONDONOPOLIS
2025-12-08,RONDONOPOLIS,1.0,0.07692307692307693,0.25,4.0,0,4,RONDONOPOLIS
2025-11-24,VARZEA GRANDE,1.0,0.0,0.25,4.0,0,4,CUIABA
2025-11-17,VARZEA GRANDE,1.0,0.0,0.25,4.0,0,4,CUIABA
2025-11-10,VARZEA GRANDE,1.0,0.0,0.25,4.0,0,4,CUIABA
