perfil,regional_v17,arquivo,n_itens_criticos,canal_sugerido
CIEVS_ESTADUAL,ESTADO,DIGEST_CIEVS_ESTADUAL.md,229,e-mail coordenação CIEVS / reunião diária
COORD_REGIONAL,AGUA BOA,DIGEST_AGUA_BOA.md,17,e-mail / WhatsApp da regional de saúde
COORD_REGIONAL,ALTA FLORESTA,DIGEST_ALTA_FLORESTA.md,13,e-mail / WhatsApp da regional de saúde
COORD_REGIONAL,BARRA DO GARCAS,DIGEST_BARRA_DO_GARCAS.md,15,e-mail / WhatsApp da regional de saúde
COORD_REGIONAL,CACERES,DIGEST_CACERES.md,17,e-mail / WhatsApp da regional de saúde
COORD_REGIONAL,COLIDER,DIGEST_COLIDER.md,8,e-mail / WhatsApp da regional de saúde
COORD_REGIONAL,CUIABA,DIGEST_CUIABA.md,36,e-mail / WhatsApp da regional de saúde
COORD_REGIONAL,DIAMANTINO,DIGEST_DIAMANTINO.md,4,e-mail / WhatsApp da regional de saúde
COORD_REGIONAL,JUARA,DIGEST_JUARA.md,10,e-mail / WhatsApp da regional de saúde
COORD_REGIONAL,JUINA,DIGEST_JUINA.md,10,e-mail / WhatsApp da regional de saúde
COORD_REGIONAL,PEIXOTO DE AZEVEDO,DIGEST_PEIXOTO_DE_AZEVEDO.md,9,e-mail / WhatsApp da regional de saúde
COORD_REGIONAL,PONTES E LACERDA,DIGEST_PONTES_E_LACERDA.md,11,e-mail / WhatsApp da regional de saúde
COORD_REGIONAL,PORTO ALEGRE DO NORTE,DIGEST_PORTO_ALEGRE_DO_NORTE.md,6,e-mail / WhatsApp da regional de saúde
COORD_REGIONAL,RONDONOPOLIS,DIGEST_RONDONOPOLIS.md,36,e-mail / WhatsApp da regional de saúde
COORD_REGIONAL,SAO FELIX DO ARAGUAIA,DIGEST_SAO_FELIX_DO_ARAGUAIA.md,1,e-mail / WhatsApp da regional de saúde
COORD_REGIONAL,SINOP,DIGEST_SINOP.md,19,e-mail / WhatsApp da regional de saúde
COORD_REGIONAL,TANGARA DA SERRA,DIGEST_TANGARA_DA_SERRA.md,17,e-mail / WhatsApp da regional de saúde
LAB_REFERENCIA,LACEN/GAL,DIGEST_LAB_REFERENCIA.md,29,e-mail LACEN / referência laboratorial
