semana_epi_v17,classificacao_agrupada_v17,minimo,q25,media,mediana,q75,maximo,p95,observado,ano_observado
1,Doença meningocócica,1,1.75,2.5,2.5,3.25,4,3.8499999999999996,0.0,2026
1,Meningite bacteriana/outras bactérias,1,1.0,1.2,1.0,1.0,2,1.7999999999999998,1.0,2026
1,Meningite fúngica,1,1.5,2.0,2.0,2.5,3,2.9,0.0,2026
1,Meningite não especificada,1,1.0,1.7142857142857142,1.5,2.0,4,3.3499999999999996,1.0,2026
1,Meningite pneumocócica,2,2.0,2.0,2.0,2.0,2,2.0,0.0,2026
1,Meningite viral/asséptica,1,1.0,2.375,2.0,2.25,7,5.599999999999998,0.0,2026
1,Outras etiologias,1,1.75,2.5,2.0,3.25,5,4.25,3.0,2026
2,Doença meningocócica,1,1.5,1.6666666666666667,2.0,2.0,2,2.0,0.0,2026
2,Meningite bacteriana/outras bactérias,1,1.0,1.125,1.0,1.0,2,1.6499999999999995,0.0,2026
2,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
2,Meningite não especificada,1,1.0,2.0,1.0,3.0,5,4.449999999999999,0.0,2026
2,Meningite pneumocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
2,Meningite viral/asséptica,1,1.0,1.9090909090909092,1.0,2.0,6,5.0,1.0,2026
2,Outras etiologias,1,1.0,3.0,2.0,3.25,8,8.0,5.0,2026
3,Doença meningocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
3,Meningite bacteriana/outras bactérias,1,1.0,2.0,1.5,2.5,4,3.6999999999999993,0.0,2026
3,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
3,Meningite não especificada,1,1.0,1.5714285714285714,1.0,2.0,3,2.6999999999999993,0.0,2026
3,Meningite pneumocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
3,Meningite viral/asséptica,1,1.0,1.7272727272727273,1.0,2.0,6,4.0,0.0,2026
3,Outras etiologias,1,1.0,2.3125,2.0,3.0,6,4.5,4.0,2026
4,Doença meningocócica,1,1.0,1.3333333333333333,1.0,1.5,2,1.9,0.0,2026
4,Meningite bacteriana/outras bactérias,1,1.0,1.1428571428571428,1.0,1.0,2,1.6999999999999993,1.0,2026
4,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
4,Meningite não especificada,1,1.0,1.8461538461538463,2.0,2.0,4,3.3999999999999986,0.0,2026
4,Meningite pneumocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
4,Meningite tuberculosa,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
4,Meningite viral/asséptica,1,1.0,1.7777777777777777,2.0,2.0,3,2.5999999999999996,1.0,2026
4,Outras etiologias,1,1.0,2.611111111111111,2.0,3.0,9,7.299999999999997,3.0,2026
5,Doença meningocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
5,Meningite bacteriana/outras bactérias,1,1.0,1.25,1.0,1.25,2,1.8499999999999996,0.0,2026
5,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
5,Meningite não especificada,1,1.0,2.0,2.0,2.0,4,4.0,0.0,2026
5,Meningite pneumocócica,1,1.25,1.5,1.5,1.75,2,1.95,0.0,2026
5,Meningite tuberculosa,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
5,Meningite viral/asséptica,1,1.0,1.3333333333333333,1.0,2.0,2,2.0,0.0,2026
5,Outras etiologias,1,2.0,2.6875,2.0,3.0,8,5.75,4.0,2026
6,Doença meningocócica,1,1.0,1.2,1.0,1.0,2,1.7999999999999998,0.0,2026
6,Meningite bacteriana/outras bactérias,1,1.0,1.5714285714285714,1.0,2.0,3,3.0,0.0,2026
6,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
6,Meningite não especificada,1,1.0,1.7692307692307692,1.0,1.0,8,4.999999999999993,2.0,2026
6,Meningite viral/asséptica,1,1.0,1.4545454545454546,1.0,2.0,2,2.0,1.0,2026
6,Outras etiologias,1,1.0,2.6470588235294117,2.0,3.0,11,6.199999999999996,3.0,2026
7,Meningite bacteriana/outras bactérias,1,1.0,1.2727272727272727,1.0,1.5,2,2.0,0.0,2026
7,Meningite fúngica,1,1.0,1.1111111111111112,1.0,1.0,2,1.5999999999999996,0.0,2026
7,Meningite não especificada,1,1.0,2.5,2.5,4.0,4,4.0,1.0,2026
7,Meningite pneumocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
7,Meningite por Hib/Hemófilo,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
7,Meningite viral/asséptica,1,1.0,1.5714285714285714,1.0,2.0,3,2.6999999999999993,0.0,2026
7,Outras etiologias,1,1.25,2.9444444444444446,2.5,4.0,7,6.149999999999999,6.0,2026
8,Doença meningocócica,1,1.0,1.2,1.0,1.0,2,1.7999999999999998,0.0,2026
8,Meningite bacteriana/outras bactérias,1,1.0,1.1428571428571428,1.0,1.0,2,1.6999999999999993,1.0,2026
8,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
8,Meningite não especificada,1,1.0,1.9,2.0,2.75,3,3.0,1.0,2026
8,Meningite pneumocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
8,Meningite por Hib/Hemófilo,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
8,Meningite tuberculosa,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
8,Meningite viral/asséptica,1,1.0,2.0,1.0,1.5,7,5.4999999999999964,0.0,2026
8,Outras etiologias,1,1.0,2.625,2.0,3.25,8,5.75,0.0,2026
9,Doença meningocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
9,Meningite bacteriana/outras bactérias,1,1.0,1.1818181818181819,1.0,1.0,2,2.0,0.0,2026
9,Meningite não especificada,1,1.0,2.272727272727273,2.0,3.5,5,4.5,2.0,2026
