escopo,recorte,casos_total,com_denominador_n,sem_denominador_n,pct_sem_denominador
ESTADUAL,MATO GROSSO,5944,1189,4755,79.99663526244953
REGIONAL,AGUA BOA,115,47,68,59.130434782608695
REGIONAL,ALTA FLORESTA,120,20,100,83.33333333333334
REGIONAL,BARRA DO GARCAS,253,52,201,79.44664031620553
REGIONAL,CACERES,362,64,298,82.32044198895028
REGIONAL,COLIDER,89,20,69,77.52808988764045
REGIONAL,CUIABA,2295,441,1854,80.7843137254902
REGIONAL,DIAMANTINO,105,24,81,77.14285714285715
REGIONAL,JUARA,69,21,48,69.56521739130434
REGIONAL,JUINA,95,27,68,71.57894736842105
REGIONAL,PEIXOTO DE AZEVEDO,142,28,114,80.28169014084507
REGIONAL,PONTES E LACERDA,162,30,132,81.48148148148148
REGIONAL,PORTO ALEGRE DO NORTE,62,23,39,62.903225806451616
REGIONAL,RONDONOPOLIS,888,163,725,81.64414414414415
REGIONAL,SAO FELIX DO ARAGUAIA,11,3,8,72.72727272727273
REGIONAL,SINOP,832,161,671,80.64903846153845
REGIONAL,TANGARA DA SERRA,344,65,279,81.1046511627907
ANO,1966,1,0,1,100.0
ANO,1975,1,0,1,100.0
ANO,1976,1,0,1,100.0
ANO,1980,1,0,1,100.0
ANO,2000,1,0,1,100.0
ANO,2002,1,0,1,100.0
ANO,2004,1,0,1,100.0
ANO,2006,8,0,8,100.0
ANO,2007,663,0,663,100.0
ANO,2008,441,0,441,100.0
ANO,2009,366,0,366,100.0
ANO,2010,308,0,308,100.0
ANO,2011,343,0,343,100.0
ANO,2012,338,0,338,100.0
ANO,2013,359,0,359,100.0
ANO,2014,345,0,345,100.0
ANO,2015,270,0,270,100.0
ANO,2016,291,0,291,100.0
ANO,2017,310,0,310,100.0
ANO,2018,287,0,287,100.0
ANO,2019,246,0,246,100.0
ANO,2020,118,118,0,0.0
ANO,2021,99,99,0,0.0
ANO,2022,191,191,0,0.0
ANO,2023,268,268,0,0.0
ANO,2024,267,267,0,0.0
ANO,2025,246,246,0,0.0
ANO,2026,173,0,173,100.0
