ano_dose_v34,codigo_municipio_v34,municipio_v34,regional_v34,imuno_grupo_v34,faixa_risco_v34,n_doses
2025,510340,,CUIABA,Hib,Ignorado,30025
2025,510840,,CUIABA,Hib,Ignorado,16693
2025,510790,,SINOP,Hib,Ignorado,13809
2025,510760,,RONDONOPOLIS,Hib,Ignorado,9401
2025,510792,,SINOP,Hib,Ignorado,8403
2025,510704,,RONDONOPOLIS,Hib,Ignorado,5864
2025,510525,,SINOP,Hib,Ignorado,5158
2025,510250,,CACERES,Hib,Ignorado,5042
2025,510795,,TANGARA DA SERRA,Hib,Ignorado,4759
2025,510622,,SINOP,Hib,Ignorado,3411
2025,510675,,PONTES E LACERDA,Hib,Ignorado,2611
2025,510180,,BARRA DO GARCAS,Hib,Ignorado,2571
2025,510263,,TANGARA DA SERRA,Hib,Ignorado,2366
2025,510267,,RONDONOPOLIS,Hib,Ignorado,2331
2025,510025,,ALTA FLORESTA,Hib,Ignorado,2059
2025,510515,,JUINA,Hib,Ignorado,1967
2025,510706,,AGUA BOA,Hib,Ignorado,1950
2025,510642,,PEIXOTO DE AZEVEDO,Hib,Ignorado,1550
2025,510020,,AGUA BOA,Hib,Ignorado,1527
2025,510170,,TANGARA DA SERRA,Hib,Ignorado,1521
2025,510410,,PEIXOTO DE AZEVEDO,Hib,Ignorado,1510
2025,510787,,TANGARA DA SERRA,Hib,Ignorado,1476
2025,510320,,COLIDER,Hib,Ignorado,1420
2025,510140,,JUINA,Hib,Ignorado,1250
2025,510682,,CACERES,Hib,Ignorado,1206
2025,510562,,CACERES,Hib,Ignorado,1201
2025,510335,,PORTO ALEGRE DO NORTE,Hib,Ignorado,1130
2025,510510,,JUARA,Hib,Ignorado,1122
2025,510350,,DIAMANTINO,Hib,Ignorado,1116
2025,510625,,BARRA DO GARCAS,Hib,Ignorado,1100
2025,510650,,CUIABA,Hib,Ignorado,1087
2025,510590,,DIAMANTINO,Hib,Ignorado,1061
2025,510270,,AGUA BOA,Hib,Ignorado,995
2025,510630,,RONDONOPOLIS,Hib,Ignorado,973
2025,510560,,PEIXOTO DE AZEVEDO,Hib,Ignorado,917
2025,510860,,PORTO ALEGRE DO NORTE,Hib,Ignorado,913
2025,510780,,CUIABA,Hib,Ignorado,901
2025,510300,,CUIABA,Hib,Ignorado,863
2025,510700,,RONDONOPOLIS,Hib,Ignorado,811
2025,510480,,RONDONOPOLIS,Hib,Ignorado,807
2025,510330,,PONTES E LACERDA,Hib,Ignorado,804
2025,510452,,SINOP,Hib,Ignorado,781
2025,510770,,DIAMANTINO,Hib,Ignorado,772
2025,510190,,JUINA,Hib,Ignorado,762
2025,510730,,DIAMANTINO,Hib,Ignorado,742
2025,510623,,TANGARA DA SERRA,Hib,Ignorado,709
2025,510800,,SINOP,Hib,Ignorado,694
2025,510558,,COLIDER,Hib,Ignorado,679
2025,510325,,JUINA,Hib,Ignorado,663
2025,510130,,TANGARA DA SERRA,Hib,Ignorado,639
2025,510624,,SINOP,Hib,Ignorado,623
2025,510637,,RONDONOPOLIS,Hib,Ignorado,607
