ano_dose_v34,regional_v34,imuno_grupo_v34,n_doses
2025,AGUA BOA,Hib,6233
2025,AGUA BOA,Meningocócica (outra),4492
2025,AGUA BOA,Penta/Hexa (Hib),3045
2025,AGUA BOA,MenC,995
2025,AGUA BOA,MenACWY,1
2025,ALTA FLORESTA,Hib,3717
2025,ALTA FLORESTA,Meningocócica (outra),3410
2025,ALTA FLORESTA,Penta/Hexa (Hib),2192
2025,ALTA FLORESTA,MenC,263
2025,ALTA FLORESTA,MenACWY,2
2025,BARRA DO GARCAS,Hib,5181
2025,BARRA DO GARCAS,Meningocócica (outra),3962
2025,BARRA DO GARCAS,Penta/Hexa (Hib),2666
2025,BARRA DO GARCAS,MenC,204
2025,BARRA DO GARCAS,MenACWY,18
2025,CACERES,Hib,9976
2025,CACERES,Meningocócica (outra),5587
2025,CACERES,Penta/Hexa (Hib),3891
2025,CACERES,MenC,713
2025,CACERES,MenACWY,5
2025,COLIDER,Hib,3176
2025,COLIDER,Meningocócica (outra),2509
2025,COLIDER,Penta/Hexa (Hib),1540
2025,COLIDER,MenC,301
2025,COLIDER,MenACWY,6
2025,CUIABA,Hib,51241
2025,CUIABA,Meningocócica (outra),29654
2025,CUIABA,Penta/Hexa (Hib),21051
2025,CUIABA,MenC,3220
2025,CUIABA,MenACWY,202
2025,DIAMANTINO,Hib,4746
2025,DIAMANTINO,Meningocócica (outra),2821
2025,DIAMANTINO,Penta/Hexa (Hib),1902
2025,DIAMANTINO,MenC,91
2025,DIAMANTINO,MenACWY,7
2025,JUARA,Meningocócica (outra),1893
2025,JUARA,Hib,1761
2025,JUARA,Penta/Hexa (Hib),1276
2025,JUARA,MenC,74
2025,JUARA,MenACWY,1
2025,JUINA,Hib,5849
2025,JUINA,Meningocócica (outra),4821
2025,JUINA,Penta/Hexa (Hib),3168
2025,JUINA,MenC,449
2025,JUINA,MenACWY,27
2025,PEIXOTO DE AZEVEDO,Hib,4566
2025,PEIXOTO DE AZEVEDO,Meningocócica (outra),3909
2025,PEIXOTO DE AZEVEDO,Penta/Hexa (Hib),2645
2025,PEIXOTO DE AZEVEDO,MenC,333
2025,PEIXOTO DE AZEVEDO,MenACWY,2
2025,PONTES E LACERDA,Hib,5219
2025,PONTES E LACERDA,Meningocócica (outra),3930
2025,PONTES E LACERDA,Penta/Hexa (Hib),2587
2025,PONTES E LACERDA,MenC,297
