escopo,vacina,fonte,n_casos,n_campo_preenchido,pct_completude,n_vacinados_sim,n_vacinados_nao,pct_vacinados_entre_preenchidos,pct_vacinados_entre_casos,nota
DM,MenC (SINAN),SINAN,278,130,46.76258992805755,25,105,19.230769230769234,8.992805755395683,Campo vacinal da ficha SINAN — não é cobertura populacional PNI
DM,MenAC (polissacarídica A/C SINAN),SINAN,278,123,44.24460431654676,4,119,3.2520325203252036,1.4388489208633095,Campo vacinal da ficha SINAN — não é cobertura populacional PNI
Hib,Hib (SINAN),SINAN,21,12,57.14285714285714,10,2,83.33333333333334,47.61904761904761,Campo vacinal da ficha SINAN — não é cobertura populacional PNI
DM <1–4a,MenC (SINAN),SINAN,70,46,65.71428571428571,15,31,32.608695652173914,21.428571428571427,Campo vacinal da ficha SINAN — não é cobertura populacional PNI
DM 11–14a,MenC (SINAN),SINAN,29,11,37.93103448275862,1,10,9.090909090909092,3.4482758620689653,Campo vacinal da ficha SINAN — não é cobertura populacional PNI
Hib <5a,Hib (SINAN),SINAN,10,8,80.0,7,1,87.5,70.0,Campo vacinal da ficha SINAN — não é cobertura populacional PNI
DM|faixa=1 a 4 anos,MenC (SINAN),SINAN,33,18,54.54545454545454,6,12,33.33333333333333,18.181818181818183,Campo vacinal da ficha SINAN — não é cobertura populacional PNI
DM|faixa=11 a 14 anos,MenC (SINAN),SINAN,29,11,37.93103448275862,1,10,9.090909090909092,3.4482758620689653,Campo vacinal da ficha SINAN — não é cobertura populacional PNI
DM|faixa=15 a 19 anos,MenC (SINAN),SINAN,29,14,48.275862068965516,3,11,21.428571428571427,10.344827586206897,Campo vacinal da ficha SINAN — não é cobertura populacional PNI
DM|faixa=20+ anos,MenC (SINAN),SINAN,118,44,37.28813559322034,1,43,2.272727272727273,0.847457627118644,Campo vacinal da ficha SINAN — não é cobertura populacional PNI
DM|faixa=5 a 10 anos,MenC (SINAN),SINAN,32,15,46.875,5,10,33.33333333333333,15.625,Campo vacinal da ficha SINAN — não é cobertura populacional PNI
DM|faixa=<1 ano,MenC (SINAN),SINAN,37,28,75.67567567567568,9,19,32.142857142857146,24.324324324324326,Campo vacinal da ficha SINAN — não é cobertura populacional PNI
Hib|faixa=1 a 4 anos,Hib (SINAN),SINAN,3,3,100.0,2,1,66.66666666666666,66.66666666666666,Campo vacinal da ficha SINAN — não é cobertura populacional PNI
Hib|faixa=15 a 19 anos,Hib (SINAN),SINAN,3,0,0.0,0,0,,0.0,Campo vacinal da ficha SINAN — não é cobertura populacional PNI
Hib|faixa=20+ anos,Hib (SINAN),SINAN,5,1,20.0,0,1,0.0,0.0,Campo vacinal da ficha SINAN — não é cobertura populacional PNI
Hib|faixa=5 a 10 anos,Hib (SINAN),SINAN,3,3,100.0,3,0,100.0,100.0,Campo vacinal da ficha SINAN — não é cobertura populacional PNI
Hib|faixa=<1 ano,Hib (SINAN),SINAN,7,5,71.42857142857143,5,0,100.0,71.42857142857143,Campo vacinal da ficha SINAN — não é cobertura populacional PNI
