escopo,recorte,leitos_total,leitos_uti,municipios_com_leito,municipios_com_uti,nota
ESTADUAL,MT,9622.0,0.0,95,0,CNES_LEITOS última competência no extrato DW. Cruzar com casos graves da fila CIEVS / nowcast para capacidade regional.
REGIONAL,AGUA BOA,206.0,0.0,7,0,CNES_LEITOS última competência no extrato DW. Cruzar com casos graves da fila CIEVS / nowcast para capacidade regional.
REGIONAL,ALTA FLORESTA,359.0,0.0,5,0,CNES_LEITOS última competência no extrato DW. Cruzar com casos graves da fila CIEVS / nowcast para capacidade regional.
REGIONAL,BARRA DO GARCAS,341.0,0.0,8,0,CNES_LEITOS última competência no extrato DW. Cruzar com casos graves da fila CIEVS / nowcast para capacidade regional.
REGIONAL,CACERES,435.0,0.0,7,0,CNES_LEITOS última competência no extrato DW. Cruzar com casos graves da fila CIEVS / nowcast para capacidade regional.
REGIONAL,COLIDER,145.0,0.0,4,0,CNES_LEITOS última competência no extrato DW. Cruzar com casos graves da fila CIEVS / nowcast para capacidade regional.
REGIONAL,CUIABA,3706.0,0.0,7,0,CNES_LEITOS última competência no extrato DW. Cruzar com casos graves da fila CIEVS / nowcast para capacidade regional.
REGIONAL,DIAMANTINO,184.0,0.0,5,0,CNES_LEITOS última competência no extrato DW. Cruzar com casos graves da fila CIEVS / nowcast para capacidade regional.
REGIONAL,JUARA,110.0,0.0,4,0,CNES_LEITOS última competência no extrato DW. Cruzar com casos graves da fila CIEVS / nowcast para capacidade regional.
REGIONAL,JUINA,299.0,0.0,6,0,CNES_LEITOS última competência no extrato DW. Cruzar com casos graves da fila CIEVS / nowcast para capacidade regional.
REGIONAL,PEIXOTO DE AZEVEDO,203.0,0.0,4,0,CNES_LEITOS última competência no extrato DW. Cruzar com casos graves da fila CIEVS / nowcast para capacidade regional.
REGIONAL,PONTES E LACERDA,247.0,0.0,5,0,CNES_LEITOS última competência no extrato DW. Cruzar com casos graves da fila CIEVS / nowcast para capacidade regional.
REGIONAL,PORTO ALEGRE DO NORTE,145.0,0.0,4,0,CNES_LEITOS última competência no extrato DW. Cruzar com casos graves da fila CIEVS / nowcast para capacidade regional.
REGIONAL,RONDONOPOLIS,1410.0,0.0,15,0,CNES_LEITOS última competência no extrato DW. Cruzar com casos graves da fila CIEVS / nowcast para capacidade regional.
REGIONAL,SAO FELIX DO ARAGUAIA,32.0,0.0,1,0,CNES_LEITOS última competência no extrato DW. Cruzar com casos graves da fila CIEVS / nowcast para capacidade regional.
REGIONAL,SINOP,1182.0,0.0,7,0,CNES_LEITOS última competência no extrato DW. Cruzar com casos graves da fila CIEVS / nowcast para capacidade regional.
REGIONAL,TANGARA DA SERRA,618.0,0.0,6,0,CNES_LEITOS última competência no extrato DW. Cruzar com casos graves da fila CIEVS / nowcast para capacidade regional.
