escopo,recorte,dm_confirmada_n,sorogrupo_preenchido_n,pct_sorogrupo_preenchido,dm_total_n
ESTADUAL,MATO GROSSO,278,85,30.575539568345324,278
REGIONAL,AGUA BOA,8,0,0.0,8
REGIONAL,ALTA FLORESTA,11,1,9.090909090909092,11
REGIONAL,BARRA DO GARCAS,18,2,11.11111111111111,18
REGIONAL,CACERES,14,3,21.428571428571427,14
REGIONAL,COLIDER,2,0,0.0,2
REGIONAL,CUIABA,82,38,46.34146341463415,82
REGIONAL,DIAMANTINO,4,1,25.0,4
REGIONAL,JUARA,3,0,0.0,3
REGIONAL,JUINA,6,0,0.0,6
REGIONAL,PEIXOTO DE AZEVEDO,4,1,25.0,4
REGIONAL,PONTES E LACERDA,3,0,0.0,3
REGIONAL,PORTO ALEGRE DO NORTE,2,1,50.0,2
REGIONAL,RONDONOPOLIS,48,11,22.916666666666664,48
REGIONAL,SAO FELIX DO ARAGUAIA,0,0,,0
REGIONAL,SINOP,66,26,39.39393939393939,66
REGIONAL,TANGARA DA SERRA,7,1,14.285714285714285,7
ANO,1966,0,0,,0
ANO,1975,0,0,,0
ANO,1976,0,0,,0
ANO,1980,0,0,,0
ANO,2000,0,0,,0
ANO,2002,0,0,,0
ANO,2004,0,0,,0
ANO,2006,0,0,,0
ANO,2007,17,3,17.647058823529413,17
ANO,2008,9,4,44.44444444444444,9
ANO,2009,22,6,27.27272727272727,22
ANO,2010,24,5,20.833333333333336,24
ANO,2011,29,13,44.827586206896555,29
ANO,2012,38,17,44.73684210526316,38
ANO,2013,34,12,35.294117647058826,34
ANO,2014,18,8,44.44444444444444,18
ANO,2015,17,6,35.294117647058826,17
ANO,2016,11,2,18.181818181818183,11
ANO,2017,14,6,42.857142857142854,14
ANO,2018,10,0,0.0,10
ANO,2019,6,0,0.0,6
ANO,2020,3,0,0.0,3
ANO,2021,4,0,0.0,4
ANO,2022,4,0,0.0,4
ANO,2023,7,0,0.0,7
ANO,2024,2,0,0.0,2
ANO,2025,6,1,16.666666666666664,6
ANO,2026,3,2,66.66666666666666,3
