codigo_municipio_v17,municipio_v17,regional_v17,casos_total,campos_avaliados,comp_DataNotificacao,comp_DataPrimeirosSintomas,comp_MunicipioResidencia,comp_CodigoMunicipioResidencia,comp_SexoPaciente,comp_IdadePaciente,comp_FaixaEtaria,comp_ClassificacaoCaso,comp_ClassificacaoMeningite,comp_EvolucaoCaso,comp_SeNMeningiditisEspecificarSorogrupo,comp_PuncaoLombar,comp_ResultadoPCRLiquor,comp_ResultadoCulturaLiquor,comp_CriterioConfirmacao,comp_DataEncerramento,pct_completude_media,campo_pior,pct_campo_pior,ranking_completude
510530,LUCIARA,SAO FELIX DO ARAGUAIA,1,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,ClassificacaoCaso,0.0,140.0
510617,NOVA NAZARE,AGUA BOA,4,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,51.5625,EvolucaoCaso,0.0,139.0
510785,SAO FELIX DO ARAGUAIA,SAO FELIX DO ARAGUAIA,4,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,50.0,54.6875,ClassificacaoMeningite,0.0,138.0
510269,CANABRAVA DO NORTE,PORTO ALEGRE DO NORTE,4,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,25.0,25.0,0.0,25.0,0.0,0.0,25.0,75.0,59.375,SeNMeningiditisEspecificarSorogrupo,0.0,136.0
510774,SANTA CRUZ DO XINGU,PORTO ALEGRE DO NORTE,2,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,50.0,59.375,EvolucaoCaso,0.0,136.0
510390,GENERAL CARNEIRO,BARRA DO GARCAS,4,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,25.0,0.0,0.0,100.0,0.0,25.0,25.0,50.0,60.9375,EvolucaoCaso,0.0,135.0
510680,PORTO DOS GAUCHOS,JUARA,5,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,40.0,20.0,0.0,40.0,0.0,20.0,40.0,60.0,61.25,SeNMeningiditisEspecificarSorogrupo,0.0,134.0
510631,NOVO SANTO ANTONIO,SAO FELIX DO ARAGUAIA,3,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,0.0,100.0,62.49999999999999,ClassificacaoMeningite,0.0,133.0
510794,TABAPORA,JUARA,5,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.0,20.0,40.0,0.0,100.0,20.0,20.0,20.0,40.0,62.5,SeNMeningiditisEspecificarSorogrupo,0.0,131.0
510035,ALTO BOA VISTA,SAO FELIX DO ARAGUAIA,2,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,100.0,62.5,ClassificacaoMeningite,0.0,131.0
