escopo,recorte,casos_total,campos_avaliados,comp_DataNotificacao,comp_DataPrimeirosSintomas,comp_MunicipioResidencia,comp_CodigoMunicipioResidencia,comp_SexoPaciente,comp_IdadePaciente,comp_FaixaEtaria,comp_ClassificacaoCaso,comp_ClassificacaoMeningite,comp_EvolucaoCaso,comp_SeNMeningiditisEspecificarSorogrupo,comp_PuncaoLombar,comp_ResultadoPCRLiquor,comp_ResultadoCulturaLiquor,comp_CriterioConfirmacao,comp_DataEncerramento,pct_completude_media,campo_pior,pct_campo_pior,ranking_completude
ESTADUAL,MATO GROSSO,5944,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.17160161507402,57.823014804845215,77.27119784656796,1.4300134589502018,91.08344549125168,20.50807537012113,46.82032301480484,58.64737550471063,95.00336473755047,77.73490074024227,SeNMeningiditisEspecificarSorogrupo,1.4300134589502018,
REGIONAL,SAO FELIX DO ARAGUAIA,11,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.72727272727273,0.0,27.27272727272727,0.0,54.54545454545454,0.0,9.090909090909092,0.0,72.72727272727273,58.522727272727266,ClassificacaoMeningite,0.0,16.0
REGIONAL,PORTO ALEGRE DO NORTE,62,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.48387096774194,29.03225806451613,51.61290322580645,1.6129032258064515,77.41935483870968,9.67741935483871,25.806451612903224,29.03225806451613,85.48387096774194,68.4475806451613,SeNMeningiditisEspecificarSorogrupo,1.6129032258064515,15.0
REGIONAL,COLIDER,89,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.25842696629213,29.213483146067414,62.92134831460674,0.0,88.76404494382022,8.98876404494382,37.07865168539326,29.213483146067414,91.01123595505618,71.27808988764045,SeNMeningiditisEspecificarSorogrupo,0.0,14.0
REGIONAL,JUARA,69,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.95652173913044,36.231884057971016,59.42028985507246,0.0,85.5072463768116,15.942028985507244,37.68115942028986,34.78260869565217,86.95652173913044,71.46739130434784,SeNMeningiditisEspecificarSorogrupo,0.0,13.0
REGIONAL,BARRA DO GARCAS,253,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0711462450593,45.059288537549406,62.055335968379445,0.7905138339920948,86.56126482213439,7.114624505928854,20.158102766798418,43.873517786561266,94.0711462450593,72.1096837944664,SeNMeningiditisEspecificarSorogrupo,0.7905138339920948,12.0
REGIONAL,TANGARA DA SERRA,344,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.86046511627907,35.75581395348838,61.04651162790697,0.29069767441860467,92.73255813953489,14.534883720930234,39.53488372093023,35.75581395348838,92.73255813953489,72.76526162790697,SeNMeningiditisEspecificarSorogrupo,0.29069767441860467,11.0
REGIONAL,AGUA BOA,115,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.95652173913044,36.52173913043478,77.39130434782608,0.0,87.82608695652175,16.52173913043478,42.608695652173914,35.65217391304348,85.21739130434783,73.04347826086956,SeNMeningiditisEspecificarSorogrupo,0.0,10.0
REGIONAL,PEIXOTO DE AZEVEDO,142,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.54929577464789,40.845070422535215,74.64788732394366,0.7042253521126761,88.73239436619718,11.267605633802818,35.2112676056338,41.54929577464789,92.25352112676056,73.5475352112676,SeNMeningiditisEspecificarSorogrupo,0.7042253521126761,9.0
REGIONAL,DIAMANTINO,105,16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.23809523809523,52.38095238095239,74.28571428571429,0.9523809523809524,86.66666666666667,25.71428571428571,40.0,53.333333333333336,95.23809523809523,76.48809523809524,SeNMeningiditisEspecificarSorogrupo,0.9523809523809524,8.0
