escopo,recorte,dm_n,dm_com_info_comunicantes,dm_sem_info_comunicantes,dm_zero_comunicantes,dm_zero_ou_sem_info_n,pct_dm_zero_ou_sem_info,p50_comunicantes_por_caso,p90_comunicantes_por_caso,total_comunicantes
ESTADUAL,MATO GROSSO,278,224,54,2,56,20.14388489208633,7.0,29.700000000000017,2773.0
REGIONAL,AGUA BOA,8,3,5,0,5,62.5,16.0,25.6,46.0
REGIONAL,ALTA FLORESTA,11,9,2,0,2,18.181818181818183,3.0,12.200000000000003,53.0
REGIONAL,BARRA DO GARCAS,18,9,9,0,9,50.0,5.0,10.0,49.0
REGIONAL,CACERES,14,12,2,0,2,14.285714285714285,8.0,31.300000000000004,176.0
REGIONAL,COLIDER,2,1,1,0,1,50.0,5.0,5.0,5.0
REGIONAL,CUIABA,82,71,11,0,11,13.414634146341465,10.0,39.0,1072.0
REGIONAL,DIAMANTINO,4,4,0,0,0,0.0,12.0,18.5,49.0
REGIONAL,JUARA,3,3,0,0,0,0.0,30.0,62.0,102.0
REGIONAL,JUINA,6,6,0,1,1,16.666666666666664,6.0,13.5,44.0
REGIONAL,PEIXOTO DE AZEVEDO,4,2,2,0,2,50.0,8.0,10.4,16.0
REGIONAL,PONTES E LACERDA,3,2,1,0,1,33.33333333333333,6.5,7.7,13.0
REGIONAL,PORTO ALEGRE DO NORTE,2,2,0,0,0,0.0,7.0,9.4,14.0
REGIONAL,RONDONOPOLIS,48,33,15,0,15,31.25,6.0,19.6,272.0
REGIONAL,SAO FELIX DO ARAGUAIA,0,0,0,0,0,,,,
REGIONAL,SINOP,66,60,6,1,7,10.606060606060606,7.0,32.2,836.0
REGIONAL,TANGARA DA SERRA,7,7,0,0,0,0.0,3.0,5.800000000000001,26.0
ANO,1966,0,0,0,0,0,,,,
ANO,1975,0,0,0,0,0,,,,
ANO,1976,0,0,0,0,0,,,,
ANO,1980,0,0,0,0,0,,,,
ANO,2000,0,0,0,0,0,,,,
ANO,2002,0,0,0,0,0,,,,
ANO,2004,0,0,0,0,0,,,,
ANO,2006,0,0,0,0,0,,,,
ANO,2007,17,15,2,0,2,11.76470588235294,4.0,13.599999999999998,95.0
ANO,2008,9,8,1,0,1,11.11111111111111,9.0,20.9,94.0
ANO,2009,22,19,3,0,3,13.636363636363635,10.0,21.0,217.0
ANO,2010,24,20,4,0,4,16.666666666666664,7.0,13.70000000000001,178.0
ANO,2011,29,25,4,0,4,13.793103448275861,8.0,28.6,357.0
ANO,2012,38,32,6,0,6,15.789473684210526,8.0,39.40000000000001,446.0
ANO,2013,34,29,5,0,5,14.705882352941178,6.0,50.39999999999999,522.0
ANO,2014,18,14,4,0,4,22.22222222222222,11.0,22.200000000000006,193.0
ANO,2015,17,11,6,0,6,35.294117647058826,6.0,20.0,104.0
ANO,2016,11,7,4,0,4,36.36363636363637,8.0,40.400000000000006,113.0
ANO,2017,14,11,3,0,3,21.428571428571427,7.0,32.0,153.0
ANO,2018,10,6,4,1,5,50.0,4.0,13.0,37.0
ANO,2019,6,5,1,0,1,16.666666666666664,10.0,21.0,52.0
ANO,2020,3,3,0,0,0,0.0,4.0,12.0,21.0
ANO,2021,4,2,2,0,2,50.0,2.0,2.8,4.0
ANO,2022,4,3,1,0,1,25.0,7.0,11.8,23.0
ANO,2023,7,5,2,1,3,42.857142857142854,2.0,4.2,12.0
ANO,2024,2,2,0,0,0,0.0,10.0,14.0,20.0
ANO,2025,6,4,2,0,2,33.33333333333333,5.0,15.800000000000002,31.0
ANO,2026,3,3,0,0,0,0.0,26.0,61.2,101.0
