ano_evento_v17,casos_total,com_denominador_n,sem_denominador_n,pct_sem_denominador,status_denominador,politica,serie_populacional_disponivel,nota
1966,1,0,1,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
1975,1,0,1,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
1976,1,0,1,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
1980,1,0,1,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2000,1,0,1,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2002,1,0,1,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2004,1,0,1,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2006,8,0,8,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2007,663,0,663,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2008,441,0,441,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2009,366,0,366,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2010,308,0,308,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2011,343,0,343,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2012,338,0,338,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2013,359,0,359,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2014,345,0,345,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2015,270,0,270,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
2016,291,0,291,100.0,sem_denominador,match_exato_municipio_ano_sem_carry_forward,2020-2025 (populacao_padronizada_mt.csv),"Anos fora de 2020–2025 não têm população no repositório; não inventar IBGE. Para integrar 2010–2019, acrescente linhas em populacao_padronizada_mt.csv e rode o módulo 00."
