TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
dbo,CNES_EQUIPAMENTOS,BASE TABLE
dbo,CNES_EQUIPESATENCAOBASICA,BASE TABLE
dbo,CNES_EQUIPESPROFISSIONAISATENCAOBASICA,BASE TABLE
dbo,CNES_ESTABELECIMENTOS,BASE TABLE
dbo,CNES_LEITOS,BASE TABLE
dbo,CNES_PROFISSIONAIS,BASE TABLE
dbo,CNES_SERVICOCLASSIFICACAO,BASE TABLE
dbo,SIM,BASE TABLE
dbo,SINASC,BASE TABLE
dbo,VW_GAL,VIEW
dbo,VW_SINAN_ACIDENTETRABALHOEXPOSICAOMATERIALBIOLOGICO,VIEW
dbo,VW_SINAN_ACIDENTETRABALHOGRAVE,VIEW
dbo,VW_SINAN_AIDSADULTO,VIEW
dbo,VW_SINAN_AIDSCRIANCA,VIEW
dbo,VW_SINAN_ANIMAISPECONHENTOS,VIEW
dbo,VW_SINAN_CHIKUNGUNYA,VIEW
dbo,VW_SINAN_DENGUE,VIEW
dbo,VW_SINAN_DOENCARELACIONADATRABALHOLERDORT,VIEW
dbo,VW_SINAN_ESQUISTOSSOMOSE,VIEW
dbo,VW_SINAN_FEBREMACULOSA,VIEW
dbo,VW_SINAN_HANSENIASE,VIEW
dbo,VW_SINAN_HANTAVIROSE,VIEW
dbo,VW_SINAN_HEPATITE,VIEW
dbo,VW_SINAN_INTOXICACAOEXOGENA,VIEW
dbo,VW_SINAN_LEISHMANIOSETEGUMENTAR,VIEW
dbo,VW_SINAN_LEISHMANIOSEVISCERAL,VIEW
dbo,VW_SINAN_MENINGITE,VIEW
dbo,VW_SINAN_NOTIFICACAOINDIVIDUAL,VIEW
dbo,VW_SINAN_SIFILISCONGENITA,VIEW
dbo,VW_SINAN_SIFILISGESTANTE,VIEW
dbo,VW_SINAN_SINDROMERESPIRATORIAAGUDAGRAVE,VIEW
dbo,VW_SINAN_TUBERCULOSE,VIEW
dbo,VW_SINAN_VIOLENCIADOMESTICASEXUALEOUOUTRAS,VIEW
dbo,VW_SINASC,VIEW
