regional_v17,classificacao_agrupada_v17,vacina,campo_vacinal,desfecho,total_casos_no_estrato,proporcao_vacinados_pct,status,motivo,n_analisado,vacinados,nao_vacinados,eventos_vacinados,nao_eventos_vacinados,eventos_nao_vacinados,nao_eventos_nao_vacinados,or,ic95_or_inferior,ic95_or_superior,p_value,efetividade_vacinal_estimada_pct,ev_ic95_inferior_pct,ev_ic95_superior_pct,interpretacao_estatistica,interpretacao,relevancia_pratica,alerta_vigilancia
AGUA BOA,Doença meningocócica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Confirmação do caso,8,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
AGUA BOA,Doença meningocócica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Hospitalização,8,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
AGUA BOA,Doença meningocócica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Óbito por meningite,8,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
AGUA BOA,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Confirmação do caso,8,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
AGUA BOA,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Hospitalização,8,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
AGUA BOA,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Óbito por meningite,8,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
AGUA BOA,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Confirmação do caso,8,60.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
AGUA BOA,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Hospitalização,8,60.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
AGUA BOA,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Óbito por meningite,8,60.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
AGUA BOA,Meningite por Hib/Hemófilo,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Confirmação do caso,2,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
AGUA BOA,Meningite por Hib/Hemófilo,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Hospitalização,2,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
AGUA BOA,Meningite por Hib/Hemófilo,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Óbito por meningite,2,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
AGUA BOA,Meningite tuberculosa,BCG,VacinaContraBCG_bin_v17,Confirmação do caso,2,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
AGUA BOA,Meningite tuberculosa,BCG,VacinaContraBCG_bin_v17,Hospitalização,2,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
AGUA BOA,Meningite tuberculosa,BCG,VacinaContraBCG_bin_v17,Óbito por meningite,2,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
ALTA FLORESTA,Doença meningocócica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Confirmação do caso,11,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
ALTA FLORESTA,Doença meningocócica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Hospitalização,11,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
ALTA FLORESTA,Doença meningocócica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Óbito por meningite,11,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
ALTA FLORESTA,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Confirmação do caso,11,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
ALTA FLORESTA,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Hospitalização,11,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
ALTA FLORESTA,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Óbito por meningite,11,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
ALTA FLORESTA,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Confirmação do caso,11,28.57142857142857,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
ALTA FLORESTA,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Hospitalização,11,28.57142857142857,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
ALTA FLORESTA,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Óbito por meningite,11,28.57142857142857,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
ALTA FLORESTA,Meningite pneumocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Confirmação do caso,4,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
ALTA FLORESTA,Meningite pneumocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Hospitalização,4,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
ALTA FLORESTA,Meningite pneumocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Óbito por meningite,4,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
ALTA FLORESTA,Meningite tuberculosa,BCG,VacinaContraBCG_bin_v17,Confirmação do caso,1,100.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
ALTA FLORESTA,Meningite tuberculosa,BCG,VacinaContraBCG_bin_v17,Hospitalização,1,100.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
ALTA FLORESTA,Meningite tuberculosa,BCG,VacinaContraBCG_bin_v17,Óbito por meningite,1,100.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
BARRA DO GARCAS,Doença meningocócica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Confirmação do caso,18,66.66666666666666,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
BARRA DO GARCAS,Doença meningocócica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Hospitalização,18,66.66666666666666,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
BARRA DO GARCAS,Doença meningocócica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Óbito por meningite,18,66.66666666666666,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
BARRA DO GARCAS,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Confirmação do caso,18,33.33333333333333,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
BARRA DO GARCAS,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Hospitalização,18,33.33333333333333,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
BARRA DO GARCAS,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Óbito por meningite,18,33.33333333333333,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
BARRA DO GARCAS,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Confirmação do caso,18,60.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
BARRA DO GARCAS,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Hospitalização,18,60.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
BARRA DO GARCAS,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Óbito por meningite,18,60.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
BARRA DO GARCAS,Meningite pneumocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Confirmação do caso,4,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
BARRA DO GARCAS,Meningite pneumocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Hospitalização,4,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
BARRA DO GARCAS,Meningite pneumocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Óbito por meningite,4,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
BARRA DO GARCAS,Meningite por Hib/Hemófilo,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Confirmação do caso,1,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
BARRA DO GARCAS,Meningite por Hib/Hemófilo,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Hospitalização,1,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
BARRA DO GARCAS,Meningite por Hib/Hemófilo,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Óbito por meningite,1,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CACERES,Doença meningocócica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Confirmação do caso,14,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CACERES,Doença meningocócica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Hospitalização,14,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CACERES,Doença meningocócica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Óbito por meningite,14,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CACERES,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Confirmação do caso,14,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CACERES,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Hospitalização,14,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CACERES,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Óbito por meningite,14,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CACERES,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Confirmação do caso,14,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CACERES,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Hospitalização,14,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CACERES,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Óbito por meningite,14,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CACERES,Meningite pneumocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Confirmação do caso,3,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CACERES,Meningite pneumocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Hospitalização,3,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CACERES,Meningite pneumocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Óbito por meningite,3,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CACERES,Meningite por Hib/Hemófilo,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Confirmação do caso,1,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CACERES,Meningite por Hib/Hemófilo,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Hospitalização,1,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CACERES,Meningite por Hib/Hemófilo,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Óbito por meningite,1,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CACERES,Meningite tuberculosa,BCG,VacinaContraBCG_bin_v17,Confirmação do caso,4,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CACERES,Meningite tuberculosa,BCG,VacinaContraBCG_bin_v17,Hospitalização,4,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
CACERES,Meningite tuberculosa,BCG,VacinaContraBCG_bin_v17,Óbito por meningite,4,0.0,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
COLIDER,Doença meningocócica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Confirmação do caso,2,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
COLIDER,Doença meningocócica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Hospitalização,2,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
COLIDER,Doença meningocócica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Óbito por meningite,2,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
COLIDER,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Confirmação do caso,2,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
COLIDER,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Hospitalização,2,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
COLIDER,Doença meningocócica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Óbito por meningite,2,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
COLIDER,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Confirmação do caso,2,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
COLIDER,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Hospitalização,2,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
COLIDER,Doença meningocócica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Óbito por meningite,2,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
COLIDER,Meningite pneumocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Confirmação do caso,1,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
COLIDER,Meningite pneumocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Hospitalização,1,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
COLIDER,Meningite pneumocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Óbito por meningite,1,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
COLIDER,Meningite tuberculosa,BCG,VacinaContraBCG_bin_v17,Confirmação do caso,2,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
COLIDER,Meningite tuberculosa,BCG,VacinaContraBCG_bin_v17,Hospitalização,2,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
COLIDER,Meningite tuberculosa,BCG,VacinaContraBCG_bin_v17,Óbito por meningite,2,,"Aplicável, mas insuficiente para OR","Estrato pequeno, sem grupo comparador, sem evento ou campo incompleto.",,,,,,,,,,,,,,,,,,
