estrato,periodo,observado,previsto,erro_abs,erro_pct
ESTADUAL,2026-S24,8.0,5.802083333333334,2.197916666666666,27.473958333333325
ESTADUAL,2026-S25,5.0,8.502083333333333,3.502083333333333,70.04166666666667
ESTADUAL,2026-S26,6.0,7.266666666666666,1.2666666666666657,21.111111111111093
ESTADUAL,2026-S27,3.0,5.981249999999999,2.9812499999999993,99.37499999999999
ESTADUAL,2026-S28,1.0,4.8625,3.8625,386.25
ESTADUAL,2026-S29,0.0,4.264583333333334,4.264583333333334,
ESTADUAL,2026-S30,0.0,2.53125,2.53125,
ESTADUAL,2026-S31,0.0,1.65625,1.65625,
DM,2026-S24,0.0,0.17291666666666666,0.17291666666666666,
DM,2026-S25,0.0,0.03125,0.03125,
DM,2026-S26,0.0,0.28125,0.28125,
DM,2026-S27,0.0,0.03125,0.03125,
DM,2026-S28,0.0,0.03125,0.03125,
DM,2026-S29,0.0,0.0,0.0,
DM,2026-S30,0.0,0.0,0.0,
DM,2026-S31,0.0,0.0,0.0,
REGIONAL::AGUA BOA,2026-S24,0.0,0.09375,0.09375,
REGIONAL::AGUA BOA,2026-S25,0.0,0.09375,0.09375,
REGIONAL::AGUA BOA,2026-S26,0.0,0.09375,0.09375,
REGIONAL::AGUA BOA,2026-S27,0.0,0.03125,0.03125,
REGIONAL::AGUA BOA,2026-S28,0.0,0.0,0.0,
REGIONAL::AGUA BOA,2026-S29,0.0,0.0,0.0,
REGIONAL::AGUA BOA,2026-S30,0.0,0.0,0.0,
REGIONAL::AGUA BOA,2026-S31,0.0,0.0,0.0,
REGIONAL::ALTA FLORESTA,2026-S24,0.0,0.03125,0.03125,
REGIONAL::ALTA FLORESTA,2026-S25,0.0,0.03125,0.03125,
REGIONAL::ALTA FLORESTA,2026-S26,0.0,0.03125,0.03125,
REGIONAL::ALTA FLORESTA,2026-S27,0.0,0.0,0.0,
REGIONAL::ALTA FLORESTA,2026-S28,0.0,0.0,0.0,
REGIONAL::ALTA FLORESTA,2026-S29,0.0,0.0,0.0,
REGIONAL::ALTA FLORESTA,2026-S30,0.0,0.0,0.0,
REGIONAL::ALTA FLORESTA,2026-S31,0.0,0.0,0.0,
REGIONAL::BARRA DO GARCAS,2026-S24,0.0,0.03125,0.03125,
REGIONAL::BARRA DO GARCAS,2026-S25,1.0,0.28125,0.71875,71.875
REGIONAL::BARRA DO GARCAS,2026-S26,3.0,0.29166666666666663,2.7083333333333335,90.27777777777779
REGIONAL::BARRA DO GARCAS,2026-S27,0.0,0.9916666666666665,0.9916666666666665,
REGIONAL::BARRA DO GARCAS,2026-S28,0.0,1.0416666666666665,1.0416666666666665,
REGIONAL::BARRA DO GARCAS,2026-S29,0.0,0.5916666666666666,0.5916666666666666,
REGIONAL::BARRA DO GARCAS,2026-S30,0.0,0.3291666666666666,0.3291666666666666,
REGIONAL::BARRA DO GARCAS,2026-S31,0.0,0.125,0.125,
REGIONAL::CACERES,2026-S24,1.0,0.7395833333333333,0.26041666666666674,26.041666666666675
REGIONAL::CACERES,2026-S25,0.0,1.1333333333333333,1.1333333333333333,
REGIONAL::CACERES,2026-S26,1.0,0.5708333333333333,0.4291666666666667,42.91666666666667
REGIONAL::CACERES,2026-S27,0.0,0.3625,0.3625,
REGIONAL::CACERES,2026-S28,1.0,0.3125,0.6875,68.75
REGIONAL::CACERES,2026-S29,0.0,0.54375,0.54375,
REGIONAL::CACERES,2026-S30,0.0,0.6124999999999999,0.6124999999999999,
REGIONAL::CACERES,2026-S31,0.0,0.18958333333333333,0.18958333333333333,
REGIONAL::COLIDER,2026-S24,0.0,0.0625,0.0625,
REGIONAL::COLIDER,2026-S25,0.0,0.0625,0.0625,
REGIONAL::COLIDER,2026-S26,0.0,0.0625,0.0625,
REGIONAL::COLIDER,2026-S27,0.0,0.03125,0.03125,
REGIONAL::COLIDER,2026-S28,0.0,0.0,0.0,
REGIONAL::COLIDER,2026-S29,0.0,0.0,0.0,
REGIONAL::COLIDER,2026-S30,0.0,0.0,0.0,
REGIONAL::COLIDER,2026-S31,0.0,0.0,0.0,
REGIONAL::CUIABA,2026-S24,4.0,1.604166666666667,2.395833333333333,59.89583333333333
REGIONAL::CUIABA,2026-S25,0.0,3.402083333333333,3.402083333333333,
REGIONAL::CUIABA,2026-S26,1.0,2.71875,1.71875,171.875
REGIONAL::CUIABA,2026-S27,0.0,2.5125,2.5125,
REGIONAL::CUIABA,2026-S28,0.0,1.21875,1.21875,
REGIONAL::CUIABA,2026-S29,0.0,2.1875,2.1875,
REGIONAL::CUIABA,2026-S30,0.0,0.84375,0.84375,
REGIONAL::CUIABA,2026-S31,0.0,0.5,0.5,
REGIONAL::DIAMANTINO,2026-S24,0.0,0.09375,0.09375,
REGIONAL::DIAMANTINO,2026-S25,0.0,0.09375,0.09375,
REGIONAL::DIAMANTINO,2026-S26,0.0,0.0,0.0,
REGIONAL::DIAMANTINO,2026-S27,0.0,0.0,0.0,
REGIONAL::DIAMANTINO,2026-S28,0.0,0.0,0.0,
REGIONAL::DIAMANTINO,2026-S29,0.0,0.0,0.0,
REGIONAL::DIAMANTINO,2026-S30,0.0,0.0,0.0,
REGIONAL::DIAMANTINO,2026-S31,0.0,0.25,0.25,
REGIONAL::JUARA,2026-S24,0.0,0.29999999999999993,0.29999999999999993,
REGIONAL::JUARA,2026-S25,0.0,0.4708333333333333,0.4708333333333333,
REGIONAL::JUARA,2026-S26,0.0,0.15625,0.15625,
REGIONAL::JUARA,2026-S27,0.0,0.0625,0.0625,
REGIONAL::JUARA,2026-S28,0.0,0.0625,0.0625,
REGIONAL::JUARA,2026-S29,0.0,0.03125,0.03125,
REGIONAL::JUARA,2026-S30,0.0,0.03125,0.03125,
REGIONAL::JUARA,2026-S31,0.0,0.0,0.0,
