estrato,horizonte_se,ano_epi_v17,semana_epi_v17,periodo,pred,lower_80,upper_80,modelo_ma4,modelo_ma8,modelo_sazonal_52,modelo_tendencia
ESTADUAL,1,2026,32,2026-S32,3.050631457572951,0.0,8.811832337721249,0.26944444444444443,2.9330813858473612,9.0,0.0
ESTADUAL,2,2026,33,2026-S33,1.9788486614627783,0.0,4.799614049949015,0.7626578643932378,2.3144103180439797,4.0,0.8383264634138955
ESTADUAL,3,2026,34,2026-S34,2.1444344064339322,0.21218716262320925,4.076681650244655,1.2573700297589323,1.9367664007268268,3.0,2.38360119524997
ESTADUAL,4,2026,35,2026-S35,3.0964810223305466,0.0,6.394374329212956,1.7934786313674154,1.4258580896300679,6.0,3.166587368324704
ESTADUAL,5,2026,36,2026-S36,3.445561424357942,0.3351212023768908,6.556001646338993,2.567598886950052,1.4185216656972484,6.0,3.7961251447844693
ESTADUAL,6,2026,37,2026-S37,3.3549782462406146,1.0143585083640048,5.695597984117224,2.6663313786462997,1.7144946215197687,5.0,4.039086984796389
ESTADUAL,7,2026,38,2026-S38,4.9191946079164435,0.0,10.13530629861162,3.010363774840759,2.1338669022998458,11.0,3.5325477545251687
ESTADUAL,8,2026,39,2026-S39,3.3694118200823513,1.3299853554511785,5.408838284713524,3.704053825211387,2.748766228289401,2.0,5.024827226828618
DM,1,2026,32,2026-S32,0.0,0.0,0.1061319932913728,0.0,0.0,0.0,0.0
DM,2,2026,33,2026-S33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM,3,2026,34,2026-S34,0.25,0.0,0.8042562584220407,0.0,0.0,1.0,0.0
DM,4,2026,35,2026-S35,0.31510416666666663,0.0,0.8518332057424738,0.0625,0.03125,1.0,0.1666666666666666
DM,5,2026,36,2026-S36,0.13466254340277775,0.0,0.3310969688823766,0.14127604166666666,0.07063802083333333,0.0,0.326736111111111
DM,6,2026,37,2026-S37,0.1414757057472511,0.0,0.3263595588474026,0.1749416775173611,0.08747083875868054,0.0,0.30349030671296284
DM,7,2026,38,2026-S38,0.1433300019487922,0.0,0.312312747124973,0.21031060395417386,0.10515530197708693,0.0,0.25785410186390806
DM,8,2026,39,2026-S39,0.12296840249878875,0.0,0.26076358673998346,0.1836431044413719,0.12307155222068596,0.0,0.18515895333309712
REGIONAL::AGUA BOA,1,2026,32,2026-S32,0.25,0.0,0.8042562584220407,0.0,0.0,1.0,0.0
