escopo,recorte,n_exames,n_exames_liberados,pct_pcr,pct_cultura,pct_lab_positivo_liberados,n_nm_detectavel,n_hi_detectavel,n_com_sorogrupo_gal,mediana_dias_coleta_liberacao,n_casos_sinan,pct_casos_com_gal,n_dm,pct_dm_com_gal,pct_dm_sorogrupo_sinan,pct_dm_sorogrupo_uniao,n_dm_sorogrupo_so_gal
ESTADUAL,MT,2854.0,1631.0,22.63489838822705,29.572529782761038,41.32434089515635,8.0,7.0,8.0,6.0,,,,,,,
ESTADUAL,MT_casos_SINAN_com_chave,,,,,,,,,,5953.0,5.661011254829497,278.0,2.5179856115107913,30.575539568345324,30.575539568345324,0.0
REGIONAL,AGUA BOA,,,,,,,,,,115.0,18.26086956521739,,,,,0.0
REGIONAL,ALTA FLORESTA,,,,,,,,,,120.0,0.0,,,,,0.0
REGIONAL,BARRA DO GARCAS,,,,,,,,,,253.0,5.138339920948617,,,,,0.0
REGIONAL,CACERES,,,,,,,,,,362.0,3.314917127071823,,,,,0.0
REGIONAL,COLIDER,,,,,,,,,,90.0,4.444444444444445,,,,,0.0
REGIONAL,CUIABA,,,,,,,,,,2295.0,5.533769063180828,,,,,0.0
REGIONAL,DIAMANTINO,,,,,,,,,,105.0,7.6190476190476195,,,,,0.0
REGIONAL,JUARA,,,,,,,,,,70.0,15.714285714285714,,,,,0.0
REGIONAL,JUINA,,,,,,,,,,95.0,15.789473684210526,,,,,0.0
REGIONAL,PEIXOTO DE AZEVEDO,,,,,,,,,,142.0,7.042253521126761,,,,,0.0
REGIONAL,PONTES E LACERDA,,,,,,,,,,163.0,2.4539877300613497,,,,,0.0
REGIONAL,PORTO ALEGRE DO NORTE,,,,,,,,,,62.0,14.516129032258066,,,,,0.0
REGIONAL,RONDONOPOLIS,,,,,,,,,,890.0,3.707865168539326,,,,,0.0
REGIONAL,SAO FELIX DO ARAGUAIA,,,,,,,,,,11.0,9.090909090909092,,,,,0.0
REGIONAL,SINOP,,,,,,,,,,837.0,5.256869772998805,,,,,0.0
REGIONAL,TANGARA DA SERRA,,,,,,,,,,343.0,7.288629737609329,,,,,0.0
