codigo_municipio_v17,municipio_v17,regional_v17,casos,confirmados,hospitalizacoes,obitos_meningite,com_resultado_laboratorial,com_resultado_concludente,positivos_laboratoriais,taxa_uso_laboratorio_pct,taxa_positividade_real_pct,lat,lon,distancia_cuiaba_km
510010,ACORIZAL,CUIABA,4,2,4,0,1,1,1,25.0,100.0,-15.1969,-56.3625,53.18982365132398
510020,AGUA BOA,AGUA BOA,30,9,29,2,7,7,6,23.333333333333332,85.71428571428571,-14.3571,-52.1585,445.08176933880515
510025,ALTA FLORESTA,ALTA FLORESTA,57,36,54,7,19,19,17,33.33333333333333,89.47368421052632,-9.87532,-56.086,636.6676843261531
510030,ALTO ARAGUAIA,RONDONOPOLIS,16,12,13,3,3,3,1,18.75,33.33333333333333,-17.3148,-53.2155,361.56072105129226
510035,ALTO BOA VISTA,SAO FELIX DO ARAGUAIA,2,0,2,0,0,0,0,0.0,,-11.6749,-51.3934,669.9239613199983
510040,ALTO GARCAS,RONDONOPOLIS,5,2,2,1,0,0,0,0.0,,-16.9454,-53.5284,312.2701632851006
510050,ALTO PARAGUAI,DIAMANTINO,14,6,9,2,0,0,0,0.0,,-14.5152,-56.4839,127.68279924583862
510060,ALTO TAQUARI,RONDONOPOLIS,6,2,6,0,2,2,2,33.33333333333333,100.0,-17.8247,-53.2847,388.3636537086555
510080,APIACAS,ALTA FLORESTA,8,6,7,1,1,1,1,12.5,100.0,-9.54452,-57.442,689.0713566471147
510100,ARAGUAIANA,BARRA DO GARCAS,8,3,6,0,0,0,0,0.0,,-15.7337,-51.8324,456.8138446603129
510120,ARAGUAINHA,RONDONOPOLIS,2,2,2,1,1,1,1,50.0,100.0,-16.8559,-53.0315,355.78064646636494
510125,ARAPUTANGA,CACERES,12,9,10,1,1,1,1,8.333333333333332,100.0,-15.4673,-58.3516,241.9981622117187
510130,ARENAPOLIS,TANGARA DA SERRA,10,3,10,1,1,1,1,10.0,100.0,-14.4503,-56.8459,151.12876611738625
510140,ARIPUANA,JUINA,14,6,13,2,6,6,6,42.857142857142854,100.0,-10.1656,-59.4566,705.5395439761659
510160,BARAO DE MELGACO,CUIABA,5,2,5,0,1,1,1,20.0,100.0,-16.195,-55.9679,67.47727768332925
510170,BARRA DO BUGRES,TANGARA DA SERRA,39,20,38,1,8,8,6,20.51282051282051,75.0,-15.0744,-57.1812,130.17612296336912
510180,BARRA DO GARCAS,BARRA DO GARCAS,181,78,163,16,13,13,12,7.18232044198895,92.3076923076923,-15.8901,-52.2566,412.2581818220685
510185,BOM JESUS DO ARAGUAIA,AGUA BOA,7,2,7,0,1,1,0,14.285714285714285,0.0,-12.1818,-51.6961,608.3852588114246
510190,BRASNORTE,JUINA,6,3,6,1,1,1,1,16.666666666666664,100.0,-12.1549,-57.9818,433.83823710422314
510250,CACERES,CACERES,249,221,236,25,59,59,51,23.694779116465863,86.4406779661017,-16.0706,-57.6791,177.11611704479216
510260,CAMPINAPOLIS,BARRA DO GARCAS,23,9,21,3,2,2,2,8.695652173913043,100.0,-14.5029,-52.8875,365.6179905853093
510263,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,39,14,34,1,8,8,8,20.51282051282051,100.0,-13.6745,-57.8863,287.9966784396713
510267,CAMPO VERDE,RONDONOPOLIS,63,42,55,3,19,19,15,30.158730158730158,78.94736842105263,-15.5458,-55.1687,99.62186845512653
510268,CAMPOS DE JULIO,PONTES E LACERDA,11,6,10,1,1,1,1,9.090909090909092,100.0,-13.5273,-59.0886,395.99692448439293
510269,CANABRAVA DO NORTE,PORTO ALEGRE DO NORTE,4,1,2,0,0,0,0,0.0,,-11.0201,-51.8315,687.2852638333624
510270,CANARANA,AGUA BOA,40,19,38,3,9,9,7,22.5,77.77777777777779,-13.555,-52.2709,470.3909756610931
510279,CARLINDA,ALTA FLORESTA,7,4,6,0,2,2,1,28.57142857142857,50.0,-9.96765,-55.8336,627.0501991007517
