codigo_municipio,ano,municipio_v17,regional_v17,casos_menor1ano,nascidos_vivos,incidencia_por_1000_nv,tem_denominador_sinasc
510010,2019,ACORIZAL,CUIABA,1,,,False
510020,2008,AGUA BOA,AGUA BOA,1,,,False
510020,2010,AGUA BOA,AGUA BOA,1,,,False
510020,2011,AGUA BOA,AGUA BOA,1,,,False
510020,2012,AGUA BOA,AGUA BOA,1,,,False
510020,2013,AGUA BOA,AGUA BOA,1,,,False
510020,2016,AGUA BOA,AGUA BOA,2,,,False
510020,2023,AGUA BOA,AGUA BOA,2,509.0,3.929273084479371,True
510020,2024,AGUA BOA,AGUA BOA,3,475.0,6.315789473684211,True
510025,2007,ALTA FLORESTA,ALTA FLORESTA,4,,,False
510025,2008,ALTA FLORESTA,ALTA FLORESTA,1,,,False
510025,2009,ALTA FLORESTA,ALTA FLORESTA,2,,,False
510025,2010,ALTA FLORESTA,ALTA FLORESTA,1,,,False
510025,2012,ALTA FLORESTA,ALTA FLORESTA,1,,,False
510025,2014,ALTA FLORESTA,ALTA FLORESTA,3,,,False
510025,2020,ALTA FLORESTA,ALTA FLORESTA,1,,,False
510025,2025,ALTA FLORESTA,ALTA FLORESTA,2,1002.0,1.996007984031936,True
510025,2026,ALTA FLORESTA,ALTA FLORESTA,1,474.0,2.109704641350211,True
510030,2007,ALTO ARAGUAIA,RONDONOPOLIS,1,,,False
510030,2012,ALTO ARAGUAIA,RONDONOPOLIS,1,,,False
510030,2013,ALTO ARAGUAIA,RONDONOPOLIS,1,,,False
510035,2023,ALTO BOA VISTA,SAO FELIX DO ARAGUAIA,1,113.0,8.849557522123893,True
510080,2012,APIACAS,ALTA FLORESTA,1,,,False
510100,2012,ARAGUAIANA,BARRA DO GARCAS,2,,,False
510100,2016,ARAGUAIANA,BARRA DO GARCAS,1,,,False
510125,2020,ARAPUTANGA,CACERES,1,,,False
510130,2019,ARENAPOLIS,TANGARA DA SERRA,1,,,False
510130,2022,ARENAPOLIS,TANGARA DA SERRA,1,,,False
510130,2026,ARENAPOLIS,TANGARA DA SERRA,1,84.0,11.904761904761903,True
510140,2009,ARIPUANA,JUINA,1,,,False
510140,2013,ARIPUANA,JUINA,1,,,False
510140,2026,ARIPUANA,JUINA,1,212.0,4.716981132075471,True
510160,2021,BARAO DE MELGACO,CUIABA,1,,,False
510170,2008,BARRA DO BUGRES,TANGARA DA SERRA,1,,,False
510170,2009,BARRA DO BUGRES,TANGARA DA SERRA,1,,,False
510170,2012,BARRA DO BUGRES,TANGARA DA SERRA,1,,,False
510170,2013,BARRA DO BUGRES,TANGARA DA SERRA,1,,,False
510170,2017,BARRA DO BUGRES,TANGARA DA SERRA,1,,,False
510170,2018,BARRA DO BUGRES,TANGARA DA SERRA,2,,,False
510170,2021,BARRA DO BUGRES,TANGARA DA SERRA,2,,,False
510170,2022,BARRA DO BUGRES,TANGARA DA SERRA,1,,,False
510170,2023,BARRA DO BUGRES,TANGARA DA SERRA,1,448.0,2.232142857142857,True
510170,2026,BARRA DO BUGRES,TANGARA DA SERRA,1,213.0,4.694835680751174,True
510180,2007,BARRA DO GARCAS,BARRA DO GARCAS,3,,,False
510180,2008,BARRA DO GARCAS,BARRA DO GARCAS,3,,,False
510180,2009,BARRA DO GARCAS,BARRA DO GARCAS,2,,,False
510180,2010,BARRA DO GARCAS,BARRA DO GARCAS,2,,,False
510180,2011,BARRA DO GARCAS,BARRA DO GARCAS,2,,,False
510180,2012,BARRA DO GARCAS,BARRA DO GARCAS,7,,,False
510180,2013,BARRA DO GARCAS,BARRA DO GARCAS,2,,,False
510180,2014,BARRA DO GARCAS,BARRA DO GARCAS,1,,,False
510180,2015,BARRA DO GARCAS,BARRA DO GARCAS,1,,,False
510180,2016,BARRA DO GARCAS,BARRA DO GARCAS,7,,,False
510180,2017,BARRA DO GARCAS,BARRA DO GARCAS,4,,,False
510180,2018,BARRA DO GARCAS,BARRA DO GARCAS,5,,,False
510180,2019,BARRA DO GARCAS,BARRA DO GARCAS,3,,,False
510180,2020,BARRA DO GARCAS,BARRA DO GARCAS,2,,,False
510180,2021,BARRA DO GARCAS,BARRA DO GARCAS,2,,,False
510180,2022,BARRA DO GARCAS,BARRA DO GARCAS,2,,,False
510180,2023,BARRA DO GARCAS,BARRA DO GARCAS,1,1096.0,0.9124087591240876,True
510180,2024,BARRA DO GARCAS,BARRA DO GARCAS,1,1049.0,0.9532888465204957,True
510180,2025,BARRA DO GARCAS,BARRA DO GARCAS,3,1461.0,2.053388090349076,True
510180,2026,BARRA DO GARCAS,BARRA DO GARCAS,2,519.0,3.8535645472061657,True
510185,2011,BOM JESUS DO ARAGUAIA,AGUA BOA,1,,,False
510185,2016,BOM JESUS DO ARAGUAIA,AGUA BOA,1,,,False
510185,2019,BOM JESUS DO ARAGUAIA,AGUA BOA,1,,,False
510185,2023,BOM JESUS DO ARAGUAIA,AGUA BOA,1,87.0,11.494252873563218,True
510190,2009,BRASNORTE,JUINA,2,,,False
510250,2007,CACERES,CACERES,3,,,False
510250,2008,CACERES,CACERES,5,,,False
510250,2009,CACERES,CACERES,3,,,False
510250,2010,CACERES,CACERES,2,,,False
510250,2011,CACERES,CACERES,2,,,False
510250,2012,CACERES,CACERES,4,,,False
510250,2013,CACERES,CACERES,9,,,False
510250,2014,CACERES,CACERES,1,,,False
510250,2015,CACERES,CACERES,6,,,False
510250,2016,CACERES,CACERES,5,,,False
510250,2017,CACERES,CACERES,4,,,False
510250,2019,CACERES,CACERES,1,,,False
510250,2022,CACERES,CACERES,2,,,False
510250,2023,CACERES,CACERES,2,1370.0,1.4598540145985401,True
510250,2025,CACERES,CACERES,2,2503.0,0.7990411506192568,True
510250,2026,CACERES,CACERES,1,635.0,1.574803149606299,True
510260,2011,CAMPINAPOLIS,BARRA DO GARCAS,1,,,False
510260,2013,CAMPINAPOLIS,BARRA DO GARCAS,1,,,False
510260,2014,CAMPINAPOLIS,BARRA DO GARCAS,2,,,False
510260,2019,CAMPINAPOLIS,BARRA DO GARCAS,1,,,False
510260,2022,CAMPINAPOLIS,BARRA DO GARCAS,1,,,False
510260,2023,CAMPINAPOLIS,BARRA DO GARCAS,1,478.0,2.092050209205021,True
510260,2026,CAMPINAPOLIS,BARRA DO GARCAS,1,209.0,4.784688995215311,True
510263,2008,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,1,,,False
510263,2010,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,1,,,False
510263,2011,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,1,,,False
510263,2012,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,1,,,False
510263,2013,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,1,,,False
510263,2014,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,1,,,False
510263,2016,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,2,,,False
510263,2024,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,1,824.0,1.2135922330097086,True
510263,2025,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,4,1115.0,3.587443946188341,True
510267,2009,CAMPO VERDE,RONDONOPOLIS,2,,,False
510267,2010,CAMPO VERDE,RONDONOPOLIS,3,,,False
510267,2013,CAMPO VERDE,RONDONOPOLIS,1,,,False
510267,2014,CAMPO VERDE,RONDONOPOLIS,1,,,False
510267,2015,CAMPO VERDE,RONDONOPOLIS,3,,,False
510267,2017,CAMPO VERDE,RONDONOPOLIS,2,,,False
510267,2018,CAMPO VERDE,RONDONOPOLIS,1,,,False
510267,2019,CAMPO VERDE,RONDONOPOLIS,1,,,False
510267,2021,CAMPO VERDE,RONDONOPOLIS,1,,,False
510268,2016,CAMPOS DE JULIO,PONTES E LACERDA,1,,,False
510268,2023,CAMPOS DE JULIO,PONTES E LACERDA,1,148.0,6.756756756756757,True
510270,2008,CANARANA,AGUA BOA,2,,,False
510270,2009,CANARANA,AGUA BOA,1,,,False
510270,2010,CANARANA,AGUA BOA,1,,,False
510270,2011,CANARANA,AGUA BOA,2,,,False
510270,2017,CANARANA,AGUA BOA,1,,,False
510270,2024,CANARANA,AGUA BOA,2,486.0,4.11522633744856,True
510270,2026,CANARANA,AGUA BOA,4,248.0,16.129032258064516,True
510279,2012,CARLINDA,ALTA FLORESTA,1,,,False
510279,2017,CARLINDA,ALTA FLORESTA,1,,,False
510285,2009,CASTANHEIRA,JUINA,1,,,False
510285,2020,CASTANHEIRA,JUINA,1,,,False
510300,2010,CHAPADA DOS GUIMARAES,CUIABA,1,,,False
510300,2013,CHAPADA DOS GUIMARAES,CUIABA,2,,,False
510300,2014,CHAPADA DOS GUIMARAES,CUIABA,2,,,False
510300,2015,CHAPADA DOS GUIMARAES,CUIABA,2,,,False
510300,2019,CHAPADA DOS GUIMARAES,CUIABA,1,,,False
510305,2017,CLAUDIA,SINOP,2,,,False
510305,2019,CLAUDIA,SINOP,1,,,False
510310,2015,COCALINHO,AGUA BOA,1,,,False
510320,2008,COLIDER,COLIDER,2,,,False
510320,2014,COLIDER,COLIDER,1,,,False
510320,2017,COLIDER,COLIDER,1,,,False
510325,2008,COLNIZA,JUINA,3,,,False
510325,2010,COLNIZA,JUINA,1,,,False
510325,2016,COLNIZA,JUINA,1,,,False
510325,2022,COLNIZA,JUINA,2,,,False
510330,2008,COMODORO,PONTES E LACERDA,2,,,False
510335,2010,CONFRESA,PORTO ALEGRE DO NORTE,2,,,False
510335,2011,CONFRESA,PORTO ALEGRE DO NORTE,1,,,False
510335,2012,CONFRESA,PORTO ALEGRE DO NORTE,1,,,False
510335,2016,CONFRESA,PORTO ALEGRE DO NORTE,2,,,False
510335,2017,CONFRESA,PORTO ALEGRE DO NORTE,1,,,False
510335,2025,CONFRESA,PORTO ALEGRE DO NORTE,2,800.0,2.5,True
510336,2010,CONQUISTA D OESTE,PONTES E LACERDA,1,,,False
510336,2011,CONQUISTA D OESTE,PONTES E LACERDA,1,,,False
510337,2023,COTRIGUACU,JUINA,1,180.0,5.555555555555555,True
510340,1980,CUIABA,CUIABA,1,,,False
510340,2002,CUIABA,CUIABA,1,,,False
510340,2006,CUIABA,CUIABA,1,,,False
510340,2007,CUIABA,CUIABA,39,,,False
510340,2008,CUIABA,CUIABA,29,,,False
510340,2009,CUIABA,CUIABA,19,,,False
510340,2010,CUIABA,CUIABA,20,,,False
510340,2011,CUIABA,CUIABA,16,,,False
510340,2012,CUIABA,CUIABA,19,,,False
510340,2013,CUIABA,CUIABA,13,,,False
510340,2014,CUIABA,CUIABA,16,,,False
510340,2015,CUIABA,CUIABA,21,,,False
510340,2016,CUIABA,CUIABA,22,,,False
510340,2017,CUIABA,CUIABA,14,,,False
510340,2018,CUIABA,CUIABA,20,,,False
510340,2019,CUIABA,CUIABA,6,,,False
510340,2020,CUIABA,CUIABA,5,,,False
510340,2021,CUIABA,CUIABA,5,,,False
510340,2022,CUIABA,CUIABA,12,,,False
510340,2023,CUIABA,CUIABA,14,9395.0,1.4901543374135178,True
510340,2024,CUIABA,CUIABA,14,9063.0,1.5447423590422598,True
510340,2025,CUIABA,CUIABA,23,18311.0,1.2560755829829064,True
510340,2026,CUIABA,CUIABA,13,4523.0,2.87419854079151,True
510343,2023,CURVELANDIA,CACERES,1,59.0,16.949152542372882,True
510345,2007,DENISE,TANGARA DA SERRA,3,,,False
510345,2009,DENISE,TANGARA DA SERRA,1,,,False
510345,2022,DENISE,TANGARA DA SERRA,1,,,False
510350,2007,DIAMANTINO,DIAMANTINO,1,,,False
510350,2008,DIAMANTINO,DIAMANTINO,4,,,False
510350,2013,DIAMANTINO,DIAMANTINO,1,,,False
510350,2018,DIAMANTINO,DIAMANTINO,1,,,False
510350,2020,DIAMANTINO,DIAMANTINO,1,,,False
510350,2025,DIAMANTINO,DIAMANTINO,1,689.0,1.4513788098693758,True
510360,2013,DOM AQUINO,RONDONOPOLIS,1,,,False
510370,2019,FELIZ NATAL,SINOP,1,,,False
510370,2024,FELIZ NATAL,SINOP,1,166.0,6.024096385542169,True
510370,2025,FELIZ NATAL,SINOP,1,381.0,2.6246719160104988,True
510385,2020,GAUCHA DO NORTE,AGUA BOA,1,,,False
510390,2008,GENERAL CARNEIRO,BARRA DO GARCAS,1,,,False
510390,2013,GENERAL CARNEIRO,BARRA DO GARCAS,1,,,False
510410,2007,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,2,,,False
510410,2008,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,2,,,False
510410,2009,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,1,,,False
510410,2011,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,3,,,False
510410,2013,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,3,,,False
510410,2017,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,1,,,False
510410,2018,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,1,,,False
510410,2019,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,2,,,False
510410,2020,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,1,,,False
510410,2026,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,1,292.0,3.4246575342465753,True
510420,2007,GUIRATINGA,RONDONOPOLIS,2,,,False
510420,2008,GUIRATINGA,RONDONOPOLIS,1,,,False
510420,2009,GUIRATINGA,RONDONOPOLIS,1,,,False
510450,2014,INDIAVAI,CACERES,1,,,False
510452,2016,IPIRANGA DO NORTE,SINOP,2,,,False
510452,2017,IPIRANGA DO NORTE,SINOP,1,,,False
510452,2019,IPIRANGA DO NORTE,SINOP,1,,,False
510460,2009,ITIQUIRA,RONDONOPOLIS,1,,,False
510460,2010,ITIQUIRA,RONDONOPOLIS,1,,,False
510460,2013,ITIQUIRA,RONDONOPOLIS,1,,,False
510480,2007,JACIARA,RONDONOPOLIS,3,,,False
510480,2008,JACIARA,RONDONOPOLIS,3,,,False
510480,2010,JACIARA,RONDONOPOLIS,1,,,False
510480,2013,JACIARA,RONDONOPOLIS,3,,,False
510480,2015,JACIARA,RONDONOPOLIS,2,,,False
510480,2018,JACIARA,RONDONOPOLIS,2,,,False
510480,2021,JACIARA,RONDONOPOLIS,1,,,False
510490,2007,JANGADA,CUIABA,2,,,False
510490,2008,JANGADA,CUIABA,2,,,False
510490,2023,JANGADA,CUIABA,1,98.0,10.204081632653061,True
510500,2015,JAURU,PONTES E LACERDA,1,,,False
510510,2007,JUARA,JUARA,2,,,False
510510,2008,JUARA,JUARA,2,,,False
510510,2009,JUARA,JUARA,1,,,False
510510,2010,JUARA,JUARA,2,,,False
510510,2011,JUARA,JUARA,3,,,False
510510,2017,JUARA,JUARA,1,,,False
510510,2018,JUARA,JUARA,2,,,False
510510,2022,JUARA,JUARA,1,,,False
510510,2023,JUARA,JUARA,2,664.0,3.0120481927710845,True
510510,2024,JUARA,JUARA,1,597.0,1.6750418760469012,True
510510,2025,JUARA,JUARA,2,652.0,3.067484662576687,True
510510,2026,JUARA,JUARA,2,299.0,6.688963210702341,True
510515,2009,JUINA,JUINA,2,,,False
510515,2010,JUINA,JUINA,1,,,False
510515,2011,JUINA,JUINA,1,,,False
510515,2015,JUINA,JUINA,1,,,False
510515,2018,JUINA,JUINA,1,,,False
510515,2019,JUINA,JUINA,1,,,False
510515,2020,JUINA,JUINA,1,,,False
510515,2024,JUINA,JUINA,1,698.0,1.4326647564469914,True
510517,2009,JURUENA,JUINA,1,,,False
510517,2018,JURUENA,JUINA,1,,,False
510517,2019,JURUENA,JUINA,1,,,False
510520,1966,JUSCIMEIRA,RONDONOPOLIS,1,,,False
510520,2009,JUSCIMEIRA,RONDONOPOLIS,1,,,False
510520,2010,JUSCIMEIRA,RONDONOPOLIS,2,,,False
510520,2012,JUSCIMEIRA,RONDONOPOLIS,1,,,False
510520,2017,JUSCIMEIRA,RONDONOPOLIS,1,,,False
510523,2014,LAMBARI D OESTE,CACERES,1,,,False
510523,2015,LAMBARI D OESTE,CACERES,1,,,False
510523,2024,LAMBARI D OESTE,CACERES,1,58.0,17.241379310344826,True
510525,2008,LUCAS DO RIO VERDE,SINOP,1,,,False
510525,2009,LUCAS DO RIO VERDE,SINOP,1,,,False
510525,2011,LUCAS DO RIO VERDE,SINOP,1,,,False
510525,2012,LUCAS DO RIO VERDE,SINOP,1,,,False
510525,2013,LUCAS DO RIO VERDE,SINOP,1,,,False
510525,2014,LUCAS DO RIO VERDE,SINOP,1,,,False
510525,2016,LUCAS DO RIO VERDE,SINOP,1,,,False
510525,2019,LUCAS DO RIO VERDE,SINOP,1,,,False
510525,2021,LUCAS DO RIO VERDE,SINOP,2,,,False
510525,2025,LUCAS DO RIO VERDE,SINOP,1,1575.0,0.6349206349206349,True
510530,2007,LUCIARA,SAO FELIX DO ARAGUAIA,1,,,False
510550,2008,VILA BELA DA S TRINDADE,PONTES E LACERDA,1,,,False
510550,2009,VILA BELA DA S TRINDADE,PONTES E LACERDA,1,,,False
510550,2015,VILA BELA DA S TRINDADE,PONTES E LACERDA,1,,,False
510550,2016,VILA BELA DA S TRINDADE,PONTES E LACERDA,2,,,False
510558,2007,MARCELANDIA,COLIDER,1,,,False
510558,2008,MARCELANDIA,COLIDER,2,,,False
510558,2010,MARCELANDIA,COLIDER,1,,,False
510558,2013,MARCELANDIA,COLIDER,3,,,False
510558,2014,MARCELANDIA,COLIDER,1,,,False
510558,2016,MARCELANDIA,COLIDER,1,,,False
510558,2021,MARCELANDIA,COLIDER,1,,,False
510560,2011,MATUPA,PEIXOTO DE AZEVEDO,1,,,False
510560,2025,MATUPA,PEIXOTO DE AZEVEDO,1,394.0,2.5380710659898473,True
510562,2007,MIRASSOL D OESTE,CACERES,2,,,False
510562,2008,MIRASSOL D OESTE,CACERES,2,,,False
510562,2010,MIRASSOL D OESTE,CACERES,1,,,False
