codigo_municipio_v17,municipio_v17,regional_v17,total_notificacoes,pct_confirmacao_laboratorial_pcr_cultura,pct_investigados_48h,pct_encerrados_60d,pct_quimioprofilaxia_dm_48h,dm_casos,quimioprofilaxia_indevida_n
510010,ACORIZAL,CUIABA,4,0.0,100.0,75.0,,0,0
510020,AGUA BOA,AGUA BOA,30,33.33333333333333,93.33333333333333,93.33333333333333,0.0,1,0
510025,ALTA FLORESTA,ALTA FLORESTA,57,41.66666666666667,91.22807017543859,82.45614035087719,60.0,5,2
510030,ALTO ARAGUAIA,RONDONOPOLIS,16,25.0,81.25,87.5,0.0,3,0
510035,ALTO BOA VISTA,SAO FELIX DO ARAGUAIA,2,,100.0,100.0,,0,0
510040,ALTO GARCAS,RONDONOPOLIS,5,100.0,60.0,40.0,,0,0
510050,ALTO PARAGUAI,DIAMANTINO,14,0.0,78.57142857142857,64.28571428571429,,0,0
510060,ALTO TAQUARI,RONDONOPOLIS,6,,100.0,66.66666666666666,,0,0
510080,APIACAS,ALTA FLORESTA,8,33.33333333333333,75.0,87.5,50.0,2,0
510100,ARAGUAIANA,BARRA DO GARCAS,8,0.0,100.0,62.5,,0,0
510120,ARAGUAINHA,RONDONOPOLIS,2,0.0,100.0,100.0,,0,0
510125,ARAPUTANGA,CACERES,12,0.0,91.66666666666666,91.66666666666666,,0,0
510130,ARENAPOLIS,TANGARA DA SERRA,10,100.0,100.0,90.0,,0,0
510140,ARIPUANA,JUINA,14,50.0,92.85714285714286,78.57142857142857,100.0,1,0
510160,BARAO DE MELGACO,CUIABA,5,,100.0,80.0,,0,0
510170,BARRA DO BUGRES,TANGARA DA SERRA,39,100.0,100.0,82.05128205128204,,0,0
510180,BARRA DO GARCAS,BARRA DO GARCAS,181,17.647058823529413,90.05524861878453,72.37569060773481,27.27272727272727,11,0
510185,BOM JESUS DO ARAGUAIA,AGUA BOA,7,0.0,85.71428571428571,71.42857142857143,,0,0
510190,BRASNORTE,JUINA,6,50.0,100.0,83.33333333333334,0.0,1,0
510250,CACERES,CACERES,249,29.6875,95.58232931726907,93.57429718875501,50.0,12,3
510260,CAMPINAPOLIS,BARRA DO GARCAS,23,33.33333333333333,91.30434782608695,65.21739130434783,0.0,3,0
510263,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,39,100.0,97.43589743589743,79.48717948717949,100.0,1,0
510267,CAMPO VERDE,RONDONOPOLIS,63,62.5,84.12698412698413,80.95238095238095,66.66666666666666,3,0
510268,CAMPOS DE JULIO,PONTES E LACERDA,11,0.0,100.0,100.0,,0,1
510269,CANABRAVA DO NORTE,PORTO ALEGRE DO NORTE,4,,75.0,25.0,,0,0
510270,CANARANA,AGUA BOA,40,40.0,92.5,87.5,33.33333333333333,3,2
510279,CARLINDA,ALTA FLORESTA,7,100.0,71.42857142857143,71.42857142857143,,0,2
510285,CASTANHEIRA,JUINA,6,,100.0,66.66666666666666,,0,0
510300,CHAPADA DOS GUIMARAES,CUIABA,32,16.666666666666664,93.75,84.375,100.0,4,0
510305,CLAUDIA,SINOP,15,50.0,100.0,73.33333333333333,100.0,1,1
510310,COCALINHO,AGUA BOA,7,0.0,100.0,85.71428571428571,0.0,1,0
510320,COLIDER,COLIDER,40,66.66666666666666,100.0,82.5,,0,0
510325,COLNIZA,JUINA,16,50.0,100.0,81.25,,0,0
510330,COMODORO,PONTES E LACERDA,9,0.0,88.88888888888889,77.77777777777779,0.0,1,0
510335,CONFRESA,PORTO ALEGRE DO NORTE,26,50.0,84.61538461538461,57.692307692307686,,0,0
510336,CONQUISTA D OESTE,PONTES E LACERDA,5,50.0,100.0,40.0,,0,0
510337,COTRIGUACU,JUINA,4,0.0,100.0,50.0,,0,0
510340,CUIABA,CUIABA,1440,46.27450980392157,94.86111111111111,88.88888888888889,71.69811320754717,53,3
510343,CURVELANDIA,CACERES,7,,85.71428571428571,85.71428571428571,,0,0
510345,DENISE,TANGARA DA SERRA,5,100.0,80.0,60.0,,0,0
510350,DIAMANTINO,DIAMANTINO,25,60.0,92.0,92.0,50.0,2,0
510360,DOM AQUINO,RONDONOPOLIS,7,80.0,85.71428571428571,71.42857142857143,100.0,1,0
510370,FELIZ NATAL,SINOP,20,0.0,90.0,90.0,33.33333333333333,3,0
510380,FIGUEIROPOLIS D OESTE,PONTES E LACERDA,4,,75.0,75.0,,0,0
510385,GAUCHA DO NORTE,AGUA BOA,7,50.0,85.71428571428571,71.42857142857143,100.0,1,0
510390,GENERAL CARNEIRO,BARRA DO GARCAS,4,,100.0,50.0,,0,0
510395,GLORIA D OESTE,CACERES,2,,100.0,100.0,,0,0
510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,89,45.45454545454545,95.50561797752809,89.8876404494382,0.0,3,0
510420,GUIRATINGA,RONDONOPOLIS,15,100.0,86.66666666666667,80.0,,0,0
510450,INDIAVAI,CACERES,3,,100.0,100.0,,0,0
510452,IPIRANGA DO NORTE,SINOP,7,100.0,85.71428571428571,57.14285714285714,,0,0
510454,ITANHANGA,SINOP,9,0.0,100.0,66.66666666666666,100.0,2,0
510455,ITAUBA,COLIDER,7,25.0,100.0,100.0,0.0,1,1
510460,ITIQUIRA,RONDONOPOLIS,14,28.57142857142857,92.85714285714286,78.57142857142857,50.0,2,0
510480,JACIARA,RONDONOPOLIS,53,38.46153846153847,92.45283018867924,79.24528301886792,75.0,8,0
510490,JANGADA,CUIABA,8,,100.0,87.5,,0,0
510500,JAURU,PONTES E LACERDA,8,0.0,100.0,100.0,,0,0
510510,JUARA,JUARA,55,50.0,92.72727272727272,74.54545454545455,33.33333333333333,3,2
510515,JUINA,JUINA,37,75.0,94.5945945945946,89.1891891891892,33.33333333333333,3,1
510517,JURUENA,JUINA,12,33.33333333333333,75.0,66.66666666666666,0.0,1,1
510520,JUSCIMEIRA,RONDONOPOLIS,17,100.0,94.11764705882352,88.23529411764706,0.0,1,0
510523,LAMBARI D OESTE,CACERES,8,0.0,100.0,87.5,,0,0
510525,LUCAS DO RIO VERDE,SINOP,68,44.44444444444444,97.05882352941177,61.76470588235294,75.0,4,0
510530,LUCIARA,SAO FELIX DO ARAGUAIA,1,,100.0,0.0,,0,0
510550,VILA BELA DA S TRINDADE,PONTES E LACERDA,16,0.0,93.75,75.0,,0,1
510558,MARCELANDIA,COLIDER,26,50.0,100.0,69.23076923076923,0.0,1,0
510560,MATUPA,PEIXOTO DE AZEVEDO,9,100.0,100.0,66.66666666666666,,0,0
