regional_v17,total_notificacoes,pct_confirmacao_laboratorial_pcr_cultura,pct_investigados_48h,pct_encerrados_60d,pct_quimioprofilaxia_dm_48h,dm_casos,quimioprofilaxia_indevida_n
AGUA BOA,115,30.0,88.69565217391305,80.8695652173913,25.0,8,2
ALTA FLORESTA,120,41.66666666666667,88.33333333333333,76.66666666666667,63.63636363636363,11,5
BARRA DO GARCAS,253,25.806451612903224,90.9090909090909,72.72727272727273,22.22222222222222,18,0
CACERES,362,29.88505747126437,95.02762430939227,91.4364640883978,50.0,14,4
COLIDER,89,44.44444444444444,97.75280898876404,79.7752808988764,0.0,2,1
CUIABA,2295,43.39622641509434,92.85403050108933,87.23311546840958,65.85365853658537,82,9
DIAMANTINO,105,27.77777777777778,89.52380952380953,82.85714285714286,50.0,4,0
JUARA,69,50.0,89.85507246376811,71.01449275362319,33.33333333333333,3,2
JUINA,95,55.55555555555556,93.6842105263158,80.0,33.33333333333333,6,2
PEIXOTO DE AZEVEDO,142,31.57894736842105,93.66197183098592,80.98591549295774,0.0,4,0
PONTES E LACERDA,162,28.125,94.44444444444444,83.9506172839506,66.66666666666666,3,3
PORTO ALEGRE DO NORTE,62,33.33333333333333,82.25806451612904,59.67741935483871,100.0,2,1
RONDONOPOLIS,888,61.29032258064516,93.91891891891892,87.27477477477478,54.166666666666664,48,3
SAO FELIX DO ARAGUAIA,11,,81.81818181818183,36.36363636363637,,0,0
SINOP,832,40.853658536585364,97.35576923076923,85.57692307692307,57.57575757575758,66,11
TANGARA DA SERRA,344,54.285714285714285,96.22093023255815,59.30232558139535,71.42857142857143,7,4
