regional_v17,n_casos,pct_investigados_48h,pct_encerrados_60d,pct_quimioprofilaxia_dm_48h,dm_casos
CUIABA,2295,96.1,89.9,65.9,82
RONDONOPOLIS,888,98.0,91.3,56.2,48
SINOP,832,98.7,89.1,65.2,66
CACERES,362,97.2,96.8,50.0,14
TANGARA DA SERRA,344,98.5,63.9,100.0,7
BARRA DO GARCAS,253,96.6,77.3,22.2,18
PONTES E LACERDA,162,98.7,91.3,66.7,3
PEIXOTO DE AZEVEDO,142,98.5,87.8,0.0,4
ALTA FLORESTA,120,93.8,86.0,63.6,11
AGUA BOA,115,96.2,94.9,37.5,8
DIAMANTINO,105,92.2,87.0,50.0,4
JUINA,95,96.7,87.4,50.0,6
COLIDER,89,100.0,87.7,0.0,2
JUARA,69,98.4,81.7,66.7,3
PORTO ALEGRE DO NORTE,62,94.4,69.8,100.0,2
SAO FELIX DO ARAGUAIA,11,100.0,50.0,,0
