ano_evento_v17,codigo_municipio_v17,municipio_v17,regional_v17,classificacao_agrupada_v17,casos,confirmados,hospitalizacoes,obitos_meningite,populacao,incidencia_100mil,mortalidade_100mil,letalidade_confirmados
1966,510520,JUSCIMEIRA,RONDONOPOLIS,Meningite fúngica,1,1,1,1,,,,100.0
1975,510785,SAO FELIX DO ARAGUAIA,SAO FELIX DO ARAGUAIA,Outras etiologias,1,0,1,0,,,,
1976,510840,VARZEA GRANDE,CUIABA,Meningite não especificada,1,1,1,0,,,,0.0
1980,510340,CUIABA,CUIABA,Meningite fúngica,1,1,1,0,,,,0.0
2000,510510,JUARA,JUARA,Outras etiologias,1,0,1,0,,,,
2002,510340,CUIABA,CUIABA,Outras etiologias,1,0,1,0,,,,
2004,510622,NOVA MUTUM,SINOP,Outras etiologias,1,0,1,0,,,,
2006,510030,ALTO ARAGUAIA,RONDONOPOLIS,Outras etiologias,1,0,1,0,,,,
2006,510340,CUIABA,CUIABA,Meningite pneumocócica,1,1,1,0,,,,0.0
2006,510517,JURUENA,JUINA,Meningite viral/asséptica,1,1,1,0,,,,0.0
2006,510650,POCONE,CUIABA,Meningite não especificada,1,1,1,0,,,,0.0
2006,510680,PORTO DOS GAUCHOS,JUARA,Meningite não especificada,1,1,1,0,,,,0.0
2006,510724,SANTA CARMEM,SINOP,Outras etiologias,1,0,0,0,,,,
2006,510760,RONDONOPOLIS,RONDONOPOLIS,Meningite não especificada,1,1,1,0,,,,0.0
2006,510790,SINOP,SINOP,Meningite viral/asséptica,1,1,1,0,,,,0.0
2007,510020,AGUA BOA,AGUA BOA,Meningite tuberculosa,1,1,1,0,,,,0.0
2007,510025,ALTA FLORESTA,ALTA FLORESTA,Doença meningocócica,1,1,1,1,,,,100.0
2007,510025,ALTA FLORESTA,ALTA FLORESTA,Meningite bacteriana/outras bactérias,1,1,1,1,,,,100.0
2007,510025,ALTA FLORESTA,ALTA FLORESTA,Meningite não especificada,2,2,2,1,,,,50.0
2007,510025,ALTA FLORESTA,ALTA FLORESTA,Meningite viral/asséptica,2,2,2,0,,,,0.0
2007,510025,ALTA FLORESTA,ALTA FLORESTA,Outras etiologias,3,0,2,0,,,,
2007,510030,ALTO ARAGUAIA,RONDONOPOLIS,Meningite viral/asséptica,1,1,1,0,,,,0.0
2007,510050,ALTO PARAGUAI,DIAMANTINO,Outras etiologias,2,0,2,0,,,,
2007,510060,ALTO TAQUARI,RONDONOPOLIS,Outras etiologias,1,0,1,0,,,,
2007,510080,APIACAS,ALTA FLORESTA,Meningite fúngica,1,1,1,0,,,,0.0
2007,510125,ARAPUTANGA,CACERES,Meningite não especificada,2,2,2,0,,,,0.0
2007,510170,BARRA DO BUGRES,TANGARA DA SERRA,Meningite não especificada,1,1,1,0,,,,0.0
