ano_evento_v17,codigo_municipio_v17,municipio_v17,regional_v17,casos,confirmados,hospitalizacoes,obitos_meningite,populacao,incidencia_100mil,mortalidade_100mil,letalidade_confirmados
1966,510520,JUSCIMEIRA,RONDONOPOLIS,1,1,1,1,,,,100.0
1975,510785,SAO FELIX DO ARAGUAIA,SAO FELIX DO ARAGUAIA,1,0,1,0,,,,
1976,510840,VARZEA GRANDE,CUIABA,1,1,1,0,,,,0.0
1980,510340,CUIABA,CUIABA,1,1,1,0,,,,0.0
2000,510510,JUARA,JUARA,1,0,1,0,,,,
2002,510340,CUIABA,CUIABA,1,0,1,0,,,,
2004,510622,NOVA MUTUM,SINOP,1,0,1,0,,,,
2006,510030,ALTO ARAGUAIA,RONDONOPOLIS,1,0,1,0,,,,
2006,510340,CUIABA,CUIABA,1,1,1,0,,,,0.0
2006,510517,JURUENA,JUINA,1,1,1,0,,,,0.0
2006,510650,POCONE,CUIABA,1,1,1,0,,,,0.0
2006,510680,PORTO DOS GAUCHOS,JUARA,1,1,1,0,,,,0.0
2006,510724,SANTA CARMEM,SINOP,1,0,0,0,,,,
2006,510760,RONDONOPOLIS,RONDONOPOLIS,1,1,1,0,,,,0.0
2006,510790,SINOP,SINOP,1,1,1,0,,,,0.0
2007,510020,AGUA BOA,AGUA BOA,1,1,1,0,,,,0.0
2007,510025,ALTA FLORESTA,ALTA FLORESTA,9,6,8,3,,,,50.0
2007,510030,ALTO ARAGUAIA,RONDONOPOLIS,1,1,1,0,,,,0.0
2007,510050,ALTO PARAGUAI,DIAMANTINO,2,0,2,0,,,,
2007,510060,ALTO TAQUARI,RONDONOPOLIS,1,0,1,0,,,,
2007,510080,APIACAS,ALTA FLORESTA,1,1,1,0,,,,0.0
2007,510125,ARAPUTANGA,CACERES,2,2,2,0,,,,0.0
2007,510170,BARRA DO BUGRES,TANGARA DA SERRA,2,1,1,0,,,,0.0
2007,510180,BARRA DO GARCAS,BARRA DO GARCAS,7,2,6,0,,,,0.0
2007,510190,BRASNORTE,JUINA,1,0,1,0,,,,
2007,510250,CACERES,CACERES,13,12,13,1,,,,8.333333333333332
2007,510260,CAMPINAPOLIS,BARRA DO GARCAS,1,1,1,1,,,,100.0
2007,510263,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,2,1,1,0,,,,0.0
2007,510267,CAMPO VERDE,RONDONOPOLIS,4,4,3,0,,,,0.0
2007,510270,CANARANA,AGUA BOA,1,1,1,0,,,,0.0
2007,510320,COLIDER,COLIDER,5,0,5,0,,,,
2007,510325,COLNIZA,JUINA,2,0,2,0,,,,
2007,510340,CUIABA,CUIABA,159,127,155,5,,,,3.937007874015748
2007,510345,DENISE,TANGARA DA SERRA,3,2,2,0,,,,0.0
2007,510350,DIAMANTINO,DIAMANTINO,2,2,2,0,,,,0.0
2007,510370,FELIZ NATAL,SINOP,1,1,1,0,,,,0.0
2007,510380,FIGUEIROPOLIS D OESTE,PONTES E LACERDA,1,1,1,0,,,,0.0
2007,510385,GAUCHA DO NORTE,AGUA BOA,1,1,1,0,,,,0.0
2007,510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,13,4,12,0,,,,0.0
2007,510420,GUIRATINGA,RONDONOPOLIS,5,4,5,0,,,,0.0
2007,510460,ITIQUIRA,RONDONOPOLIS,3,2,3,2,,,,100.0
2007,510480,JACIARA,RONDONOPOLIS,3,2,3,0,,,,0.0
2007,510490,JANGADA,CUIABA,2,1,2,0,,,,0.0
2007,510510,JUARA,JUARA,5,1,5,0,,,,0.0
2007,510515,JUINA,JUINA,6,2,6,0,,,,0.0
2007,510520,JUSCIMEIRA,RONDONOPOLIS,1,1,1,0,,,,0.0
2007,510523,LAMBARI D OESTE,CACERES,1,0,0,0,,,,
2007,510525,LUCAS DO RIO VERDE,SINOP,2,2,2,0,,,,0.0
2007,510530,LUCIARA,SAO FELIX DO ARAGUAIA,1,0,0,0,,,,
2007,510550,VILA BELA DA S TRINDADE,PONTES E LACERDA,1,1,1,0,,,,0.0
2007,510558,MARCELANDIA,COLIDER,2,0,1,0,,,,
2007,510562,MIRASSOL D OESTE,CACERES,6,5,5,0,,,,0.0
2007,510610,NOSSA SENHORA DO LIVRAMENTO,CUIABA,4,1,2,0,,,,0.0
2007,510615,NOVA BANDEIRANTES,ALTA FLORESTA,2,2,2,2,,,,100.0
2007,510618,NOVA LACERDA,PONTES E LACERDA,1,1,1,0,,,,0.0
2007,510621,NOVA CANAA DO NORTE,COLIDER,3,0,2,0,,,,
2007,510622,NOVA MUTUM,SINOP,4,4,4,0,,,,0.0
2007,510625,NOVA XAVANTINA,BARRA DO GARCAS,4,3,4,0,,,,0.0
2007,510626,NOVO MUNDO,PEIXOTO DE AZEVEDO,1,0,1,0,,,,
2007,510629,PARANAITA,ALTA FLORESTA,7,6,5,0,,,,0.0
2007,510630,PARANATINGA,RONDONOPOLIS,2,1,2,0,,,,0.0
2007,510637,PEDRA PRETA,RONDONOPOLIS,3,1,3,1,,,,100.0
2007,510642,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,3,1,2,0,,,,0.0
2007,510645,PLANALTO DA SERRA,CUIABA,1,0,1,0,,,,
2007,510650,POCONE,CUIABA,11,8,9,2,,,,25.0
2007,510675,PONTES E LACERDA,PONTES E LACERDA,6,6,6,1,,,,16.666666666666664
2007,510682,PORTO ESPERIDIAO,CACERES,1,1,1,0,,,,0.0
2007,510685,PORTO ESTRELA,TANGARA DA SERRA,1,1,1,0,,,,0.0
2007,510700,POXOREO,RONDONOPOLIS,1,0,1,0,,,,
2007,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,4,3,4,0,,,,0.0
2007,510710,SAO JOSE DOS QUATRO MARCOS,CACERES,2,1,1,0,,,,0.0
2007,510730,SAO JOSE DO RIO CLARO,DIAMANTINO,4,3,3,0,,,,0.0
