familia,indicador,escopo,recorte,valor,numerador,denominador,unidade,gerado_em
oportunidade_coleta_liquor,pct_coleta_le_1d,ESTADUAL,MATO GROSSO,40.82960553070354,2008.0,4918,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ESTADUAL,MATO GROSSO,55.652704351362345,2737.0,4918,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ESTADUAL,MATO GROSSO,2.0,,4918,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ESTADUAL,MATO GROSSO,11.0,,4918,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,REGIONAL,AGUA BOA,36.84210526315789,35.0,95,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,REGIONAL,AGUA BOA,51.578947368421055,49.0,95,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,REGIONAL,AGUA BOA,2.0,,95,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,REGIONAL,AGUA BOA,13.600000000000009,,95,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,REGIONAL,ALTA FLORESTA,39.21568627450981,40.0,102,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,REGIONAL,ALTA FLORESTA,56.86274509803921,58.0,102,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,REGIONAL,ALTA FLORESTA,2.0,,102,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,REGIONAL,ALTA FLORESTA,6.900000000000006,,102,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,REGIONAL,BARRA DO GARCAS,46.1139896373057,89.0,193,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,REGIONAL,BARRA DO GARCAS,62.69430051813472,121.0,193,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,REGIONAL,BARRA DO GARCAS,2.0,,193,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,REGIONAL,BARRA DO GARCAS,8.0,,193,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,REGIONAL,CACERES,42.08860759493671,133.0,316,%,2026-07-29T12:37:49
