escopo,recorte,casos_n,denominador_letalidade_n,obitos_n,letalidade_bruta_pct,letalidade_padronizada_pct,peso_coberto_pct,faixas_com_casos,codigo_municipio_v17,municipio_v17,regional_v17
ESTADUAL,MATO GROSSO,5944,3495,403,11.530758226037197,11.530758226037197,100.0,10,,,
REGIONAL,AGUA BOA,115,43,6,13.953488372093023,16.48581306628517,100.0,10,,,
REGIONAL,ALTA FLORESTA,120,76,14,18.421052631578945,22.030315416581512,100.0,10,,,
REGIONAL,BARRA DO GARCAS,253,114,24,21.052631578947366,20.926357381293005,100.0,10,,,
REGIONAL,CACERES,362,311,30,9.646302250803858,10.38345202722885,100.0,10,,,
REGIONAL,COLIDER,89,27,4,14.814814814814813,17.8826895565093,100.0,10,,,
REGIONAL,CUIABA,2295,1258,128,10.174880763116057,10.625448055911402,100.0,10,,,
REGIONAL,DIAMANTINO,105,57,10,17.543859649122805,17.5265840501892,100.0,10,,,
REGIONAL,JUARA,69,25,4,16.0,14.601769911504425,93.76251788268955,9,,,
REGIONAL,JUINA,95,42,9,21.428571428571427,26.47959183673469,94.13447782546496,9,,,
REGIONAL,PEIXOTO DE AZEVEDO,142,58,8,13.793103448275861,14.66762041010968,100.0,10,,,
REGIONAL,PONTES E LACERDA,162,114,10,8.771929824561402,8.178979233417905,100.0,10,,,
REGIONAL,PORTO ALEGRE DO NORTE,62,18,3,16.666666666666664,22.74442538593482,83.40486409155938,8,,,
REGIONAL,RONDONOPOLIS,888,682,68,9.970674486803519,8.9178104603529,100.0,10,,,
REGIONAL,SAO FELIX DO ARAGUAIA,11,11,0,0.0,0.0,67.38197424892705,6,,,
REGIONAL,SINOP,832,547,67,12.248628884826324,12.84146357718376,100.0,10,,,
REGIONAL,TANGARA DA SERRA,344,123,18,14.634146341463413,12.027452996414869,100.0,10,,,
MUNICIPIO,,1,1,1,100.0,100.0,15.82260371959943,1,510670,PONTE BRANCA,BARRA DO GARCAS
MUNICIPIO,,5,1,1,100.0,100.0,15.82260371959943,1,510794,TABAPORA,JUARA
MUNICIPIO,,3,1,1,100.0,100.0,6.237482117310444,1,510820,TORIXOREU,BARRA DO GARCAS
MUNICIPIO,,5,2,2,100.0,99.99999999999999,29.58512160228899,2,510885,NOVA MARILANDIA,TANGARA DA SERRA
MUNICIPIO,,4,1,1,100.0,99.99999999999999,9.15593705293276,1,510627,NOVO HORIZONTE DO NORTE,JUARA
MUNICIPIO,,2,2,1,50.0,59.47955390334572,15.393419170243206,2,510779,SANTO ANTONIO DO LESTE,RONDONOPOLIS
MUNICIPIO,,12,8,5,62.5,54.75675675675676,52.93276108726752,5,510615,NOVA BANDEIRANTES,ALTA FLORESTA
MUNICIPIO,,7,4,1,25.0,52.219074598678,30.30042918454936,3,510452,IPIRANGA DO NORTE,SINOP
MUNICIPIO,,5,2,1,50.0,50.844854070660524,18.626609442060087,2,510040,ALTO GARCAS,RONDONOPOLIS
MUNICIPIO,,10,6,2,33.33333333333333,49.68188105117566,34.47782546494993,3,510805,TERRA NOVA DO NORTE,PEIXOTO DE AZEVEDO
MUNICIPIO,,12,3,1,33.33333333333333,49.219467401285584,31.158798283261802,2,510706,QUERENCIA,AGUA BOA
MUNICIPIO,,10,3,1,33.33333333333333,48.80847308031775,32.41773962804006,3,510130,ARENAPOLIS,TANGARA DA SERRA
MUNICIPIO,,3,3,1,33.33333333333333,47.94701986754966,21.602288984263236,3,510715,RESERVA DO CABACAL,CACERES
MUNICIPIO,,16,12,5,41.66666666666667,45.19388657319692,75.50786838340487,8,510030,ALTO ARAGUAIA,RONDONOPOLIS
MUNICIPIO,,23,9,3,33.33333333333333,44.70604433429712,69.27038626609442,6,510260,CAMPINAPOLIS,BARRA DO GARCAS
MUNICIPIO,,20,12,5,41.66666666666667,40.02976190476191,54.47782546494992,5,510370,FELIZ NATAL,SINOP
MUNICIPIO,,68,21,7,33.33333333333333,32.399913672170065,88.38340486409156,8,510525,LUCAS DO RIO VERDE,SINOP
MUNICIPIO,,25,20,5,25.0,31.918049270990448,75.87982832618026,8,510700,POXOREO,RONDONOPOLIS
MUNICIPIO,,6,3,1,33.33333333333333,31.672394043528065,24.97854077253219,2,510190,BRASNORTE,JUINA
MUNICIPIO,,51,28,8,28.57142857142857,31.257664009809933,80.0,8,510787,SAPEZAL,TANGARA DA SERRA
MUNICIPIO,,16,7,2,28.57142857142857,31.136600625651724,27.43919885550787,3,510325,COLNIZA,JUINA
MUNICIPIO,,5,3,1,33.33333333333333,30.876865671641788,15.336194563662374,2,510620,NOVA BRASILANDIA,CUIABA
MUNICIPIO,,2,2,1,50.0,29.883381924198254,19.62804005722461,2,510120,ARAGUAINHA,RONDONOPOLIS
MUNICIPIO,,37,16,4,25.0,28.835720486111107,87.8969957081545,8,510515,JUINA,JUINA
MUNICIPIO,,40,11,3,27.27272727272727,28.449646004912584,66.00858369098712,6,510320,COLIDER,COLIDER
MUNICIPIO,,7,5,1,20.0,28.411104548139395,48.44062947067239,5,510665,PONTAL DO ARAGUAIA,BARRA DO GARCAS
MUNICIPIO,,17,4,1,25.0,28.359788359788357,54.077253218884124,4,510860,VILA RICA,PORTO ALEGRE DO NORTE
MUNICIPIO,,14,6,2,33.33333333333333,27.9969064191802,36.99570815450644,5,510050,ALTO PARAGUAI,DIAMANTINO
MUNICIPIO,,12,11,2,18.181818181818183,26.680327868852462,69.8140200286123,7,510618,NOVA LACERDA,PONTES E LACERDA
MUNICIPIO,,28,11,2,18.181818181818183,26.493775933609957,68.95565092989986,7,510642,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO
MUNICIPIO,,5,4,1,25.0,26.00157109190888,36.42346208869814,4,510729,SAO JOSE DO POVO,RONDONOPOLIS
MUNICIPIO,,32,15,2,13.333333333333334,25.892643182362807,79.5994277539342,7,510300,CHAPADA DOS GUIMARAES,CUIABA
MUNICIPIO,,7,5,1,20.0,25.117493472584854,54.7925608011445,5,510343,CURVELANDIA,CACERES
MUNICIPIO,,4,4,1,25.0,23.558718861209965,40.2002861230329,4,510810,TESOURO,RONDONOPOLIS
MUNICIPIO,,18,14,3,21.428571428571427,23.50200949945195,78.31187410586551,8,510590,NOBRES,DIAMANTINO
MUNICIPIO,,14,6,2,33.33333333333333,22.89758534554538,34.36337625178827,4,510140,ARIPUANA,JUINA
MUNICIPIO,,30,9,2,22.22222222222222,22.76803118908382,48.927038626609445,5,510020,AGUA BOA,AGUA BOA
MUNICIPIO,,10,4,1,25.0,22.676991150442483,25.865522174535048,3,510610,NOSSA SENHORA DO LIVRAMENTO,CUIABA
MUNICIPIO,,57,36,7,19.444444444444446,21.96855155730269,94.62088698140201,9,510025,ALTA FLORESTA,ALTA FLORESTA
MUNICIPIO,,53,41,6,14.634146341463413,20.277380384676523,100.0,10,510480,JACIARA,RONDONOPOLIS
MUNICIPIO,,11,8,1,12.5,19.183889772125067,53.99141630901288,6,510740,SAO PEDRO DA CIPA,RONDONOPOLIS
MUNICIPIO,,3,3,1,33.33333333333333,18.8,28.612303290414875,3,510677,PORTO ALEGRE DO NORTE,PORTO ALEGRE DO NORTE
MUNICIPIO,,132,110,17,15.454545454545453,18.368508299838773,100.0,10,510792,SORRISO,SINOP
MUNICIPIO,,15,9,3,33.33333333333333,18.273177636234962,67.38197424892705,6,510305,CLAUDIA,SINOP
MUNICIPIO,,41,26,6,23.076923076923077,17.489270386266096,100.0,10,510622,NOVA MUTUM,SINOP
MUNICIPIO,,25,12,1,8.333333333333332,17.447916666666664,87.8969957081545,8,510629,PARANAITA,ALTA FLORESTA
MUNICIPIO,,181,78,16,20.51282051282051,17.32832101930814,100.0,10,510180,BARRA DO GARCAS,BARRA DO GARCAS
