codigo_municipio_v17,municipio_v17,regional_v17,score_risco,lisa_i,lisa_p,cluster_lisa
510628,,,0.0,-0.10583419985278476,0.373,Não significativo
510629,PARANAITA,ALTA FLORESTA,1.4807692307692308,0.6705431893598937,0.359,Não significativo
510452,,,0.0,-0.48228374569456633,0.01,Baixo-Alto
510325,,,0.0,0.21894580048130124,0.463,Não significativo
510450,,,0.0,0.21894580048130127,0.432,Não significativo
510760,RONDONOPOLIS,RONDONOPOLIS,1.4807692307692308,0.6705431893598937,0.206,Não significativo
510890,,,0.0,-0.15996419990846572,0.247,Não significativo
510454,,,0.0,-0.06523669981102401,0.431,Não significativo
510455,,,0.0,-0.22639647270407431,0.088,Não significativo
510895,,,0.0,-0.2357461999864192,0.247,Não significativo
510630,,,0.0,0.10527280036437117,0.228,Não significativo
510631,,,0.0,0.2189458004813013,0.001,Baixo-Baixo
510370,,,0.0,0.21894580048130127,0.145,Não significativo
510500,,,0.0,0.21894580048130127,0.18,Não significativo
510810,TESOURO,RONDONOPOLIS,1.4807692307692308,-0.9177842006879999,0.001,Alto-Baixo
510637,,,0.0,-0.008400199752558974,0.418,Não significativo
510729,,,0.0,-0.06523669981102403,0.233,Não significativo
510682,,,0.0,-0.3251661481303493,0.057,Não significativo
510680,,,0.0,0.21894580048130127,0.001,Baixo-Baixo
510550,VILA BELA DA S TRINDADE,PONTES E LACERDA,2.0,-1.3163778374616513,0.001,Alto-Baixo
510685,,,0.0,-0.06523669981102403,0.224,Não significativo
510420,,,0.0,0.056555800314258234,0.446,Não significativo
510860,,,0.0,0.21894580048130124,0.463,Não significativo
510380,,,0.0,-0.008400199752558962,0.418,Não significativo
510558,,,0.0,-0.34941920010334937,0.037,Baixo-Alto
510250,CACERES,CACERES,1.4807692307692308,-0.3883417373387021,0.157,Não significativo
510730,SAO JOSE DO RIO CLARO,DIAMANTINO,1.4807692307692308,-0.9177842006879999,0.001,Alto-Baixo
510735,SAO JOSE DO XINGU,PORTO ALEGRE DO NORTE,1.4807692307692308,0.44363927649590884,0.347,Não significativo
510385,,,0.0,-0.15996419990846575,0.301,Não significativo
510600,,,0.0,0.2189458004813013,0.001,Baixo-Baixo
510120,,,0.0,0.21894580048130124,0.464,Não significativo
510125,,,0.0,0.21894580048130127,0.001,Baixo-Baixo
510300,,,0.0,-0.3036547455108189,0.096,Não significativo
510562,,,0.0,-0.2357461999864192,0.225,Não significativo
510305,,,0.0,-0.3154649273411494,0.079,Não significativo
510080,,,0.0,-0.06523669981102403,0.218,Não significativo
