atraso_dias,cdf_reportado,n_obs
0,0.11300964303840298,5911
1,0.2980883099306378,5911
2,0.45491456606327185,5911
3,0.5614955168330231,5911
4,0.6487903907968194,5911
5,0.7134156657080021,5911
6,0.7614616816105566,5911
7,0.8022331246827948,5911
8,0.8335307054643885,5911
9,0.8526476061580105,5911
10,0.8729487396379632,5911
11,0.8834376586026053,5911
12,0.8944341059042463,5911
13,0.9037387920825579,5911
14,0.9137201827102013,5911
15,0.9233632211131788,5911
16,0.928438504483167,5911
17,0.933852140077821,5911
18,0.936728133987481,5911
19,0.9404500084588057,5911
20,0.9436643545931315,5911
21,0.9484012857384537,5911
22,0.9499238707494502,5911
23,0.9512772796481137,5911
24,0.9524615124344442,5911
25,0.9538149213331077,5911
26,0.9553375063441042,5911
27,0.9570292674674336,5911
28,0.9583826763660971,5911
29,0.9597360852647606,5911
30,0.9622737269497547,5911
31,0.9658264253087464,5911
32,0.9676873625444087,5911
33,0.9687024192184064,5911
34,0.9707325325664016,5911
35,0.9717475892403993,5911
36,0.9731009981390628,5911
37,0.9736085264760616,5911
38,0.9749619353747251,5911
39,0.975131111487058,5911
40,0.9763153442733886,5911
41,0.9773304009473862,5911
42,0.9774995770597191,5911
43,0.978007105396718,5911
44,0.9788529859583827,5911
45,0.9791913381830486,5911
46,0.9795296904077144,5911
47,0.9803755709693791,5911
48,0.980713923194045,5911
49,0.980883099306378,5911
50,0.980883099306378,5911
51,0.9818981559803756,5911
52,0.9824056843173744,5911
53,0.9827440365420402,5911
54,0.9829132126543731,5911
55,0.9832515648790391,5911
56,0.9832515648790391,5911
57,0.9832515648790391,5911
58,0.9832515648790391,5911
59,0.9832515648790391,5911
60,0.9837590932160379,5911
