atraso_semanas,cdf_reportado,n_obs,fonte
0,0.46290349839445666,5917,sintomas_para_notificacao_se
1,0.8499239479465945,5917,sintomas_para_notificacao_se
2,0.9278350515463918,5917,sintomas_para_notificacao_se
3,0.9508196721311475,5917,sintomas_para_notificacao_se
4,0.962818996112895,5917,sintomas_para_notificacao_se
5,0.9729592699002874,5917,sintomas_para_notificacao_se
6,0.9778604022308602,5917,sintomas_para_notificacao_se
7,0.9810714889302011,5917,sintomas_para_notificacao_se
8,0.9830995436876796,5917,sintomas_para_notificacao_se
9,0.9854656075714044,5917,sintomas_para_notificacao_se
10,0.9878316714551293,5917,sintomas_para_notificacao_se
11,0.9888456988338685,5917,sintomas_para_notificacao_se
12,0.9893527125232381,5917,sintomas_para_notificacao_se
