estrato,status,n_semanas_serie,observado_se_atual,nowcast_se_atual,nowcast_p10,nowcast_p90,incremento_atraso_estimado,semana_epi_ref,forecast_se1,forecast_se4,backtest_mae,backtest_mape_pct,qualidade_forecast,alerta_nowcast,alerta_detalhe,n_obs_atraso,metodo
ESTADUAL,ok,1019,1.0,1.0777777777777777,1.0728921124206707,1.0833226532891485,0.07777777777777772,28,3.050631457572951,3.0964810223305466,2.7828125,120.85034722222221,nao_publicavel,rotina,Nowcast SE28=1.1 ≤ P75 histórico 8.0,5917,SE_sintomas_para_SE_notificacao
DM,ok,1019,0.0,0.0,0.0,0.0,0.0,31,0.0,0.31510416666666663,0.06848958333333333,,nao_publicavel,rotina,Nowcast SE31=0.0 ≤ P75 histórico 9.0,278,SE_sintomas_para_SE_notificacao
REGIONAL::AGUA BOA,ok,1008,0.0,0.0,0.0,0.0,0.0,31,0.25,0.07191732901114004,0.0390625,,nao_publicavel,rotina,Nowcast SE31=0.0 ≤ P75 histórico 9.0,115,SE_sintomas_para_SE_notificacao
REGIONAL::ALTA FLORESTA,ok,1016,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.01171875,,nao_publicavel,rotina,Nowcast SE31=0.0 ≤ P75 histórico 9.0,119,SE_sintomas_para_SE_notificacao
REGIONAL::BARRA DO GARCAS,ok,1002,3.0,3.060483870967742,3.0239043824701195,3.0992241731318906,0.06048387096774199,26,0.12689012096774194,0.3467137591670776,0.8171875,81.07638888888889,cautela,rotina,Nowcast SE26=3.1 ≤ P75 histórico 6.5,253,SE_sintomas_para_SE_notificacao
REGIONAL::CACERES,ok,1019,1.0,1.135646687697161,1.1145510835913313,1.1650485436893205,0.13564668769716093,28,0.17109966628911627,0.10498881338524124,0.52734375,45.90277777777778,publicavel,rotina,Nowcast SE28=1.1 ≤ P75 histórico 8.0,360,SE_sintomas_para_SE_notificacao
REGIONAL::COLIDER,ok,1018,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.02734375,,nao_publicavel,rotina,Nowcast SE31=0.0 ≤ P75 histórico 9.0,89,SE_sintomas_para_SE_notificacao
REGIONAL::CUIABA,ok,1019,1.0,1.0476845483723063,1.040528233151184,1.053480866758875,0.04768454837230629,26,1.1577401421366345,0.9853443414945058,1.8473958333333331,115.88541666666666,nao_publicavel,rotina,Nowcast SE26=1.0 ≤ P75 histórico 6.5,2285,SE_sintomas_para_SE_notificacao
REGIONAL::DIAMANTINO,ok,1018,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0546875,,nao_publicavel,rotina,Nowcast SE31=0.0 ≤ P75 histórico 9.0,105,SE_sintomas_para_SE_notificacao
REGIONAL::JUARA,ok,1008,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.13932291666666666,,nao_publicavel,rotina,Nowcast SE31=0.0 ≤ P75 histórico 9.0,67,SE_sintomas_para_SE_notificacao
REGIONAL::JUINA,ok,1019,2.0,2.186046511627907,2.1123595505617976,2.2650602409638556,0.18604651162790686,27,0.06831395348837209,0.12159523286252673,0.5002604166666667,95.3125,cautela,rotina,Nowcast SE27=2.2 ≤ P75 histórico 9.5,94,SE_sintomas_para_SE_notificacao
REGIONAL::PEIXOTO DE AZEVEDO,ok,1018,0.0,0.0,0.0,0.0,0.0,31,0.25,0.07191732901114004,0.08072916666666666,,nao_publicavel,rotina,Nowcast SE31=0.0 ≤ P75 histórico 9.0,142,SE_sintomas_para_SE_notificacao
REGIONAL::PONTES E LACERDA,ok,1019,1.0,1.0588235294117647,1.0318471337579618,1.087248322147651,0.05882352941176472,26,0.06433823529411764,0.03633111982823456,0.36093749999999997,39.479166666666664,publicavel,rotina,Nowcast SE26=1.1 ≤ P75 histórico 6.5,162,SE_sintomas_para_SE_notificacao
REGIONAL::PORTO ALEGRE DO NORTE,ok,1014,0.0,0.0,0.0,0.0,0.0,31,0.0,0.25,0.0,,nao_publicavel,rotina,Nowcast SE31=0.0 ≤ P75 histórico 9.0,62,SE_sintomas_para_SE_notificacao
REGIONAL::RONDONOPOLIS,ok,1019,0.0,0.0,0.0,0.0,0.0,31,0.0625,0.23089504948368775,0.37812500000000004,44.89583333333334,publicavel,rotina,Nowcast SE31=0.0 ≤ P75 histórico 9.0,882,SE_sintomas_para_SE_notificacao
REGIONAL::SINOP,ok,1019,1.0,1.0285714285714287,1.0209617755856966,1.0350000000000001,0.028571428571428692,27,0.37589285714285714,0.7271064267839704,0.6312500000000001,32.118055555555564,publicavel,rotina,Nowcast SE27=1.0 ≤ P75 histórico 9.5,828,SE_sintomas_para_SE_notificacao
REGIONAL::TANGARA DA SERRA,ok,1017,0.0,0.0,0.0,0.0,0.0,31,0.53125,0.22662328790735312,0.24244791666666665,46.875,publicavel,rotina,Nowcast SE31=0.0 ≤ P75 histórico 9.0,344,SE_sintomas_para_SE_notificacao
