classificacao_agrupada,desfecho,n_analisado,eventos_expostos,nao_eventos_expostos,eventos_nao_expostos,nao_eventos_nao_expostos,or,ic95_inferior,ic95_superior,p_value,interpretacao_estatistica,relevancia_pratica
Doença meningocócica,Óbito (SINAN∪SIM),5944,83,195,332,5334,6.838461538461538,5.169541723219149,9.046170573103872,6.925605121456119e-33,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Doença meningocócica,Óbito SINAN (EvolucaoCaso),5944,82,196,313,5353,7.155017278476886,5.397646101550847,9.484555173151069,1.0440692780612321e-33,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Doença meningocócica,Óbito SIM (linkage),5944,7,271,57,5609,2.541788049459442,1.1485230416715235,5.6252127767259745,0.028858038578376717,p=0.0289: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Doença meningocócica,Internação/hospitalização,5944,272,6,5113,553,4.903057565682248,2.173135106684192,11.06234647742383,1.432240797538976e-06,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite bacteriana/outras bactérias,Óbito (SINAN∪SIM),5944,71,427,344,5102,2.466110233647405,1.8752401117059936,3.2431578476463216,1.9794823043305856e-09,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite bacteriana/outras bactérias,Óbito SINAN (EvolucaoCaso),5944,68,430,327,5119,2.4755849512836923,1.8725917844596451,3.2727479111475044,4.448692836870737e-09,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite bacteriana/outras bactérias,Óbito SIM (linkage),5944,16,482,48,5398,3.7330567081604427,2.1039222727776994,6.623682141994287,5.125911211388092e-05,p=0.0001: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite bacteriana/outras bactérias,Internação/hospitalização,5944,480,18,4905,541,2.941216445803602,1.8220465531821861,4.747822807247772,4.906476685697015e-07,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite fúngica,Óbito (SINAN∪SIM),5944,29,143,386,5386,2.8297039747816948,1.8736021996793417,4.273705798523145,9.551694984777739e-06,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite fúngica,Óbito SINAN (EvolucaoCaso),5944,29,143,366,5406,2.99541442164393,1.9820221074362558,4.526946255406994,2.347475308053062e-06,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite fúngica,Óbito SIM (linkage),5944,0,172,64,5708,0.2565329738231659,0.015808632467711057,4.1628627139616015,0.26446642250167024,p=0.2645: não há evidência estatística suficiente ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
Meningite fúngica,Internação/hospitalização,5944,170,2,5215,557,9.07861936720997,2.245950755187211,36.69774567599981,1.3355786762654907e-05,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite não especificada,Óbito (SINAN∪SIM),5944,110,1055,305,4474,1.5294538108927045,1.2175417817104106,1.921272021045596,0.0004036275500706156,p=0.0004: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite não especificada,Óbito SINAN (EvolucaoCaso),5944,108,1057,287,4492,1.5992141324305527,1.2691276405516019,2.0151525817009572,0.0001047030139968458,p=0.0001: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite não especificada,Óbito SIM (linkage),5944,21,1144,43,4736,2.021792161327045,1.1950723783726684,3.420415045630654,0.010856132276243314,p=0.0109: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite não especificada,Internação/hospitalização,5944,1136,29,4249,530,4.886180115402407,3.3432168202759844,7.141252692723351,2.426955953106137e-24,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite pneumocócica,Óbito (SINAN∪SIM),5944,58,164,357,5365,5.314784450365512,3.866980814324278,7.3046480213227944,9.63510325968727e-20,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite pneumocócica,Óbito SINAN (EvolucaoCaso),5944,57,165,338,5384,5.502743410435718,3.9935785137707485,7.582218538256076,4.453708642928399e-20,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite pneumocócica,Óbito SIM (linkage),5944,5,217,59,5663,2.2115910333515583,0.8787760195038193,5.5658493065874515,0.08971493060037211,p=0.0897: não há evidência estatística suficiente ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite pneumocócica,Internação/hospitalização,5944,219,3,5166,556,7.856755710414247,2.5060035180339586,24.632291953666122,8.906528441800803e-07,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite por Hib/Hemófilo,Óbito (SINAN∪SIM),5944,6,15,409,5514,5.392665036674817,2.0812243652897973,13.972946253550939,0.002459008656963556,p=0.0025: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite por Hib/Hemófilo,Óbito SINAN (EvolucaoCaso),5944,6,15,389,5534,5.690488431876607,2.195611259371481,14.748356957593257,0.0019090736156183777,p=0.0019: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite por Hib/Hemófilo,Óbito SIM (linkage),5944,0,21,64,5859,2.1126735172165136,0.12660702024476236,35.25388546163689,1.0,p=1.0000: não há evidência estatística suficiente ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite por Hib/Hemófilo,Internação/hospitalização,5944,20,1,5365,558,2.0801491146318734,0.27863458458172313,15.529372800578018,0.7150994244263027,p=0.7151: não há evidência estatística suficiente ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite tuberculosa,Óbito (SINAN∪SIM),5944,2,45,413,5484,0.5901533494753833,0.14265983501394092,2.4413386981905556,0.7707292770473227,p=0.7707: não há evidência estatística suficiente ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
Meningite tuberculosa,Óbito SINAN (EvolucaoCaso),5944,2,45,393,5504,0.6224484026010744,0.15044168857937734,2.5753633687526953,0.7682054905822773,p=0.7682: não há evidência estatística suficiente ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
Meningite tuberculosa,Óbito SIM (linkage),5944,0,47,64,5833,0.9520195838433293,0.05805504725670731,15.611756959107693,1.0,p=1.0000: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Meningite tuberculosa,Internação/hospitalização,5944,47,0,5338,559,9.956448440573194,0.6129024045367838,161.7400499916671,0.020020087995649916,p=0.0200: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Meningite viral/asséptica,Óbito (SINAN∪SIM),5944,20,892,395,4637,0.2632116705454958,0.16700957018332777,0.4148288234937734,5.67498801010424e-12,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
Meningite viral/asséptica,Óbito SINAN (EvolucaoCaso),5944,20,892,375,4657,0.27844544095665175,0.17657555608516232,0.4390860508016785,6.807469923171051e-11,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
Meningite viral/asséptica,Óbito SIM (linkage),5944,1,911,63,4969,0.08657850260484728,0.011992658352457724,0.6250354919650807,0.0006405543709210081,p=0.0006: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
Meningite viral/asséptica,Internação/hospitalização,5944,894,18,4491,541,5.983003043123284,3.7205418751103596,9.621266636855326,4.451714875117208e-22,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Outras etiologias,Óbito (SINAN∪SIM),5944,36,2593,379,2936,0.10755158753982459,0.0761027545401895,0.15199639030447837,1.1172305090040417e-60,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
Outras etiologias,Óbito SINAN (EvolucaoCaso),5944,23,2606,372,2943,0.06982336048325205,0.045674881560339976,0.10673922958581779,1.0575616973276911e-69,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
Outras etiologias,Óbito SIM (linkage),5944,14,2615,50,3265,0.3495984703632887,0.1928493074531413,0.6337543654910358,0.00021270190348860807,p=0.0002: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
Outras etiologias,Internação/hospitalização,5944,2147,482,3238,77,0.10592510104336728,0.08277128626015139,0.13555578918735833,6.113410077379062e-104,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
