dominio,variavel,exposicao,desfecho,n_analisado,eventos_expostos,nao_eventos_expostos,eventos_nao_expostos,nao_eventos_nao_expostos,or,ic95_inferior,ic95_superior,p_value,interpretacao_estatistica,relevancia_pratica
Clínico,SinaisESintomasCefaleia,SinaisESintomasCefaleia,Óbito por meningite,5098,259,3530,91,1218,0.9820440183046415,0.7666786425894352,1.2579070295093369,0.8991274747382073,p=0.8991: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Clínico,SinaisESintomasCefaleia,SinaisESintomasCefaleia,Internação/hospitalização,5098,3674,115,1251,58,1.4811941750947069,1.0732985207149686,2.0441062220723247,0.02096286991190946,p=0.0210: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento moderado da chance do desfecho.
Clínico,SinaisESintomasCefaleia,SinaisESintomasCefaleia,Confirmação,5098,2544,1245,596,713,2.4445055389342607,2.1504264881868655,2.77880102514856,8.138693647036279e-43,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Clínico,SinaisESintomasFebre,SinaisESintomasFebre,Óbito por meningite,5395,307,4012,65,1011,1.1901871309149474,0.9028086070258236,1.5690428686343216,0.22670913471062698,p=0.2267: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.
Clínico,SinaisESintomasFebre,SinaisESintomasFebre,Internação/hospitalização,5395,4187,132,1020,56,1.7414735591206179,1.264595408408017,2.3981821671597694,0.0010702072489494013,p=0.0011: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Clínico,SinaisESintomasFebre,SinaisESintomasFebre,Confirmação,5395,2782,1537,547,529,1.7504576331061126,1.5297409991498367,2.0030200713730935,5.979732647735132e-16,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Clínico,SinaisESintomasVomitos,SinaisESintomasVomitos,Óbito por meningite,5315,260,3214,104,1737,1.3511200995644057,1.0683932383086205,1.7086644299031035,0.011974750816046625,p=0.0120: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento moderado da chance do desfecho.
Clínico,SinaisESintomasVomitos,SinaisESintomasVomitos,Internação/hospitalização,5315,3376,98,1757,84,1.6469631677372145,1.223665801435378,2.216689943202803,0.0011213895842977551,p=0.0011: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Clínico,SinaisESintomasVomitos,SinaisESintomasVomitos,Confirmação,5315,2346,1128,933,908,2.0240587443843925,1.8028759879683973,2.27237692889542,5.754053541314872e-33,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Clínico,SinaisESintomasConvulsoes,SinaisESintomasConvulsoes,Óbito por meningite,5190,138,1151,224,3677,1.9681100285466053,1.5759841739899243,2.4578020188231178,7.03840682460249e-09,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.
Clínico,SinaisESintomasConvulsoes,SinaisESintomasConvulsoes,Internação/hospitalização,5190,1252,37,3763,138,1.2409305398941328,0.8584846167552455,1.7937521241350012,0.28545444371367223,p=0.2855: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.
Clínico,SinaisESintomasConvulsoes,SinaisESintomasConvulsoes,Confirmação,5190,752,537,2444,1457,0.8348374158430024,0.7342857586153849,0.9491584205659132,0.0061212888143102814,p=0.0061: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora discreta/moderada.
Clínico,SinaisESintomasRigidezNuca,SinaisESintomasRigidezNuca,Óbito por meningite,5167,166,2250,179,2572,1.0600918684047176,0.8518991652406184,1.319164069306712,0.6154607255280702,p=0.6155: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
