escopo,recorte,casos_total,casos_com_puncao,coleta_com_lead_time,coleta_le_1d_n,coleta_le_2d_n,pct_coleta_le_1d,pct_coleta_le_2d,p50_coleta_dias,p90_coleta_dias
ESTADUAL,MATO GROSSO,5944,4941,4918,2008,2737,40.82960553070354,55.652704351362345,2.0,11.0
REGIONAL,AGUA BOA,115,95,95,35,49,36.84210526315789,51.578947368421055,2.0,13.600000000000009
REGIONAL,ALTA FLORESTA,120,103,102,40,58,39.21568627450981,56.86274509803921,2.0,6.900000000000006
REGIONAL,BARRA DO GARCAS,253,193,193,89,121,46.1139896373057,62.69430051813472,2.0,8.0
REGIONAL,CACERES,362,319,316,133,180,42.08860759493671,56.9620253164557,2.0,14.0
REGIONAL,COLIDER,89,70,70,25,36,35.714285714285715,51.42857142857142,2.0,11.100000000000001
REGIONAL,CUIABA,2295,1825,1817,726,997,39.95597138139791,54.870665932856355,2.0,12.0
REGIONAL,DIAMANTINO,105,77,77,24,33,31.16883116883117,42.857142857142854,4.0,14.0
REGIONAL,JUARA,69,56,55,21,30,38.18181818181819,54.54545454545454,2.0,9.200000000000003
REGIONAL,JUINA,95,78,78,19,31,24.358974358974358,39.743589743589745,3.0,13.299999999999997
REGIONAL,PEIXOTO DE AZEVEDO,142,115,115,52,63,45.21739130434783,54.78260869565217,2.0,10.600000000000009
REGIONAL,PONTES E LACERDA,162,123,122,45,65,36.885245901639344,53.278688524590166,2.0,13.0
REGIONAL,PORTO ALEGRE DO NORTE,62,34,34,8,11,23.52941176470588,32.35294117647059,4.5,15.099999999999998
REGIONAL,RONDONOPOLIS,888,778,774,334,431,43.15245478036176,55.68475452196382,2.0,10.700000000000045
REGIONAL,SAO FELIX DO ARAGUAIA,11,4,3,2,3,66.66666666666666,100.0,1.0,1.8
REGIONAL,SINOP,832,765,762,319,448,41.86351706036746,58.79265091863517,2.0,9.0
REGIONAL,TANGARA DA SERRA,344,306,305,136,181,44.59016393442623,59.34426229508196,2.0,7.0
ANO,1966,1,1,0,0,0,,,,
ANO,1975,1,1,0,0,0,,,,
ANO,1976,1,1,0,0,0,,,,
ANO,1980,1,1,0,0,0,,,,
ANO,2000,1,1,0,0,0,,,,
ANO,2002,1,1,0,0,0,,,,
ANO,2004,1,1,0,0,0,,,,
ANO,2006,8,7,7,0,0,0.0,0.0,6.0,31.800000000000004
ANO,2007,663,605,605,351,426,58.01652892561984,70.41322314049587,1.0,7.0
ANO,2008,441,400,398,207,260,52.01005025125628,65.32663316582915,1.0,7.300000000000011
ANO,2009,366,324,323,145,192,44.89164086687307,59.44272445820433,2.0,9.0
ANO,2010,308,256,256,110,150,42.96875,58.59375,2.0,10.0
ANO,2011,343,311,309,118,176,38.18770226537217,56.957928802588995,2.0,10.0
ANO,2012,338,292,291,109,171,37.45704467353952,58.76288659793815,2.0,8.0
ANO,2013,359,294,293,125,172,42.66211604095563,58.703071672354945,2.0,9.0
ANO,2014,345,275,275,117,158,42.54545454545455,57.45454545454546,2.0,9.0
ANO,2015,270,221,220,85,115,38.63636363636363,52.27272727272727,2.0,12.0
ANO,2016,291,207,204,91,111,44.6078431372549,54.41176470588235,2.0,13.0
ANO,2017,310,251,251,93,140,37.05179282868526,55.77689243027888,2.0,14.0
ANO,2018,287,232,231,84,121,36.36363636363637,52.38095238095239,2.0,12.0
ANO,2019,246,193,193,68,101,35.233160621761655,52.331606217616574,2.0,9.0
ANO,2020,118,94,94,36,44,38.297872340425535,46.808510638297875,3.0,23.70000000000003
ANO,2021,99,77,75,22,29,29.333333333333332,38.666666666666664,4.0,20.60000000000001
ANO,2022,191,139,138,36,53,26.08695652173913,38.405797101449274,4.0,16.0
ANO,2023,268,213,213,56,91,26.291079812206576,42.72300469483568,3.0,16.0
ANO,2024,267,206,205,56,81,27.31707317073171,39.51219512195122,3.0,14.0
ANO,2025,246,198,198,60,84,30.303030303030305,42.42424242424242,3.0,15.0
ANO,2026,173,139,139,39,62,28.05755395683453,44.60431654676259,3.0,11.0
