escopo,recorte,casos_total,com_lead_time,notificacao_le_1d_n,pct_notificacao_le_1d,p50_deteccao_dias,p90_deteccao_dias
ESTADUAL,MATO GROSSO,5944,5919,1762,29.768541983443146,3.0,13.0
REGIONAL,AGUA BOA,115,115,34,29.565217391304348,3.0,13.200000000000017
REGIONAL,ALTA FLORESTA,120,119,40,33.61344537815126,2.0,10.0
REGIONAL,BARRA DO GARCAS,253,253,94,37.15415019762846,2.0,10.800000000000011
REGIONAL,CACERES,362,360,80,22.22222222222222,4.0,19.0
REGIONAL,COLIDER,89,89,24,26.96629213483146,3.0,12.0
REGIONAL,CUIABA,2295,2285,746,32.647702407002186,3.0,13.0
REGIONAL,DIAMANTINO,105,104,23,22.115384615384613,4.0,15.700000000000003
REGIONAL,JUARA,69,68,17,25.0,3.0,9.0
REGIONAL,JUINA,95,95,21,22.105263157894736,4.0,21.60000000000001
REGIONAL,PEIXOTO DE AZEVEDO,142,142,49,34.50704225352113,3.0,13.0
REGIONAL,PONTES E LACERDA,162,161,34,21.11801242236025,4.0,18.0
REGIONAL,PORTO ALEGRE DO NORTE,62,62,16,25.806451612903224,4.0,20.799999999999997
REGIONAL,RONDONOPOLIS,888,884,226,25.565610859728505,3.0,12.0
REGIONAL,SAO FELIX DO ARAGUAIA,11,10,3,30.0,2.0,4.599999999999998
REGIONAL,SINOP,832,828,229,27.657004830917874,3.0,10.0
REGIONAL,TANGARA DA SERRA,344,344,126,36.627906976744185,2.0,10.0
ANO,1966,1,0,0,,,
ANO,1975,1,0,0,,,
ANO,1976,1,0,0,,,
ANO,1980,1,0,0,,,
ANO,2000,1,0,0,,,
ANO,2002,1,0,0,,,
ANO,2004,1,0,0,,,
ANO,2006,8,8,0,0.0,9.0,31.599999999999998
ANO,2007,663,663,278,41.93061840120664,2.0,9.0
ANO,2008,441,440,176,40.0,2.0,10.0
ANO,2009,366,365,118,32.32876712328767,3.0,10.0
ANO,2010,308,308,103,33.44155844155844,3.0,15.0
ANO,2011,343,342,86,25.146198830409354,3.0,13.0
ANO,2012,338,337,93,27.596439169139465,3.0,9.400000000000034
ANO,2013,359,358,104,29.05027932960894,3.0,11.0
ANO,2014,345,345,103,29.855072463768117,3.0,10.0
ANO,2015,270,269,69,25.650557620817843,3.0,13.0
ANO,2016,291,289,87,30.103806228373703,3.0,14.0
ANO,2017,310,310,84,27.09677419354839,3.0,14.100000000000023
ANO,2018,287,285,79,27.719298245614034,3.0,13.0
ANO,2019,246,244,70,28.688524590163933,3.0,11.0
ANO,2020,118,118,32,27.11864406779661,4.0,15.599999999999994
ANO,2021,99,96,18,18.75,6.0,38.0
