ano_evento_v17,classificacao_agrupada_v17,casos,confirmados,obitos_meningite,populacao_estado,populacao_origem,populacao_ref,incidencia_100mil,mortalidade_100mil,letalidade_pct
2006,Meningite pneumocócica,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2007,Doença meningocócica,17,17,4,2334495.0,municipal_soma_com_carry,2334495.0,0.72820888457675,0.1713432669592353,23.52941176470588
2007,Meningite bacteriana/outras bactérias,36,36,5,2334495.0,municipal_soma_com_carry,2334495.0,1.5420894026331178,0.21417908369904412,13.88888888888889
2007,Meningite pneumocócica,15,15,4,2334495.0,municipal_soma_com_carry,2334495.0,0.6425372510971324,0.1713432669592353,26.666666666666668
2007,Meningite por Hib/Hemófilo,3,3,1,2334495.0,municipal_soma_com_carry,2334495.0,0.12850745021942647,0.042835816739808824,33.33333333333333
2007,Meningite tuberculosa,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2008,Doença meningocócica,9,9,3,2334495.0,municipal_soma_com_carry,2334495.0,0.38552235065827944,0.12850745021942647,33.33333333333333
2008,Meningite bacteriana/outras bactérias,34,34,0,2334495.0,municipal_soma_com_carry,2334495.0,1.4564177691535,0.0,0.0
2008,Meningite pneumocócica,19,19,4,2334495.0,municipal_soma_com_carry,2334495.0,0.8138805180563676,0.1713432669592353,21.052631578947366
2008,Meningite por Hib/Hemófilo,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2008,Meningite tuberculosa,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2009,Doença meningocócica,22,22,6,2334495.0,municipal_soma_com_carry,2334495.0,0.9423879682757942,0.25701490043885294,27.27272727272727
2009,Meningite bacteriana/outras bactérias,40,40,5,2334495.0,municipal_soma_com_carry,2334495.0,1.713432669592353,0.21417908369904412,12.5
2009,Meningite pneumocócica,13,13,3,2334495.0,municipal_soma_com_carry,2334495.0,0.5568656176175147,0.12850745021942647,23.076923076923077
2009,Meningite tuberculosa,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2010,Doença meningocócica,24,24,4,2334495.0,municipal_soma_com_carry,2334495.0,1.0280596017554118,0.1713432669592353,16.666666666666664
2010,Meningite bacteriana/outras bactérias,29,29,2,2334495.0,municipal_soma_com_carry,2334495.0,1.2422386854544558,0.08567163347961765,6.896551724137931
2010,Meningite pneumocócica,12,12,5,2334495.0,municipal_soma_com_carry,2334495.0,0.5140298008777059,0.21417908369904412,41.66666666666667
2010,Meningite por Hib/Hemófilo,3,3,3,2334495.0,municipal_soma_com_carry,2334495.0,0.12850745021942647,0.12850745021942647,100.0
2010,Meningite tuberculosa,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2011,Doença meningocócica,29,29,10,2334495.0,municipal_soma_com_carry,2334495.0,1.2422386854544558,0.42835816739808824,34.48275862068966
2011,Meningite bacteriana/outras bactérias,51,51,5,2334495.0,municipal_soma_com_carry,2334495.0,2.18462665373025,0.21417908369904412,9.803921568627452
2011,Meningite pneumocócica,15,15,7,2334495.0,municipal_soma_com_carry,2334495.0,0.6425372510971324,0.29985071717866174,46.666666666666664
2011,Meningite por Hib/Hemófilo,3,3,0,2334495.0,municipal_soma_com_carry,2334495.0,0.12850745021942647,0.0,0.0
2011,Meningite tuberculosa,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2012,Doença meningocócica,38,38,10,2334495.0,municipal_soma_com_carry,2334495.0,1.6277610361127353,0.42835816739808824,26.31578947368421
2012,Meningite bacteriana/outras bactérias,39,39,4,2334495.0,municipal_soma_com_carry,2334495.0,1.670596852852544,0.1713432669592353,10.256410256410255
2012,Meningite pneumocócica,13,13,4,2334495.0,municipal_soma_com_carry,2334495.0,0.5568656176175147,0.1713432669592353,30.76923076923077
2012,Meningite tuberculosa,2,2,1,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.042835816739808824,50.0
2013,Doença meningocócica,34,34,13,2334495.0,municipal_soma_com_carry,2334495.0,1.4564177691535,0.5568656176175147,38.23529411764706
2013,Meningite bacteriana/outras bactérias,33,33,5,2334495.0,municipal_soma_com_carry,2334495.0,1.4135819524136912,0.21417908369904412,15.151515151515152
2013,Meningite pneumocócica,20,20,2,2334495.0,municipal_soma_com_carry,2334495.0,0.8567163347961765,0.08567163347961765,10.0
2014,Doença meningocócica,18,18,4,2334495.0,municipal_soma_com_carry,2334495.0,0.7710447013165589,0.1713432669592353,22.22222222222222
2014,Meningite bacteriana/outras bactérias,28,28,3,2334495.0,municipal_soma_com_carry,2334495.0,1.199402868714647,0.12850745021942647,10.714285714285714
2014,Meningite pneumocócica,18,18,2,2334495.0,municipal_soma_com_carry,2334495.0,0.7710447013165589,0.08567163347961765,11.11111111111111
2014,Meningite tuberculosa,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2015,Doença meningocócica,17,17,3,2334495.0,municipal_soma_com_carry,2334495.0,0.72820888457675,0.12850745021942647,17.647058823529413
