ano_evento_v17,codigo_municipio_v17,municipio_v17,regional_v17,casos,confirmados,obitos_meningite,populacao_estado,populacao_origem,populacao_municipio,populacao_ref,incidencia_100mil,mortalidade_100mil,letalidade_pct
1966,510520,JUSCIMEIRA,RONDONOPOLIS,1,1,1,2334495.0,municipal_soma_com_carry,11480.0,11480.0,8.710801393728223,8.710801393728223,100.0
1976,510840,VARZEA GRANDE,CUIABA,1,1,0,2334495.0,municipal_soma_com_carry,287526.0,287526.0,0.34779463422438317,0.0,0.0
1980,510340,CUIABA,CUIABA,1,1,0,2334495.0,municipal_soma_com_carry,618124.0,618124.0,0.16177983705534812,0.0,0.0
2006,510340,CUIABA,CUIABA,1,1,0,2334495.0,municipal_soma_com_carry,618124.0,618124.0,0.16177983705534812,0.0,0.0
2006,510517,JURUENA,JUINA,1,1,0,2334495.0,municipal_soma_com_carry,10149.0,10149.0,9.853187506158243,0.0,0.0
2006,510650,POCONE,CUIABA,1,1,0,2334495.0,municipal_soma_com_carry,31217.0,31217.0,3.2033827722074513,0.0,0.0
2006,510680,PORTO DOS GAUCHOS,JUARA,1,1,0,2334495.0,municipal_soma_com_carry,5690.0,5690.0,17.574692442882252,0.0,0.0
2006,510760,RONDONOPOLIS,RONDONOPOLIS,1,1,0,2334495.0,municipal_soma_com_carry,236042.0,236042.0,0.4236534176121199,0.0,0.0
2006,510790,SINOP,SINOP,1,1,0,2334495.0,municipal_soma_com_carry,148960.0,148960.0,0.6713211600429646,0.0,0.0
2007,510020,AGUA BOA,AGUA BOA,1,1,0,2334495.0,municipal_soma_com_carry,26204.0,26204.0,3.816211265455656,0.0,0.0
2007,510025,ALTA FLORESTA,ALTA FLORESTA,6,6,3,2334495.0,municipal_soma_com_carry,51959.0,51959.0,11.547566350391655,5.7737831751958275,50.0
2007,510030,ALTO ARAGUAIA,RONDONOPOLIS,1,1,0,2334495.0,municipal_soma_com_carry,17567.0,17567.0,5.692491603574885,0.0,0.0
2007,510080,APIACAS,ALTA FLORESTA,1,1,0,2334495.0,municipal_soma_com_carry,10283.0,10283.0,9.724788485850432,0.0,0.0
2007,510125,ARAPUTANGA,CACERES,2,2,0,2334495.0,municipal_soma_com_carry,16951.0,16951.0,11.79871394018052,0.0,0.0
2007,510170,BARRA DO BUGRES,TANGARA DA SERRA,1,1,0,2334495.0,municipal_soma_com_carry,35307.0,35307.0,2.8322995439997736,0.0,0.0
2007,510180,BARRA DO GARCAS,BARRA DO GARCAS,2,2,0,2334495.0,municipal_soma_com_carry,61135.0,61135.0,3.2714484337940624,0.0,0.0
2007,510250,CACERES,CACERES,12,12,1,2334495.0,municipal_soma_com_carry,95339.0,95339.0,12.586664429037434,1.0488887024197862,8.333333333333332
2007,510260,CAMPINAPOLIS,BARRA DO GARCAS,1,1,1,2334495.0,municipal_soma_com_carry,15347.0,15347.0,6.515931452401121,6.515931452401121,100.0
2007,510263,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,1,1,0,2334495.0,municipal_soma_com_carry,36917.0,36917.0,2.7087791532356364,0.0,0.0
2007,510267,CAMPO VERDE,RONDONOPOLIS,4,4,0,2334495.0,municipal_soma_com_carry,45740.0,45740.0,8.745080891998251,0.0,0.0
2007,510270,CANARANA,AGUA BOA,1,1,0,2334495.0,municipal_soma_com_carry,21842.0,21842.0,4.578335317278638,0.0,0.0
2007,510340,CUIABA,CUIABA,127,127,5,2334495.0,municipal_soma_com_carry,618124.0,618124.0,20.54603930602921,0.8088991852767407,3.937007874015748
2007,510345,DENISE,TANGARA DA SERRA,2,2,0,2334495.0,municipal_soma_com_carry,7014.0,7014.0,28.514399771884804,0.0,0.0
2007,510350,DIAMANTINO,DIAMANTINO,2,2,0,2334495.0,municipal_soma_com_carry,22178.0,22178.0,9.017945711966815,0.0,0.0
2007,510370,FELIZ NATAL,SINOP,1,1,0,2334495.0,municipal_soma_com_carry,10521.0,10521.0,9.5047999239616,0.0,0.0
2007,510380,FIGUEIROPOLIS D OESTE,PONTES E LACERDA,1,1,0,2334495.0,municipal_soma_com_carry,7782.0,7782.0,12.85016705217168,0.0,0.0
2007,510385,GAUCHA DO NORTE,AGUA BOA,1,1,0,2334495.0,municipal_soma_com_carry,7782.0,7782.0,12.85016705217168,0.0,0.0
2007,510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,4,4,0,2334495.0,municipal_soma_com_carry,36130.0,36130.0,11.071132023249378,0.0,0.0
2007,510420,GUIRATINGA,RONDONOPOLIS,4,4,0,2334495.0,municipal_soma_com_carry,15245.0,15245.0,26.23811085601837,0.0,0.0
2007,510460,ITIQUIRA,RONDONOPOLIS,2,2,2,2334495.0,municipal_soma_com_carry,13552.0,13552.0,14.757969303423849,14.757969303423849,100.0
2007,510480,JACIARA,RONDONOPOLIS,2,2,0,2334495.0,municipal_soma_com_carry,27696.0,27696.0,7.221259387637203,0.0,0.0
2007,510490,JANGADA,CUIABA,1,1,0,2334495.0,municipal_soma_com_carry,7491.0,7491.0,13.349352556401014,0.0,0.0
2007,510510,JUARA,JUARA,1,1,0,2334495.0,municipal_soma_com_carry,34906.0,34906.0,2.864836990775225,0.0,0.0
2007,510515,JUINA,JUINA,2,2,0,2334495.0,municipal_soma_com_carry,41101.0,41101.0,4.866061653001144,0.0,0.0
2007,510520,JUSCIMEIRA,RONDONOPOLIS,1,1,0,2334495.0,municipal_soma_com_carry,11480.0,11480.0,8.710801393728223,0.0,0.0
2007,510525,LUCAS DO RIO VERDE,SINOP,2,2,0,2334495.0,municipal_soma_com_carry,67620.0,67620.0,2.9577048210588583,0.0,0.0
2007,510550,VILA BELA DA S TRINDADE,PONTES E LACERDA,1,1,0,2334495.0,municipal_soma_com_carry,10107.0,10107.0,9.894132779261898,0.0,0.0
