ano_evento_v17,notificados,confirmados,obitos_meningite,populacao_ref,incidencia_100mil,mortalidade_100mil,letalidade_pct,confirmados_bacterianas,obitos_bacterianas,incidencia_bacteriana_100mil,mortalidade_bacteriana_100mil,letalidade_bacteriana_pct,pct_confirmacao
1966,1,1,1,2334495.0,0.042835816739808824,0.042835816739808824,100.0,0,0,0.0,0.0,,100.0
1976,1,1,0,2334495.0,0.042835816739808824,0.0,0.0,0,0,0.0,0.0,,100.0
1980,1,1,0,2334495.0,0.042835816739808824,0.0,0.0,0,0,0.0,0.0,,100.0
2006,8,6,0,2334495.0,0.25701490043885294,0.0,0.0,1,0,0.042835816739808824,0.0,0.0,75.0
2007,663,412,27,2334495.0,17.648356496801235,1.1565670519748383,6.553398058252427,72,14,3.0841788052662356,0.5997014343573235,19.444444444444446,62.14177978883861
2008,441,268,13,2334495.0,11.479998886268765,0.5568656176175147,4.850746268656716,65,7,2.7843280880875736,0.29985071717866174,10.76923076923077,60.770975056689345
2009,366,216,26,2334495.0,9.252536415798707,1.1137312352350295,12.037037037037036,76,14,3.2555220722254705,0.5997014343573235,18.421052631578945,59.01639344262295
2010,308,177,22,2334495.0,7.581939562946162,0.9423879682757942,12.429378531073446,69,14,2.955671355046809,0.5997014343573235,20.28985507246377,57.467532467532465
2011,343,235,33,2334495.0,10.066416933855074,1.4135819524136912,14.042553191489363,99,22,4.240745857241073,0.9423879682757942,22.22222222222222,68.5131195335277
2012,338,246,27,2334495.0,10.537610917992971,1.1565670519748383,10.975609756097562,92,19,3.9408951400624117,0.8138805180563676,20.652173913043477,72.7810650887574
2013,359,249,32,2334495.0,10.666118368212397,1.3707461356738824,12.851405622489958,87,20,3.726716056363368,0.8567163347961765,22.988505747126435,69.35933147632312
2014,345,221,15,2334495.0,9.46671549949775,0.6425372510971324,6.787330316742081,65,9,2.7843280880875736,0.38552235065827944,13.846153846153847,64.05797101449275
2015,270,165,20,2334495.0,7.067909762068456,0.8567163347961765,12.121212121212121,56,11,2.398805737429294,0.4711939841378971,19.642857142857142,61.111111111111114
2016,291,183,16,2334495.0,7.838954463385014,0.6853730678369412,8.743169398907105,42,8,1.7991043030719704,0.3426865339184706,19.047619047619047,62.88659793814433
2017,310,204,27,2334495.0,8.738506614921,1.1565670519748383,13.23529411764706,49,10,2.0989550202506324,0.42835816739808824,20.408163265306122,65.80645161290323
2018,287,163,17,2334495.0,6.982238128588838,0.72820888457675,10.429447852760736,45,7,1.927611753291397,0.29985071717866174,15.555555555555555,56.79442508710801
2019,246,144,18,2334495.0,6.168357610532471,0.7710447013165589,12.5,48,9,2.0561192035108236,0.38552235065827944,18.75,58.536585365853654
2020,118,60,8,2334495.0,2.57014900438853,0.3426865339184706,13.333333333333334,23,3,0.9852237850156029,0.12850745021942647,13.043478260869565,50.847457627118644
2021,99,54,16,2218675.0,2.433885089073433,0.7211511375032396,29.629629629629626,19,8,0.856366975785097,0.3605755687516198,42.10526315789473,54.54545454545454
2022,191,95,13,2682788.0,3.541092326341105,0.48457052886773017,13.684210526315791,26,7,0.9691410577354603,0.2609225924672393,26.923076923076923,49.73821989528796
2023,268,128,12,3033056.0,4.2201660635346,0.39564056845636875,9.375,34,7,1.1209816106263781,0.23079033159954845,20.588235294117645,47.76119402985074
2024,267,112,25,3184278.0,3.517280840429133,0.7851073304529315,22.321428571428573,40,13,1.2561717287246905,0.40825581183552445,32.5,41.947565543071164
2025,246,87,16,3039100.0,2.862689612056201,0.526471652791945,18.39080459770115,30,8,0.9871343489848968,0.2632358263959725,26.666666666666668,35.36585365853659
2026,173,67,11,3039100.0,2.2046000460662696,0.3619492612944622,16.417910447761194,25,5,0.822611957487414,0.1645223914974828,20.0,38.72832369942196
