regional_v17,classificacao_agrupada_v17,vacina,campo_vacinal,status,motivo,n_registros_no_estrato,registros_com_campo_vacinal
AGUA BOA,Doença meningocócica,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,"BCG é aplicável a Meningite tuberculosa, não a Doença meningocócica.",8,5
AGUA BOA,Doença meningocócica,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,"Hib/Hemófilos é aplicável a Meningite por Hib/Hemófilo, não a Doença meningocócica.",8,3
AGUA BOA,Doença meningocócica,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,"Pneumocócica é aplicável a Meningite pneumocócica, não a Doença meningocócica.",8,3
AGUA BOA,Doença meningocócica,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Doença meningocócica.",8,2
AGUA BOA,Doença meningocócica,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,"Outras vacinas é aplicável a nenhuma etiologia alvo direta, não a Doença meningocócica.",8,1
AGUA BOA,Meningite bacteriana/outras bactérias,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica A/C é aplicável a Doença meningocócica, não a Meningite bacteriana/outras bactérias.",8,2
AGUA BOA,Meningite bacteriana/outras bactérias,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica B/C é aplicável a Doença meningocócica, não a Meningite bacteriana/outras bactérias.",8,2
AGUA BOA,Meningite bacteriana/outras bactérias,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Não aplicável etiologicamente,"Meningocócica C conjugada é aplicável a Doença meningocócica, não a Meningite bacteriana/outras bactérias.",8,1
AGUA BOA,Meningite bacteriana/outras bactérias,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,"BCG é aplicável a Meningite tuberculosa, não a Meningite bacteriana/outras bactérias.",8,1
AGUA BOA,Meningite bacteriana/outras bactérias,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,"Hib/Hemófilos é aplicável a Meningite por Hib/Hemófilo, não a Meningite bacteriana/outras bactérias.",8,2
AGUA BOA,Meningite bacteriana/outras bactérias,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,"Pneumocócica é aplicável a Meningite pneumocócica, não a Meningite bacteriana/outras bactérias.",8,2
AGUA BOA,Meningite bacteriana/outras bactérias,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Meningite bacteriana/outras bactérias.",8,2
AGUA BOA,Meningite bacteriana/outras bactérias,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,"Outras vacinas é aplicável a nenhuma etiologia alvo direta, não a Meningite bacteriana/outras bactérias.",8,2
AGUA BOA,Meningite fúngica,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica A/C é aplicável a Doença meningocócica, não a Meningite fúngica.",1,0
AGUA BOA,Meningite fúngica,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica B/C é aplicável a Doença meningocócica, não a Meningite fúngica.",1,0
AGUA BOA,Meningite fúngica,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Não aplicável etiologicamente,"Meningocócica C conjugada é aplicável a Doença meningocócica, não a Meningite fúngica.",1,0
AGUA BOA,Meningite fúngica,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,"BCG é aplicável a Meningite tuberculosa, não a Meningite fúngica.",1,0
AGUA BOA,Meningite fúngica,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,"Hib/Hemófilos é aplicável a Meningite por Hib/Hemófilo, não a Meningite fúngica.",1,0
AGUA BOA,Meningite fúngica,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,"Pneumocócica é aplicável a Meningite pneumocócica, não a Meningite fúngica.",1,0
AGUA BOA,Meningite fúngica,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Meningite fúngica.",1,0
AGUA BOA,Meningite fúngica,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,"Outras vacinas é aplicável a nenhuma etiologia alvo direta, não a Meningite fúngica.",1,0
AGUA BOA,Meningite não especificada,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica A/C é aplicável a Doença meningocócica, não a Meningite não especificada.",15,7
AGUA BOA,Meningite não especificada,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica B/C é aplicável a Doença meningocócica, não a Meningite não especificada.",15,7
AGUA BOA,Meningite não especificada,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Não aplicável etiologicamente,"Meningocócica C conjugada é aplicável a Doença meningocócica, não a Meningite não especificada.",15,7
AGUA BOA,Meningite não especificada,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,"BCG é aplicável a Meningite tuberculosa, não a Meningite não especificada.",15,7
AGUA BOA,Meningite não especificada,Hib/Hemófilos,VacinaContraHemofilos_bin_v17,Não aplicável etiologicamente,"Hib/Hemófilos é aplicável a Meningite por Hib/Hemófilo, não a Meningite não especificada.",15,8
AGUA BOA,Meningite não especificada,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,"Pneumocócica é aplicável a Meningite pneumocócica, não a Meningite não especificada.",15,8
AGUA BOA,Meningite não especificada,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Meningite não especificada.",15,9
AGUA BOA,Meningite não especificada,Outras vacinas,VacinaOutras_bin_v17,Não aplicável etiologicamente,"Outras vacinas é aplicável a nenhuma etiologia alvo direta, não a Meningite não especificada.",15,6
AGUA BOA,Meningite por Hib/Hemófilo,Meningocócica polissacarídica A/C,VacinaContraPolissacaridicaAC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica A/C é aplicável a Doença meningocócica, não a Meningite por Hib/Hemófilo.",2,1
AGUA BOA,Meningite por Hib/Hemófilo,Meningocócica polissacarídica B/C,VacinaContraPolissacaridicaBC_bin_v17,Não aplicável etiologicamente,"Meningocócica polissacarídica B/C é aplicável a Doença meningocócica, não a Meningite por Hib/Hemófilo.",2,1
AGUA BOA,Meningite por Hib/Hemófilo,Meningocócica C conjugada,VacinaConjugadaMeningoC_bin_v17,Não aplicável etiologicamente,"Meningocócica C conjugada é aplicável a Doença meningocócica, não a Meningite por Hib/Hemófilo.",2,1
AGUA BOA,Meningite por Hib/Hemófilo,BCG,VacinaContraBCG_bin_v17,Não aplicável etiologicamente,"BCG é aplicável a Meningite tuberculosa, não a Meningite por Hib/Hemófilo.",2,1
AGUA BOA,Meningite por Hib/Hemófilo,Pneumocócica,VacinaContraPneumococo_bin_v17,Não aplicável etiologicamente,"Pneumocócica é aplicável a Meningite pneumocócica, não a Meningite por Hib/Hemófilo.",2,0
AGUA BOA,Meningite por Hib/Hemófilo,Tríplice bacteriana/DTP,VacinaContraTriplice_bin_v17,Não aplicável etiologicamente,"Tríplice bacteriana/DTP é aplicável a nenhuma etiologia alvo direta, não a Meningite por Hib/Hemófilo.",2,0
