arquivo,modulo_origem,gerado_em,idade_horas,linhas,status,execucao_status,execucao_obrigatorio,execucao_duracao_s,execucao_erro,limiar_fresco_horas,verificado_em
aglomerado_espaco_temporal_v28.csv,28_indicadores_novos_v28.py,2026-07-29T12:37:49,0.0,12.0,fresco,ok,False,6.27,,48.0,2026-07-29T12:37:50
alerta_surtos_classificacao_agrupada_v17.csv,03_surtos_canal_endemico_meningites_v17.py,2026-07-27T11:37:00,49.01,3.0,atrasado,,,,,48.0,2026-07-29T12:37:50
alertas_inteligentes_casos_v23.csv,13_alertas_inteligentes_v23.py,2026-07-29T12:34:47,0.05,2104.0,fresco,ok,True,1.23,,48.0,2026-07-29T12:37:50
alertas_inteligentes_fila_cievs_v23.csv,20_enriquecimento_dw_fila_cievs_v23.py,2026-07-29T12:37:23,0.01,257.0,fresco,ok,False,1.93,,48.0,2026-07-29T12:37:50
alertas_inteligentes_resumo_v23.csv,13_alertas_inteligentes_v23.py,2026-07-29T12:34:47,0.05,11.0,fresco,ok,True,1.23,,48.0,2026-07-29T12:37:50
alertas_inteligentes_surtos_nt154_v23.csv,13_alertas_inteligentes_v23.py,2026-07-29T12:34:47,0.05,0.0,fresco,ok,True,1.23,,48.0,2026-07-29T12:37:50
alertas_inteligentes_surtos_nt97_v23.csv,13_alertas_inteligentes_v23.py,2026-07-29T12:34:47,0.05,0.0,fresco,ok,True,1.23,,48.0,2026-07-29T12:37:50
alertas_linkage_dw_v23.csv,20_enriquecimento_dw_fila_cievs_v23.py,2026-07-29T12:37:23,0.01,29.0,fresco,ok,False,1.93,,48.0,2026-07-29T12:37:50
alertas_personalizados_indice_v23.csv,23_alertas_personalizados_ia_v23.py,2026-07-29T12:37:37,0.0,18.0,fresco,ok,False,6.53,,48.0,2026-07-29T12:37:50
alertas_personalizados_resumo_v23.csv,23_alertas_personalizados_ia_v23.py,2026-07-29T12:37:42,0.0,1.0,fresco,ok,False,6.53,,48.0,2026-07-29T12:37:50
alertas_qualidade_sinan_v23.csv,20_enriquecimento_dw_fila_cievs_v23.py,2026-07-29T12:37:23,0.01,43.0,fresco,ok,False,1.93,,48.0,2026-07-29T12:37:50
analise_sinan_canvas_data.json,desconhecido,2026-07-26T18:52:05,65.76,,atrasado,,,,,48.0,2026-07-29T12:37:50
analise_sinan_meningites_snapshot.json,desconhecido,2026-07-26T18:49:46,65.8,,atrasado,,,,,48.0,2026-07-29T12:37:50
assistente_faq_exemplos_v23.csv,desconhecido,2026-07-29T12:35:09,0.04,52.0,fresco,,,,,48.0,2026-07-29T12:37:50
assistente_kb_docs_ms_meta_v27.json,27_ingestao_docs_ms_rag_v27.py,2026-07-29T12:35:02,0.05,,fresco,ok,False,5.69,,48.0,2026-07-29T12:37:50
assistente_kb_docs_ms_v27.csv,27_ingestao_docs_ms_rag_v27.py,2026-07-29T12:35:02,0.05,6391.0,fresco,ok,False,5.69,,48.0,2026-07-29T12:37:50
assistente_kb_documentos_v23.csv,16_assistente_cievs_v23.py,2026-07-29T12:35:08,0.04,6163.0,fresco,ok,False,22.31,,48.0,2026-07-29T12:37:50
assistente_meta_v23.json,16_assistente_cievs_v23.py,2026-07-29T12:35:19,0.04,,fresco,ok,False,22.31,,48.0,2026-07-29T12:37:50
assistente_narrativa_boletim_v23.md,desconhecido,2026-07-29T12:35:18,0.04,60.0,fresco,,,,,48.0,2026-07-29T12:37:50
assistente_smoke_test_v23.csv,desconhecido,2026-07-29T12:35:19,0.04,5.0,fresco,,,,,48.0,2026-07-29T12:37:50
associacoes_comorbidades_detalhe_v18.csv,10_comorbidades_associacoes_v18.py,2026-07-27T11:38:04,49.0,56.0,atrasado,,,,,48.0,2026-07-29T12:37:50
associacoes_comorbidades_quiquadrado_v18.csv,10_comorbidades_associacoes_v18.py,2026-07-27T11:38:04,49.0,14.0,atrasado,,,,,48.0,2026-07-29T12:37:50
auditoria_sinan_fonte_v23.json,00_base_unica_meningites_v17.py,2026-07-27T11:36:50,49.02,,atrasado,,,,,48.0,2026-07-29T12:37:50
auditoria_sinan_somente_dw_v23.csv,desconhecido,2026-07-27T11:36:50,49.02,109.0,atrasado,,,,,48.0,2026-07-29T12:37:50
auditoria_sinan_somente_local_v23.csv,desconhecido,2026-07-27T11:36:50,49.02,2.0,atrasado,,,,,48.0,2026-07-29T12:37:50
backlog_operacional_regional_v25.csv,26_indicadores_ops_avancados_v25.py,2026-07-29T12:37:33,0.0,16.0,fresco,ok,False,1.83,,48.0,2026-07-29T12:37:50
backlog_operacional_resumo_v25.csv,26_indicadores_ops_avancados_v25.py,2026-07-29T12:37:33,0.0,1.0,fresco,ok,False,1.83,,48.0,2026-07-29T12:37:50
base_unica_meningites_v17.csv,00_base_unica_meningites_v17.py,2026-07-27T11:36:51,49.02,5944.0,atrasado,,,,,48.0,2026-07-29T12:37:50
base_unica_meningites_v17.parquet,00_base_unica_meningites_v17.py,2026-07-27T11:36:51,49.02,,atrasado,,,,,48.0,2026-07-29T12:37:50
boletim_envio_v25.md,desconhecido,2026-07-29T12:37:33,0.0,53.0,fresco,,,,,48.0,2026-07-29T12:37:50
boletim_semanal_rascunho_v23.md,15_boletim_semanal_rascunho_v23.py,2026-07-29T12:34:51,0.05,93.0,fresco,ok,False,0.86,,48.0,2026-07-29T12:37:50
canal_endemico_classificacao_agrupada_v17.csv,03_surtos_canal_endemico_meningites_v17.py,2026-07-27T11:37:00,49.01,412.0,atrasado,,,,,48.0,2026-07-29T12:37:50
casos_sem_denominador_populacional_v28.csv,28_indicadores_novos_v28.py,2026-07-29T12:37:45,0.0,45.0,fresco,ok,False,6.27,,48.0,2026-07-29T12:37:50
clima_casos_diario_v17.csv,desconhecido,2026-07-27T11:37:58,49.0,3653.0,atrasado,,,,,48.0,2026-07-29T12:37:50
cobertura_sorogrupo_dm_v28.csv,28_indicadores_novos_v28.py,2026-07-29T12:37:44,0.0,45.0,fresco,ok,False,6.27,,48.0,2026-07-29T12:37:50
completude_essenciais_municipio_v28.csv,28_indicadores_novos_v28.py,2026-07-29T12:37:48,0.0,140.0,fresco,ok,False,6.27,,48.0,2026-07-29T12:37:50
completude_essenciais_regional_v28.csv,28_indicadores_novos_v28.py,2026-07-29T12:37:48,0.0,17.0,fresco,ok,False,6.27,,48.0,2026-07-29T12:37:50
contatos_por_caso_dm_v28.csv,28_indicadores_novos_v28.py,2026-07-29T12:37:44,0.0,45.0,fresco,ok,False,6.27,,48.0,2026-07-29T12:37:50
correlacao_clima_casos_v17.csv,06_clima_casos_meningites_v17.py,2026-07-27T11:37:58,49.0,1085.0,atrasado,,,,,48.0,2026-07-29T12:37:50
correlacao_clima_desfechos_top_v17.csv,06_clima_casos_meningites_v17.py,2026-07-27T11:37:58,49.0,40.0,atrasado,,,,,48.0,2026-07-29T12:37:50
correlacao_distancia_laboratorio_v20.csv,05_geoespacial_moran_distancia_laboratorio_v20.py,2026-07-27T11:37:51,49.0,4.0,atrasado,,,,,48.0,2026-07-29T12:37:50
criterio_confirmacao_v20.csv,07_laboratorio_qualidade_meningites_v20.py,2026-07-27T11:38:00,49.0,11.0,atrasado,,,,,48.0,2026-07-29T12:37:50
data_quality_completude_v17.csv,desconhecido,2026-04-29T11:32:10,2185.09,14.0,atrasado,,,,,48.0,2026-07-29T12:37:50
data_quality_inconsistencias_v17.csv,desconhecido,2026-04-29T11:32:10,2185.09,4.0,atrasado,,,,,48.0,2026-07-29T12:37:50
desfechos_mortalidade_sim_v23.csv,20_enriquecimento_dw_fila_cievs_v23.py,2026-07-29T12:37:23,0.01,5944.0,fresco,ok,False,1.93,,48.0,2026-07-29T12:37:50
diagnostico_clima_v17.txt,desconhecido,2026-07-27T11:37:58,49.0,5.0,atrasado,,,,,48.0,2026-07-29T12:37:50
dicionario_classificacao_agrupada_v17.csv,00_base_unica_meningites_v17.py,2026-07-27T11:36:51,49.02,10.0,atrasado,,,,,48.0,2026-07-29T12:37:50
dw_descoberta_resumo_v23.json,19_dw_descobrir_e_extrair_v23.py,2026-07-27T11:38:45,48.98,,atrasado,falhou,False,46.26,código de saída 1,48.0,2026-07-29T12:37:50
dw_meta_cnes_estabelecimentos.json,desconhecido,2026-07-27T11:38:41,48.99,,atrasado,,,,,48.0,2026-07-29T12:37:50
dw_meta_gal_lacen_meningites.json,desconhecido,2026-07-27T11:38:41,48.99,,atrasado,,,,,48.0,2026-07-29T12:37:50
dw_meta_sim_obitos_meningites.json,desconhecido,2026-07-27T11:38:41,48.99,,atrasado,,,,,48.0,2026-07-29T12:37:50
dw_meta_sinan_meningites_dw.json,desconhecido,2026-07-27T11:38:42,48.99,,atrasado,,,,,48.0,2026-07-29T12:37:50
dw_meta_sinasc_dw.json,desconhecido,2026-07-27T11:38:45,48.98,,atrasado,,,,,48.0,2026-07-29T12:37:50
dw_objetos_descobertos_v23.csv,19_dw_descobrir_e_extrair_v23.py,2026-07-27T11:38:21,48.99,34.0,atrasado,falhou,False,46.26,código de saída 1,48.0,2026-07-29T12:37:50
dw_schema_cnes_estabelecimentos.csv,desconhecido,2026-07-27T11:38:41,48.99,0.0,atrasado,,,,,48.0,2026-07-29T12:37:50
dw_schema_gal_lacen_meningites.csv,desconhecido,2026-07-27T11:38:41,48.99,0.0,atrasado,,,,,48.0,2026-07-29T12:37:50
dw_schema_sim_obitos_meningites.csv,desconhecido,2026-07-27T11:38:41,48.99,0.0,atrasado,,,,,48.0,2026-07-29T12:37:50
dw_schema_sinan_meningites_dw.csv,desconhecido,2026-07-27T11:38:42,48.99,0.0,atrasado,,,,,48.0,2026-07-29T12:37:50
dw_schema_sinasc_dw.csv,desconhecido,2026-07-27T11:38:45,48.98,0.0,atrasado,,,,,48.0,2026-07-29T12:37:50
efetividade_vacinal_etiologia_coerente_v17.csv,08_vacina_etiologia_or_meningites_v17.py,2026-07-27T11:38:02,49.0,243.0,atrasado,,,,,48.0,2026-07-29T12:37:50
enriquecimento_casos_dw_v23.csv,20_enriquecimento_dw_fila_cievs_v23.py,2026-07-29T12:37:23,0.01,5944.0,fresco,ok,False,1.93,,48.0,2026-07-29T12:37:50
enriquecimento_dw_resumo_v23.csv,20_enriquecimento_dw_fila_cievs_v23.py,2026-07-29T12:37:23,0.01,1.0,fresco,ok,False,1.93,,48.0,2026-07-29T12:37:50
fila_cievs_unificada_v23.csv,20_enriquecimento_dw_fila_cievs_v23.py,2026-07-29T12:37:23,0.01,257.0,fresco,ok,False,1.93,,48.0,2026-07-29T12:37:50
fila_cievs_unificada_v23.md,desconhecido,2026-07-29T12:37:23,0.01,50.0,fresco,,,,,48.0,2026-07-29T12:37:50
forecasting_7_15_30_45_v17.csv,04_nowcasting_forecasting_meningites_v17.py,2026-07-27T11:37:48,49.0,291.0,atrasado,,,,,48.0,2026-07-29T12:37:50
forecasting_backtest_v23.csv,desconhecido,2026-07-29T12:37:32,0.0,8.0,fresco,,,,,48.0,2026-07-29T12:37:50
forecasting_backtest_v24.csv,desconhecido,2026-07-29T12:37:36,0.0,136.0,fresco,,,,,48.0,2026-07-29T12:37:50
forecasting_operacional_v24.csv,24_nowcast_operacional_gestao_v24.py,2026-07-29T12:37:36,0.0,136.0,fresco,ok,True,2.41,,48.0,2026-07-29T12:37:50
forecasting_resumo_v17.csv,04_nowcasting_forecasting_meningites_v17.py,2026-07-27T11:37:48,49.0,16.0,atrasado,,,,,48.0,2026-07-29T12:37:50
forecasting_semanal_ensemble_v23.csv,22_nowcast_forecast_refinado_v23.py,2026-07-29T12:37:32,0.0,8.0,fresco,ok,False,0.92,,48.0,2026-07-29T12:37:50
geoespacial_laboratorio_distancia_v20.csv,05_geoespacial_moran_distancia_laboratorio_v20.py,2026-07-27T11:37:50,49.0,140.0,atrasado,,,,,48.0,2026-07-29T12:37:50
gravidade_letalidade_se_corrente_v25.csv,26_indicadores_ops_avancados_v25.py,2026-07-29T12:37:33,0.0,2.0,fresco,ok,False,1.83,,48.0,2026-07-29T12:37:50
indicadores_gestao_extras_v25.csv,26_indicadores_ops_avancados_v25.py,2026-07-29T12:37:33,0.0,1.0,fresco,ok,False,1.83,,48.0,2026-07-29T12:37:50
indicadores_gestao_semana_v24.csv,24_nowcast_operacional_gestao_v24.py,2026-07-29T12:37:36,0.0,1.0,fresco,ok,True,2.41,,48.0,2026-07-29T12:37:50
indicadores_laboratoriais_classificacao_v17.csv,desconhecido,2026-07-27T11:38:00,49.0,9.0,atrasado,,,,,48.0,2026-07-29T12:37:50
indicadores_laboratoriais_classificacao_v20.csv,07_laboratorio_qualidade_meningites_v20.py,2026-07-27T11:38:00,49.0,9.0,atrasado,,,,,48.0,2026-07-29T12:37:50
indicadores_laboratoriais_metodos_v17.csv,desconhecido,2026-07-27T11:37:59,49.0,18.0,atrasado,,,,,48.0,2026-07-29T12:37:50
indicadores_laboratoriais_metodos_v20.csv,07_laboratorio_qualidade_meningites_v20.py,2026-07-27T11:37:59,49.0,18.0,atrasado,,,,,48.0,2026-07-29T12:37:50
indicadores_ms_operacionais_ano_v23.csv,12_indicadores_ms_operacionais_v23.py,2026-07-29T12:34:45,0.05,28.0,fresco,ok,True,2.82,,48.0,2026-07-29T12:37:50
indicadores_ms_operacionais_base_v23.csv,12_indicadores_ms_operacionais_v23.py,2026-07-29T12:34:44,0.05,8.0,fresco,ok,True,2.82,,48.0,2026-07-29T12:37:50
indicadores_ms_operacionais_municipio_v23.csv,12_indicadores_ms_operacionais_v23.py,2026-07-29T12:34:46,0.05,140.0,fresco,ok,True,2.82,,48.0,2026-07-29T12:37:50
indicadores_ms_operacionais_regional_v23.csv,12_indicadores_ms_operacionais_v23.py,2026-07-29T12:34:45,0.05,16.0,fresco,ok,True,2.82,,48.0,2026-07-29T12:37:50
indicadores_ms_operacionais_resumo_base_v23.csv,12_indicadores_ms_operacionais_v23.py,2026-07-29T12:34:44,0.05,1.0,fresco,ok,True,2.82,,48.0,2026-07-29T12:37:50
indicadores_ms_operacionais_resumo_v23.csv,26_indicadores_ops_avancados_v25.py,2026-07-29T12:37:33,0.0,1.0,fresco,ok,False,1.83,,48.0,2026-07-29T12:37:50
indicadores_ms_operacionais_resumo_v25.csv,26_indicadores_ops_avancados_v25.py,2026-07-29T12:37:33,0.0,1.0,fresco,ok,False,1.83,,48.0,2026-07-29T12:37:50
indicadores_ms_operacionais_v23.csv,26_indicadores_ops_avancados_v25.py,2026-07-29T12:37:33,0.0,8.0,fresco,ok,False,1.83,,48.0,2026-07-29T12:37:50
indicadores_ms_operacionais_v25.csv,26_indicadores_ops_avancados_v25.py,2026-07-29T12:37:33,0.0,8.0,fresco,ok,False,1.83,,48.0,2026-07-29T12:37:50
indicadores_ms_por_regional_v23.csv,desconhecido,2026-07-29T12:37:37,0.0,16.0,fresco,,,,,48.0,2026-07-29T12:37:50
indicadores_municipio_ano_classificacao_agrupada_v17.csv,00_base_unica_meningites_v17.py,2026-07-27T11:36:52,49.02,2256.0,atrasado,,,,,48.0,2026-07-29T12:37:50
