ano_evento_v17,codigo_municipio_v17,municipio_v17,regional_v17,casos,confirmados,hospitalizacoes,obitos_meningite,populacao,incidencia_100mil,mortalidade_100mil,letalidade_confirmados,score_risco
2026,510020,AGUA BOA,AGUA BOA,1,0,1,0,,,,,1.469387755102041
2026,510025,ALTA FLORESTA,ALTA FLORESTA,2,0,2,0,,,,,1.469387755102041
2026,510100,ARAGUAIANA,BARRA DO GARCAS,1,1,1,0,,,,0.0,1.469387755102041
2026,510130,ARENAPOLIS,TANGARA DA SERRA,1,0,1,0,,,,,1.469387755102041
2026,510140,ARIPUANA,JUINA,1,0,1,0,,,,,1.469387755102041
2026,510170,BARRA DO BUGRES,TANGARA DA SERRA,1,0,1,0,,,,,1.469387755102041
2026,510180,BARRA DO GARCAS,BARRA DO GARCAS,4,1,4,0,,,,0.0,1.469387755102041
2026,510250,CACERES,CACERES,7,3,7,1,,,,33.33333333333333,1.9387755102040818
2026,510260,CAMPINAPOLIS,BARRA DO GARCAS,1,0,1,0,,,,,1.469387755102041
2026,510263,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,3,0,1,0,,,,,1.469387755102041
2026,510267,CAMPO VERDE,RONDONOPOLIS,2,1,1,0,,,,0.0,1.469387755102041
2026,510269,CANABRAVA DO NORTE,PORTO ALEGRE DO NORTE,1,0,0,0,,,,,1.469387755102041
2026,510270,CANARANA,AGUA BOA,4,2,4,0,,,,0.0,1.469387755102041
2026,510320,COLIDER,COLIDER,1,0,1,0,,,,,1.469387755102041
2026,510340,CUIABA,CUIABA,36,17,36,2,,,,11.76470588235294,1.9183673469387754
2026,510395,GLORIA D OESTE,CACERES,1,1,1,0,,,,0.0,1.469387755102041
2026,510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,2,0,2,0,,,,,1.469387755102041
2026,510452,IPIRANGA DO NORTE,SINOP,1,0,0,0,,,,,1.469387755102041
2026,510510,JUARA,JUARA,3,1,3,0,,,,0.0,1.469387755102041
2026,510515,JUINA,JUINA,2,1,1,0,,,,0.0,1.469387755102041
2026,510517,JURUENA,JUINA,2,1,1,0,,,,0.0,1.469387755102041
2026,510520,JUSCIMEIRA,RONDONOPOLIS,1,1,1,0,,,,0.0,1.469387755102041
2026,510525,LUCAS DO RIO VERDE,SINOP,1,0,1,0,,,,,1.469387755102041
2026,510550,VILA BELA DA S TRINDADE,PONTES E LACERDA,2,2,2,1,,,,50.0,1.969387755102041
2026,510558,MARCELANDIA,COLIDER,1,0,1,0,,,,,1.469387755102041
2026,510562,MIRASSOL D OESTE,CACERES,1,0,1,0,,,,,1.469387755102041
2026,510618,NOVA LACERDA,PONTES E LACERDA,1,1,1,0,,,,0.0,1.469387755102041
2026,510619,NOVA SANTA HELENA,COLIDER,3,0,3,0,,,,,1.469387755102041
2026,510620,NOVA BRASILANDIA,CUIABA,2,0,2,0,,,,,1.469387755102041
2026,510622,NOVA MUTUM,SINOP,2,0,2,0,,,,,1.469387755102041
2026,510623,NOVA OLIMPIA,TANGARA DA SERRA,1,0,1,0,,,,,1.469387755102041
2026,510627,NOVO HORIZONTE DO NORTE,JUARA,1,0,1,0,,,,,1.469387755102041
2026,510628,NOVO SAO JOAQUIM,BARRA DO GARCAS,2,0,1,0,,,,,1.469387755102041
2026,510629,PARANAITA,ALTA FLORESTA,2,0,2,0,,,,,1.469387755102041
2026,510642,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,1,0,0,0,,,,,1.469387755102041
2026,510675,PONTES E LACERDA,PONTES E LACERDA,1,0,1,0,,,,,1.469387755102041
2026,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,2,2,2,0,,,,0.0,1.469387755102041
2026,510710,SAO JOSE DOS QUATRO MARCOS,CACERES,2,2,2,0,,,,0.0,1.469387755102041
2026,510724,SANTA CARMEM,SINOP,1,1,1,0,,,,0.0,1.469387755102041
2026,510730,SAO JOSE DO RIO CLARO,DIAMANTINO,4,2,4,0,,,,0.0,1.469387755102041
2026,510735,SAO JOSE DO XINGU,PORTO ALEGRE DO NORTE,2,0,2,0,,,,,1.469387755102041
2026,510760,RONDONOPOLIS,RONDONOPOLIS,8,7,8,0,,,,0.0,1.469387755102041
2026,510780,SANTO ANTONIO DO LEVERGER,CUIABA,1,0,1,0,,,,,1.469387755102041
2026,510790,SINOP,SINOP,20,3,16,2,,,,66.66666666666666,2.020408163265306
2026,510792,SORRISO,SINOP,9,5,7,3,,,,60.0,2.0
2026,510795,TANGARA DA SERRA,TANGARA DA SERRA,5,4,5,2,,,,50.0,1.969387755102041
2026,510800,TAPURAH,SINOP,2,2,2,0,,,,0.0,1.469387755102041
2026,510840,VARZEA GRANDE,CUIABA,17,6,17,0,,,,0.0,1.469387755102041
2026,510880,NOVA GUARITA,COLIDER,1,0,0,0,,,,,1.469387755102041
