ano_epi_v17,semana_epi_v17,casos,confirmados,hospitalizacoes,obitos_meningite,altas,letalidade_confirmados
1966,47,1,1,1,1,0,100.0
1975,17,1,0,1,0,0,
1976,16,1,1,1,0,1,0.0
1980,44,1,1,1,0,1,0.0
2000,52,1,0,1,0,0,
2002,43,1,0,1,0,0,
2004,50,1,0,1,0,1,
2006,51,3,3,3,0,2,0.0
2006,52,5,3,4,0,4,0.0
2007,1,12,10,11,0,11,0.0
2007,2,16,10,14,0,10,0.0
2007,3,5,3,5,0,3,0.0
2007,4,8,5,8,0,5,0.0
2007,5,15,7,13,1,10,14.285714285714285
2007,6,16,12,16,1,12,8.333333333333332
2007,7,11,5,10,0,9,0.0
2007,8,13,9,13,2,11,22.22222222222222
2007,9,14,9,13,0,13,0.0
2007,10,18,13,17,0,14,0.0
2007,11,10,4,10,0,5,0.0
2007,12,20,12,18,0,13,0.0
2007,13,21,13,20,0,19,0.0
2007,14,26,14,23,0,13,0.0
2007,15,38,20,37,3,20,15.0
2007,16,22,11,21,0,13,0.0
2007,17,22,13,22,0,15,0.0
2007,18,15,8,15,0,6,0.0
2007,19,15,11,13,1,10,9.090909090909092
2007,20,15,9,15,0,10,0.0
2007,21,11,7,10,2,6,28.57142857142857
2007,22,12,8,12,1,9,12.5
2007,23,19,14,19,1,15,7.142857142857142
2007,24,11,3,10,1,2,33.33333333333333
2007,25,11,8,11,0,10,0.0
2007,26,20,13,19,0,16,0.0
2007,27,15,10,14,2,10,20.0
2007,28,8,5,7,1,5,20.0
2007,29,11,8,11,4,7,50.0
2007,30,3,2,3,0,2,0.0
2007,31,10,6,9,0,8,0.0
2007,32,6,2,6,0,3,0.0
2007,33,10,6,9,0,4,0.0
2007,34,9,5,9,0,4,0.0
2007,35,7,5,6,2,2,40.0
2007,36,5,3,5,0,4,0.0
2007,37,7,5,7,0,6,0.0
2007,38,4,3,4,0,3,0.0
2007,39,10,9,10,0,6,0.0
2007,40,7,5,6,0,4,0.0
2007,41,5,3,4,0,3,0.0
2007,42,18,11,16,0,14,0.0
2007,43,13,8,10,0,10,0.0
2007,44,8,7,8,1,7,14.285714285714285
2007,45,15,12,14,0,14,0.0
2007,46,8,3,7,1,6,33.33333333333333
2007,47,5,2,4,0,3,0.0
2007,48,9,7,7,0,7,0.0
2007,49,11,5,10,0,9,0.0
