mes,classificacao_agrupada_v17,casos,media_mensal,indice_sazonal,mes_rotulo
1,Doença meningocócica,22,1.1,0.9496402877697842,Jan
1,Meningite bacteriana/outras bactérias,35,1.75,0.8433734939759038,Jan
1,Meningite fúngica,13,0.65,0.9176470588235294,Jan
1,Meningite não especificada,100,5.0,1.03359173126615,Jan
1,Meningite pneumocócica,11,0.55,0.5972850678733032,Jan
1,Meningite por Hib/Hemófilo,1,0.05,0.5238095238095238,Jan
1,Meningite tuberculosa,3,0.15,0.7659574468085106,Jan
1,Meningite viral/asséptica,82,4.1,1.0813186813186813,Jan
1,Outras etiologias,214,10.7,0.9790316431566907,Jan
2,Doença meningocócica,16,0.8,0.6906474820143884,Fev
2,Meningite bacteriana/outras bactérias,44,2.2,1.060240963855422,Fev
2,Meningite fúngica,14,0.7,0.988235294117647,Fev
2,Meningite não especificada,84,4.2,0.868217054263566,Fev
2,Meningite pneumocócica,11,0.55,0.5972850678733032,Fev
2,Meningite por Hib/Hemófilo,2,0.1,1.0476190476190477,Fev
2,Meningite tuberculosa,3,0.15,0.7659574468085106,Fev
2,Meningite viral/asséptica,56,2.8,0.7384615384615384,Fev
2,Outras etiologias,202,10.1,0.9241326725123903,Fev
3,Doença meningocócica,20,1.0,0.8633093525179856,Mar
3,Meningite bacteriana/outras bactérias,56,2.8,1.349397590361446,Mar
3,Meningite fúngica,9,0.45,0.6352941176470588,Mar
3,Meningite não especificada,117,5.85,1.2093023255813955,Mar
3,Meningite pneumocócica,23,1.15,1.2488687782805428,Mar
3,Meningite por Hib/Hemófilo,1,0.05,0.5238095238095238,Mar
3,Meningite tuberculosa,6,0.3,1.5319148936170213,Mar
3,Meningite viral/asséptica,75,3.75,0.989010989010989,Mar
3,Outras etiologias,264,13.2,1.207777354174609,Mar
4,Doença meningocócica,23,1.15,0.9928057553956833,Abr
4,Meningite bacteriana/outras bactérias,45,2.25,1.0843373493975905,Abr
4,Meningite fúngica,18,0.9,1.2705882352941176,Abr
4,Meningite não especificada,97,4.85,1.0025839793281655,Abr
4,Meningite pneumocócica,20,1.0,1.085972850678733,Abr
4,Meningite por Hib/Hemófilo,3,0.15,1.5714285714285714,Abr
4,Meningite tuberculosa,1,0.05,0.25531914893617025,Abr
4,Meningite viral/asséptica,78,3.9,1.0285714285714287,Abr
4,Outras etiologias,265,13.25,1.2123522683949675,Abr
