mes,media_casos,mediana_casos,media_confirmados,media_obitos,media_dm,indice_sazonal,mes_rotulo,acima_media
1,24.05,21.5,14.15,1.3,1.1,0.954066186449525,Jan,False
2,21.6,19.0,12.45,1.1,0.8,0.8568744127779517,Fev,False
3,28.55,26.5,16.35,1.4,1.0,1.1325816891115983,Mar,True
4,27.5,23.5,14.9,1.65,1.15,1.090928071823781,Abr,True
5,26.95,26.5,16.3,2.3,1.65,1.0691095103873054,Mai,True
6,27.85,25.0,16.75,1.9,1.25,1.1048126109197203,Jun,True
7,25.1,26.0,15.25,2.4,1.5,0.9957198037373421,Jul,False
8,23.789473684210527,24.0,13.263157894736842,1.5263157894736843,1.736842105263158,0.9437310784006682,Ago,False
9,23.94736842105263,24.0,13.947368421052632,1.894736842105263,1.1578947368421053,0.9499947802484601,Set,False
10,22.94736842105263,23.0,12.526315789473685,1.4736842105263157,0.6842105263157895,0.9103246685457771,Out,False
11,24.36842105263158,25.0,15.68421052631579,1.5263157894736843,0.6842105263157895,0.9666979851759055,Nov,False
12,25.842105263157894,25.0,16.31578947368421,1.631578947368421,1.4736842105263157,1.0251592024219647,Dez,True
