regional_v17,mes,casos,media_mensal,indice_sazonal,mes_rotulo
AGUA BOA,1,11,0.55,1.1478260869565218,Jan
AGUA BOA,2,8,0.4,0.8347826086956522,Fev
AGUA BOA,3,11,0.55,1.1478260869565218,Mar
AGUA BOA,4,8,0.4,0.8347826086956522,Abr
AGUA BOA,5,12,0.6,1.2521739130434781,Mai
AGUA BOA,6,11,0.55,1.1478260869565218,Jun
AGUA BOA,7,14,0.7,1.460869565217391,Jul
AGUA BOA,8,10,0.5,1.0434782608695652,Ago
AGUA BOA,9,4,0.2,0.4173913043478261,Set
AGUA BOA,10,10,0.5,1.0434782608695652,Out
AGUA BOA,11,5,0.25,0.5217391304347826,Nov
AGUA BOA,12,11,0.55,1.1478260869565218,Dez
ALTA FLORESTA,1,9,0.45,0.9,Jan
ALTA FLORESTA,2,9,0.45,0.9,Fev
ALTA FLORESTA,3,8,0.4,0.8,Mar
ALTA FLORESTA,4,11,0.55,1.1,Abr
ALTA FLORESTA,5,10,0.5,1.0,Mai
ALTA FLORESTA,6,12,0.6,1.2,Jun
ALTA FLORESTA,7,22,1.1,2.2,Jul
ALTA FLORESTA,8,5,0.25,0.5,Ago
ALTA FLORESTA,9,10,0.5,1.0,Set
ALTA FLORESTA,10,8,0.4,0.8,Out
ALTA FLORESTA,11,9,0.45,0.9,Nov
ALTA FLORESTA,12,7,0.35,0.7,Dez
BARRA DO GARCAS,1,17,0.85,0.8063241106719368,Jan
BARRA DO GARCAS,2,14,0.7,0.6640316205533596,Fev
BARRA DO GARCAS,3,20,1.0,0.9486166007905138,Mar
BARRA DO GARCAS,4,17,0.85,0.8063241106719368,Abr
BARRA DO GARCAS,5,24,1.2,1.1383399209486165,Mai
BARRA DO GARCAS,6,23,1.15,1.0909090909090908,Jun
BARRA DO GARCAS,7,25,1.25,1.1857707509881423,Jul
BARRA DO GARCAS,8,15,0.75,0.7114624505928854,Ago
BARRA DO GARCAS,9,32,1.6,1.5177865612648223,Set
BARRA DO GARCAS,10,22,1.1,1.0434782608695652,Out
BARRA DO GARCAS,11,20,1.0,0.9486166007905138,Nov
BARRA DO GARCAS,12,24,1.2,1.1383399209486165,Dez
CACERES,1,30,1.5,0.9944751381215469,Jan
CACERES,2,23,1.15,0.7624309392265192,Fev
CACERES,3,22,1.1,0.729281767955801,Mar
CACERES,4,28,1.4,0.9281767955801103,Abr
CACERES,5,37,1.85,1.2265193370165746,Mai
CACERES,6,48,2.4,1.5911602209944748,Jun
CACERES,7,25,1.25,0.8287292817679557,Jul
CACERES,8,25,1.25,0.8287292817679557,Ago
CACERES,9,22,1.1,0.729281767955801,Set
CACERES,10,31,1.55,1.027624309392265,Out
CACERES,11,38,1.9,1.2596685082872925,Nov
CACERES,12,33,1.65,1.0939226519337015,Dez
COLIDER,1,10,0.5,1.348314606741573,Jan
COLIDER,2,10,0.5,1.348314606741573,Fev
COLIDER,3,8,0.4,1.0786516853932584,Mar
COLIDER,4,6,0.3,0.8089887640449438,Abr
COLIDER,5,7,0.35,0.943820224719101,Mai
COLIDER,6,9,0.45,1.2134831460674158,Jun
COLIDER,7,6,0.3,0.8089887640449438,Jul
COLIDER,8,4,0.2,0.5393258426966292,Ago
COLIDER,9,4,0.2,0.5393258426966292,Set
COLIDER,10,6,0.3,0.8089887640449438,Out
COLIDER,11,8,0.4,1.0786516853932584,Nov
COLIDER,12,11,0.55,1.4831460674157304,Dez
CUIABA,1,202,10.1,1.0585152838427947,Jan
CUIABA,2,166,8.3,0.8698689956331879,Fev
CUIABA,3,231,11.55,1.2104803493449783,Mar
CUIABA,4,208,10.4,1.0899563318777294,Abr
CUIABA,5,201,10.05,1.0532751091703059,Mai
CUIABA,6,197,9.85,1.0323144104803494,Jun
CUIABA,7,201,10.05,1.0532751091703059,Jul
CUIABA,8,186,9.3,0.9746724890829696,Ago
CUIABA,9,169,8.45,0.885589519650655,Set
CUIABA,10,161,8.05,0.8436681222707425,Out
CUIABA,11,179,8.95,0.9379912663755459,Nov
CUIABA,12,189,9.45,0.9903930131004367,Dez
DIAMANTINO,1,15,0.75,1.7142857142857142,Jan
DIAMANTINO,2,7,0.35,0.7999999999999999,Fev
DIAMANTINO,3,10,0.5,1.1428571428571428,Mar
DIAMANTINO,4,15,0.75,1.7142857142857142,Abr
DIAMANTINO,5,10,0.5,1.1428571428571428,Mai
DIAMANTINO,6,6,0.3,0.6857142857142857,Jun
DIAMANTINO,7,9,0.45,1.0285714285714287,Jul
DIAMANTINO,8,6,0.3,0.6857142857142857,Ago
DIAMANTINO,9,8,0.4,0.9142857142857144,Set
DIAMANTINO,10,6,0.3,0.6857142857142857,Out
DIAMANTINO,11,5,0.25,0.5714285714285714,Nov
DIAMANTINO,12,8,0.4,0.9142857142857144,Dez
JUARA,1,5,0.25,0.8955223880597015,Jan
JUARA,2,7,0.35,1.253731343283582,Fev
JUARA,3,5,0.25,0.8955223880597015,Mar
JUARA,4,5,0.25,0.8955223880597015,Abr
JUARA,5,8,0.4,1.4328358208955225,Mai
JUARA,6,2,0.1,0.35820895522388063,Jun
JUARA,7,5,0.25,0.8955223880597015,Jul
JUARA,8,6,0.3,1.0746268656716418,Ago
JUARA,9,8,0.4,1.4328358208955225,Set
JUARA,10,4,0.2,0.7164179104477613,Out
JUARA,11,7,0.35,1.253731343283582,Nov
JUARA,12,5,0.25,0.8955223880597015,Dez
JUINA,1,6,0.3,0.7659574468085106,Jan
JUINA,2,5,0.25,0.6382978723404256,Fev
JUINA,3,6,0.3,0.7659574468085106,Mar
JUINA,4,9,0.45,1.148936170212766,Abr
