ano,mes,casos,confirmados,obitos,dm,mes_rotulo
2007,1,50,32,0,1,Jan
2007,2,51,33,4,3,Fev
2007,3,75,45,0,1,Mar
2007,4,111,60,3,2,Abr
2007,5,61,38,4,1,Mai
2007,6,63,39,2,3,Jun
2007,7,45,32,7,3,Jul
2007,8,36,19,1,0,Ago
2007,9,29,22,1,2,Set
2007,10,49,33,1,0,Out
2007,11,38,24,1,0,Nov
2007,12,55,35,3,1,Dez
2008,1,47,28,1,1,Jan
2008,2,41,24,1,1,Fev
2008,3,42,25,2,1,Mar
2008,4,42,26,1,0,Abr
2008,5,37,25,2,2,Mai
2008,6,42,27,0,1,Jun
2008,7,46,27,2,0,Jul
2008,8,27,11,0,0,Ago
2008,9,39,22,1,0,Set
2008,10,23,16,0,1,Out
2008,11,30,22,2,1,Nov
2008,12,25,15,1,1,Dez
2009,1,37,20,1,4,Jan
2009,2,23,16,1,0,Fev
2009,3,44,24,0,1,Mar
2009,4,30,15,1,2,Abr
2009,5,31,15,5,2,Mai
2009,6,38,20,1,1,Jun
2009,7,34,25,8,5,Jul
2009,8,33,20,2,4,Ago
2009,9,23,12,1,0,Set
2009,10,18,14,2,0,Out
2009,11,31,17,3,1,Nov
2009,12,24,18,1,2,Dez
2010,1,19,9,2,0,Jan
2010,2,19,9,0,0,Fev
2010,3,27,15,1,2,Mar
2010,4,24,15,1,1,Abr
2010,5,29,17,1,3,Mai
2010,6,33,20,4,3,Jun
2010,7,27,19,3,1,Jul
2010,8,22,14,0,0,Ago
2010,9,34,24,6,7,Set
2010,10,24,7,0,1,Out
2010,11,25,16,3,3,Nov
2010,12,25,12,1,3,Dez
2011,1,31,20,2,3,Jan
2011,2,19,13,2,1,Fev
2011,3,22,15,3,3,Mar
2011,4,26,18,4,2,Abr
2011,5,26,22,5,3,Mai
2011,6,25,19,2,3,Jun
2011,7,22,10,0,1,Jul
2011,8,29,19,3,3,Ago
2011,9,39,28,2,4,Set
2011,10,27,17,5,2,Out
2011,11,35,27,3,0,Nov
2011,12,42,27,2,4,Dez
2012,1,35,28,4,6,Jan
2012,2,21,18,1,1,Fev
2012,3,27,21,1,2,Mar
2012,4,19,11,2,2,Abr
2012,5,34,29,3,6,Mai
2012,6,33,25,1,1,Jun
2012,7,36,28,4,4,Jul
2012,8,34,21,4,10,Ago
2012,9,24,16,1,2,Set
2012,10,31,19,1,2,Out
2012,11,22,13,1,1,Nov
2012,12,22,17,4,1,Dez
2013,1,22,12,2,2,Jan
2013,2,28,19,2,2,Fev
2013,3,37,22,2,2,Mar
2013,4,26,15,2,1,Abr
2013,5,29,21,3,6,Mai
2013,6,40,30,3,3,Jun
2013,7,33,25,4,5,Jul
2013,8,28,25,4,7,Ago
2013,9,26,16,4,3,Set
2013,10,19,10,0,0,Out
2013,11,34,28,3,0,Nov
2013,12,37,26,3,3,Dez
2014,1,30,15,1,0,Jan
2014,2,33,15,0,1,Fev
2014,3,18,8,1,1,Mar
2014,4,30,20,1,1,Abr
2014,5,24,15,1,1,Mai
2014,6,32,22,0,2,Jun
2014,7,22,15,2,5,Jul
2014,8,24,15,2,1,Ago
2014,9,27,18,3,0,Set
