semana_epi,media_casos,mediana_casos,p75_casos,p95_casos
1,5.526315789473684,5.0,6.5,10.199999999999996
2,5.95,4.0,7.0,16.1
3,4.7368421052631575,4.0,5.0,10.099999999999998
4,5.45,5.0,7.25,10.200000000000003
5,5.052631578947368,4.0,5.5,8.699999999999985
6,5.4,4.5,7.0,13.150000000000002
7,6.0,6.0,8.0,11.100000000000001
8,4.9,3.5,5.75,13.0
9,5.95,6.0,7.0,14.05
10,6.45,6.0,8.0,12.300000000000004
11,5.7894736842105265,5.0,7.0,10.399999999999991
12,6.85,5.0,9.25,13.350000000000005
13,7.15,6.0,9.25,14.350000000000005
14,6.2,4.5,6.25,14.600000000000009
15,7.45,6.0,8.0,14.250000000000018
16,5.8,5.0,7.0,9.65000000000001
17,6.25,5.5,7.25,10.600000000000009
18,6.95,6.5,8.25,15.100000000000001
19,6.2,5.5,7.75,12.150000000000002
20,6.421052631578948,6.0,8.0,12.299999999999994
21,6.0,5.0,8.25,10.05
22,5.6,5.5,6.25,10.100000000000001
23,6.6,6.0,8.25,14.250000000000004
24,6.894736842105263,7.0,9.5,12.0
25,7.157894736842105,7.0,9.5,13.0
26,6.052631578947368,5.0,6.5,11.89999999999998
27,6.894736842105263,6.0,9.5,15.0
28,5.842105263157895,5.0,8.0,12.199999999999996
29,6.277777777777778,6.0,8.75,10.149999999999999
30,4.947368421052632,4.0,6.0,10.099999999999998
31,6.473684210526316,5.0,9.0,13.399999999999991
32,5.684210526315789,6.0,7.0,10.299999999999994
33,5.894736842105263,5.0,8.5,10.099999999999998
34,4.421052631578948,4.0,5.5,8.099999999999998
35,5.0,5.0,6.0,10.0
36,5.157894736842105,5.0,6.0,9.0
37,6.888888888888889,7.0,9.0,10.149999999999999
38,5.777777777777778,5.0,6.75,10.149999999999999
39,5.2631578947368425,4.0,7.5,10.299999999999994
40,5.842105263157895,5.0,7.0,9.0
41,4.684210526315789,4.0,5.5,8.199999999999996
42,6.0588235294117645,6.0,7.0,9.999999999999993
43,5.526315789473684,5.0,8.0,12.099999999999998
44,4.421052631578948,4.0,5.5,8.0
45,6.0,6.0,8.0,9.599999999999987
46,5.944444444444445,6.5,8.0,10.149999999999999
47,6.0,6.0,9.0,9.299999999999994
48,6.0,6.0,8.0,10.299999999999997
49,6.7368421052631575,6.0,9.0,12.099999999999998
50,6.2105263157894735,6.0,8.5,13.199999999999996
51,5.368421052631579,5.0,7.0,8.699999999999985
52,5.833333333333333,6.0,7.0,12.299999999999997
53,5.333333333333333,6.0,7.5,8.7
