codigo_municipio_v17,municipio_v17,regional_v17,dm_lab_90d,dm_90d,pct_sorogrupo_dm_90d,pct_quimio_dm_90d,incidencia_dm_90d_100mil,score_risco_nt154_v25,score_risco_nt97_v25,prioridade,norma
510510,JUARA,JUARA,1,1,0.0,100.0,,35.0,35.0,Média,NT 154/2024
510010,ACORIZAL,CUIABA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510025,ALTA FLORESTA,ALTA FLORESTA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510020,AGUA BOA,AGUA BOA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510035,ALTO BOA VISTA,SAO FELIX DO ARAGUAIA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510040,ALTO GARCAS,RONDONOPOLIS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510050,ALTO PARAGUAI,DIAMANTINO,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510060,ALTO TAQUARI,RONDONOPOLIS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510080,APIACAS,ALTA FLORESTA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510100,ARAGUAIANA,BARRA DO GARCAS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510120,ARAGUAINHA,RONDONOPOLIS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510030,ALTO ARAGUAIA,RONDONOPOLIS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510125,ARAPUTANGA,CACERES,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510130,ARENAPOLIS,TANGARA DA SERRA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510160,BARAO DE MELGACO,CUIABA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510140,ARIPUANA,JUINA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510180,BARRA DO GARCAS,BARRA DO GARCAS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510185,BOM JESUS DO ARAGUAIA,AGUA BOA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510190,BRASNORTE,JUINA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510170,BARRA DO BUGRES,TANGARA DA SERRA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510260,CAMPINAPOLIS,BARRA DO GARCAS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510263,CAMPO NOVO DO PARECIS,TANGARA DA SERRA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510267,CAMPO VERDE,RONDONOPOLIS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510268,CAMPOS DE JULIO,PONTES E LACERDA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510269,CANABRAVA DO NORTE,PORTO ALEGRE DO NORTE,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510270,CANARANA,AGUA BOA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510279,CARLINDA,ALTA FLORESTA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510250,CACERES,CACERES,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510300,CHAPADA DOS GUIMARAES,CUIABA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510305,CLAUDIA,SINOP,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510310,COCALINHO,AGUA BOA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510320,COLIDER,COLIDER,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510325,COLNIZA,JUINA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510330,COMODORO,PONTES E LACERDA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510335,CONFRESA,PORTO ALEGRE DO NORTE,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510336,CONQUISTA D OESTE,PONTES E LACERDA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510337,COTRIGUACU,JUINA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510340,CUIABA,CUIABA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510343,CURVELANDIA,CACERES,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510345,DENISE,TANGARA DA SERRA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510350,DIAMANTINO,DIAMANTINO,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510360,DOM AQUINO,RONDONOPOLIS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510370,FELIZ NATAL,SINOP,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510285,CASTANHEIRA,JUINA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510380,FIGUEIROPOLIS D OESTE,PONTES E LACERDA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510385,GAUCHA DO NORTE,AGUA BOA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510395,GLORIA D OESTE,CACERES,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510390,GENERAL CARNEIRO,BARRA DO GARCAS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510420,GUIRATINGA,RONDONOPOLIS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510450,INDIAVAI,CACERES,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510452,IPIRANGA DO NORTE,SINOP,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510454,ITANHANGA,SINOP,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510455,ITAUBA,COLIDER,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510480,JACIARA,RONDONOPOLIS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510460,ITIQUIRA,RONDONOPOLIS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510490,JANGADA,CUIABA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510500,JAURU,PONTES E LACERDA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510515,JUINA,JUINA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510517,JURUENA,JUINA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510520,JUSCIMEIRA,RONDONOPOLIS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510523,LAMBARI D OESTE,CACERES,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510525,LUCAS DO RIO VERDE,SINOP,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510530,LUCIARA,SAO FELIX DO ARAGUAIA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510550,VILA BELA DA S TRINDADE,PONTES E LACERDA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510558,MARCELANDIA,COLIDER,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510560,MATUPA,PEIXOTO DE AZEVEDO,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510562,MIRASSOL D OESTE,CACERES,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510590,NOBRES,DIAMANTINO,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510600,NORTELANDIA,DIAMANTINO,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510610,NOSSA SENHORA DO LIVRAMENTO,CUIABA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510615,NOVA BANDEIRANTES,ALTA FLORESTA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510617,NOVA NAZARE,AGUA BOA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510618,NOVA LACERDA,PONTES E LACERDA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
