data_ref_v17,casos,confirmados,hospitalizacoes,obitos_meningite
1966-11-21,1,1,1,1
1975-04-23,1,0,1,0
1976-04-12,1,1,1,0
1980-11-02,1,1,1,0
2000-12-30,1,0,1,0
2002-10-22,1,0,1,0
2004-12-10,1,0,1,0
2006-12-19,1,1,1,0
2006-12-20,1,1,1,0
2006-12-22,1,1,1,0
2006-12-27,1,1,1,0
2006-12-30,3,2,2,0
2006-12-31,1,0,1,0
2007-01-02,3,3,3,0
2007-01-03,4,4,4,0
2007-01-04,1,0,1,0
2007-01-05,2,2,2,0
2007-01-07,2,1,1,0
2007-01-08,2,2,2,0
2007-01-09,1,1,1,0
2007-01-11,3,1,2,0
2007-01-12,2,0,2,0
2007-01-13,5,4,4,0
2007-01-14,3,2,3,0
2007-01-16,2,0,2,0
2007-01-18,1,1,1,0
2007-01-20,1,1,1,0
2007-01-21,1,1,1,0
2007-01-23,2,1,2,0
2007-01-24,1,1,1,0
2007-01-26,1,0,1,0
2007-01-27,3,2,3,0
2007-01-28,1,1,1,0
2007-01-29,3,3,3,0
2007-01-30,2,0,2,0
2007-01-31,4,1,3,0
2007-02-01,3,3,2,1
2007-02-03,2,0,2,0
2007-02-04,1,0,1,0
2007-02-05,3,1,3,1
2007-02-06,2,2,2,0
2007-02-07,1,1,1,0
2007-02-08,4,3,4,0
2007-02-09,2,2,2,0
2007-02-10,1,1,1,0
2007-02-11,3,2,3,0
2007-02-12,4,2,4,0
2007-02-15,3,2,2,0
2007-02-16,1,0,1,0
2007-02-17,1,0,1,0
2007-02-18,2,1,2,0
2007-02-20,3,2,3,0
2007-02-21,3,2,3,1
2007-02-22,2,1,2,0
2007-02-23,3,3,3,0
2007-02-25,2,1,2,1
2007-02-26,1,1,1,0
2007-02-27,4,3,3,0
2007-03-01,4,1,4,0
2007-03-02,3,2,3,0
2007-03-03,1,1,1,0
2007-03-04,1,1,1,0
2007-03-05,4,4,4,0
2007-03-06,6,4,6,0
2007-03-07,1,0,1,0
2007-03-09,1,1,1,0
2007-03-10,2,1,1,0
2007-03-11,4,3,4,0
2007-03-12,4,3,4,0
2007-03-13,2,1,2,0
2007-03-14,1,0,1,0
2007-03-15,2,0,2,0
