ano_epi_v17,semana_epi_v17,classificacao_agrupada_v17,casos,confirmados,hospitalizacoes,obitos_meningite,altas
1966,47,Meningite fúngica,1,1,1,1,0
1975,17,Outras etiologias,1,0,1,0,0
1976,16,Meningite não especificada,1,1,1,0,1
1980,44,Meningite fúngica,1,1,1,0,1
2000,52,Outras etiologias,1,0,1,0,0
2002,43,Outras etiologias,1,0,1,0,0
2004,50,Outras etiologias,1,0,1,0,1
2006,51,Meningite não especificada,2,2,2,0,1
2006,51,Meningite viral/asséptica,1,1,1,0,1
2006,52,Meningite não especificada,1,1,1,0,1
2006,52,Meningite pneumocócica,1,1,1,0,1
2006,52,Meningite viral/asséptica,1,1,1,0,1
2006,52,Outras etiologias,2,0,1,0,1
2007,1,Doença meningocócica,1,1,1,0,1
2007,1,Meningite não especificada,2,2,2,0,2
2007,1,Meningite viral/asséptica,7,7,7,0,7
2007,1,Outras etiologias,2,0,1,0,1
2007,2,Meningite bacteriana/outras bactérias,1,1,1,0,1
2007,2,Meningite não especificada,5,5,4,0,5
2007,2,Meningite viral/asséptica,4,4,4,0,4
2007,2,Outras etiologias,6,0,5,0,0
2007,3,Meningite bacteriana/outras bactérias,1,1,1,0,0
2007,3,Meningite viral/asséptica,2,2,2,0,2
2007,3,Outras etiologias,2,0,2,0,1
2007,4,Meningite bacteriana/outras bactérias,1,1,1,0,0
2007,4,Meningite não especificada,2,2,2,0,2
2007,4,Meningite viral/asséptica,2,2,2,0,2
2007,4,Outras etiologias,3,0,3,0,1
2007,5,Doença meningocócica,1,1,1,0,1
2007,5,Meningite fúngica,1,1,1,0,0
2007,5,Meningite não especificada,4,4,3,1,2
2007,5,Meningite viral/asséptica,1,1,1,0,1
2007,5,Outras etiologias,8,0,7,0,6
2007,6,Doença meningocócica,2,2,2,1,1
2007,6,Meningite fúngica,1,1,1,0,1
2007,6,Meningite não especificada,8,8,8,0,7
2007,6,Meningite viral/asséptica,1,1,1,0,1
2007,6,Outras etiologias,4,0,4,0,2
2007,7,Meningite não especificada,4,4,4,0,3
2007,7,Meningite viral/asséptica,1,1,1,0,1
2007,7,Outras etiologias,6,0,5,0,5
2007,8,Meningite bacteriana/outras bactérias,1,1,1,1,0
2007,8,Meningite não especificada,1,1,1,1,0
2007,8,Meningite viral/asséptica,7,7,7,0,7
2007,8,Outras etiologias,4,0,4,0,4
2007,9,Meningite bacteriana/outras bactérias,2,2,2,0,2
2007,9,Meningite não especificada,5,5,5,0,5
2007,9,Meningite pneumocócica,1,1,1,0,1
2007,9,Meningite viral/asséptica,1,1,1,0,1
2007,9,Outras etiologias,5,0,4,0,4
2007,10,Meningite bacteriana/outras bactérias,2,2,2,0,2
2007,10,Meningite não especificada,5,5,5,0,4
2007,10,Meningite viral/asséptica,5,5,5,0,5
2007,10,Outras etiologias,6,1,5,0,3
2007,11,Meningite não especificada,2,2,2,0,2
2007,11,Meningite viral/asséptica,2,2,2,0,2
2007,11,Outras etiologias,6,0,6,0,1
2007,12,Doença meningocócica,1,1,1,0,0
2007,12,Meningite bacteriana/outras bactérias,1,1,1,0,1
2007,12,Meningite não especificada,6,6,6,0,6
2007,12,Meningite tuberculosa,1,1,1,0,0
