ano_internacao_v33,codigo_municipio_v33,municipio_v33,n_internacoes_sih,n_match_sinan,n_com_uti,n_obito_hospitalar,n_sih_sem_sinan,pct_sih_sem_sinan
2026,510840,VARZEA GRANDE,8,3,2,0,5,62.5
2026,510800,TAPURAH,4,1,2,0,3,75.0
2026,510267,CAMPO VERDE,2,0,0,0,2,100.0
2026,510510,JUARA,3,1,0,0,2,66.66666666666666
2026,510792,SORRISO,3,1,0,0,2,66.66666666666666
2026,150503,NOVO PROGRESSO,1,0,0,0,1,100.0
2026,510125,ARAPUTANGA,1,0,0,0,1,100.0
2026,510140,ARIPUANA,1,0,0,0,1,100.0
2026,510330,COMODORO,1,0,0,0,1,100.0
2026,510340,CUIABA,2,1,1,0,1,50.0
2026,510385,GAUCHA DO NORTE,1,0,0,0,1,100.0
2026,510420,GUIRATINGA,1,0,0,0,1,100.0
2026,510624,NOVA UBIRATA,1,0,0,1,1,100.0
2026,510720,RIO BRANCO,1,0,0,0,1,100.0
2026,510760,RONDONOPOLIS,4,3,1,0,1,25.0
2026,510850,VERA,1,0,0,0,1,100.0
2026,510627,NOVO HORIZONTE DO NORTE,1,1,0,0,0,0.0
2026,510730,SAO JOSE DO RIO CLARO,1,1,0,0,0,0.0
2026,510790,SINOP,1,1,1,0,0,0.0
2025,510340,CUIABA,12,5,5,1,7,58.333333333333336
2025,510760,RONDONOPOLIS,11,7,3,1,4,36.36363636363637
2025,510792,SORRISO,4,0,2,1,4,100.0
2025,510025,ALTA FLORESTA,3,0,0,0,3,100.0
2025,510840,VARZEA GRANDE,9,6,3,1,3,33.33333333333333
2025,510267,CAMPO VERDE,2,0,0,0,2,100.0
2025,510622,NOVA MUTUM,2,0,2,2,2,100.0
2025,110025,PRESIDENTE MEDICI,1,0,0,0,1,100.0
2025,510020,AGUA BOA,1,0,0,0,1,100.0
2025,510250,CACERES,2,1,0,0,1,50.0
2025,510279,CARLINDA,1,0,0,0,1,100.0
2025,510300,CHAPADA DOS GUIMARAES,1,0,0,0,1,100.0
2025,510480,JACIARA,1,0,0,0,1,100.0
2025,510510,JUARA,2,1,0,0,1,50.0
2025,510515,JUINA,1,0,0,0,1,100.0
2025,510525,LUCAS DO RIO VERDE,1,0,0,0,1,100.0
2025,510617,NOVA NAZARE,1,0,0,0,1,100.0
2025,510675,PONTES E LACERDA,1,0,0,0,1,100.0
2025,510682,PORTO ESPERIDIAO,1,0,1,0,1,100.0
2025,510700,POXOREO,1,0,1,0,1,100.0
2025,510724,SANTA CARMEM,1,0,0,0,1,100.0
2025,510787,SAPEZAL,1,0,0,0,1,100.0
2025,510800,TAPURAH,1,0,0,0,1,100.0
2025,510820,TORIXOREU,1,0,0,0,1,100.0
2025,510180,BARRA DO GARCAS,1,1,0,0,0,0.0
2025,510263,CAMPO NOVO DO PARECIS,5,5,0,0,0,0.0
2025,510330,COMODORO,1,1,0,0,0,0.0
2025,510335,CONFRESA,1,1,0,0,0,0.0
2025,510350,DIAMANTINO,1,1,1,0,0,0.0
2025,510558,MARCELANDIA,1,1,0,0,0,0.0
2025,510562,MIRASSOL D OESTE,1,1,0,0,0,0.0
2024,510760,RONDONOPOLIS,14,7,7,3,7,50.0
2024,510510,JUARA,5,1,0,1,4,80.0
2024,510270,CANARANA,3,1,0,0,2,66.66666666666666
2024,510370,FELIZ NATAL,2,0,2,1,2,100.0
2024,510480,JACIARA,2,0,1,0,2,100.0
2024,510622,NOVA MUTUM,4,2,2,0,2,50.0
2024,510795,TANGARA DA SERRA,2,0,0,0,2,100.0
2024,140010,BOA VISTA,1,0,0,0,1,100.0
2024,510025,ALTA FLORESTA,1,0,0,0,1,100.0
2024,510180,BARRA DO GARCAS,3,2,3,2,1,33.33333333333333
2024,510263,CAMPO NOVO DO PARECIS,2,1,0,0,1,50.0
2024,510267,CAMPO VERDE,3,2,0,1,1,33.33333333333333
2024,510305,CLAUDIA,1,0,0,0,1,100.0
2024,510325,COLNIZA,1,0,0,0,1,100.0
2024,510385,GAUCHA DO NORTE,1,0,0,0,1,100.0
2024,510420,GUIRATINGA,1,0,0,0,1,100.0
2024,510515,JUINA,1,0,0,0,1,100.0
2024,510558,MARCELANDIA,1,0,1,0,1,100.0
2024,510629,PARANAITA,1,0,0,0,1,100.0
2024,510637,PEDRA PRETA,1,0,0,0,1,100.0
2024,510675,PONTES E LACERDA,2,1,0,0,1,50.0
2024,510685,PORTO ESTRELA,1,0,0,0,1,100.0
2024,510704,PRIMAVERA DO LESTE,3,2,1,0,1,33.33333333333333
2024,510710,SAO JOSE DOS QUATRO MARCOS,1,0,0,0,1,100.0
2024,510787,SAPEZAL,2,1,1,0,1,50.0
2024,510792,SORRISO,1,0,1,0,1,100.0
2024,510794,TABAPORA,1,0,0,0,1,100.0
2024,510190,BRASNORTE,1,1,0,0,0,0.0
2024,510250,CACERES,1,1,0,0,0,0.0
2024,510260,CAMPINAPOLIS,1,1,0,0,0,0.0
2024,510300,CHAPADA DOS GUIMARAES,1,1,1,0,0,0.0
2024,510340,CUIABA,8,8,1,1,0,0.0
2024,510350,DIAMANTINO,1,1,1,0,0,0.0
2024,510410,GUARANTA DO NORTE,1,1,0,0,0,0.0
2024,510520,JUSCIMEIRA,1,1,0,0,0,0.0
2024,510523,LAMBARI D OESTE,1,1,0,0,0,0.0
2024,510525,LUCAS DO RIO VERDE,1,1,0,0,0,0.0
2024,510562,MIRASSOL D OESTE,1,1,0,0,0,0.0
2024,510642,PEIXOTO DE AZEVEDO,1,1,0,0,0,0.0
2024,510680,PORTO DOS GAUCHOS,1,1,0,0,0,0.0
2024,510840,VARZEA GRANDE,4,4,0,0,0,0.0
2024,510860,VILA RICA,2,2,0,0,0,0.0
2023,510267,CAMPO VERDE,6,0,0,0,6,100.0
2023,510760,RONDONOPOLIS,11,5,5,1,6,54.54545454545454
2023,510840,VARZEA GRANDE,10,4,3,1,6,60.0
2023,510340,CUIABA,11,6,4,2,5,45.45454545454545
2023,510030,ALTO ARAGUAIA,3,0,1,0,3,100.0
2023,510525,LUCAS DO RIO VERDE,4,1,1,0,3,75.0
2023,291680,ITARANTIM,2,0,2,0,2,100.0
2023,510260,CAMPINAPOLIS,4,2,0,0,2,50.0
2023,510558,MARCELANDIA,2,0,0,0,2,100.0
2023,510622,NOVA MUTUM,3,1,3,0,2,66.66666666666666
