codigo_municipio,ano,nascidos_vivos
510010,2023,60
510010,2024,44
510010,2025,135
510010,2026,36
510020,2023,509
510020,2024,475
510020,2025,586
510020,2026,233
510025,2023,996
510025,2024,909
510025,2025,1002
510025,2026,474
510030,2023,188
510030,2024,158
510030,2025,241
510030,2026,86
510035,2023,113
510035,2024,90
510035,2025,102
510035,2026,49
510040,2023,177
510040,2024,151
510040,2025,301
510040,2026,107
510050,2023,84
510050,2024,107
510050,2025,185
510050,2026,44
510060,2023,156
510060,2024,157
510060,2025,183
510060,2026,73
510080,2023,149
510080,2024,128
510080,2025,156
510080,2026,72
510100,2023,28
510100,2024,28
510100,2025,64
510100,2026,18
510120,2023,13
510120,2024,6
510120,2025,24
510120,2026,4
510125,2023,232
510125,2024,242
510125,2025,318
510125,2026,108
510130,2023,164
510130,2024,166
510130,2025,206
510130,2026,84
510140,2023,417
510140,2024,406
510140,2025,474
510140,2026,212
510160,2023,56
510160,2024,64
510160,2025,120
510160,2026,20
510170,2023,448
510170,2024,427
510170,2025,496
510170,2026,213
510180,2023,1096
510180,2024,1049
510180,2025,1461
510180,2026,519
510183,2025,35
510183,2026,43
510185,2023,87
510185,2024,106
510185,2025,100
510185,2026,49
510190,2023,317
510190,2024,310
510190,2025,332
510190,2026,159
510250,2023,1370
510250,2024,1254
510250,2025,2503
510250,2026,635
510260,2023,478
510260,2024,451
510260,2025,556
510260,2026,209
510263,2023,950
510263,2024,824
510263,2025,1115
510263,2026,454
510267,2023,741
510267,2024,720
510267,2025,942
510267,2026,375
510268,2023,148
510268,2024,139
510268,2025,196
510268,2026,85
510269,2023,64
510269,2024,57
510269,2025,57
510269,2026,35
510270,2023,486
510270,2024,486
510270,2025,501
510270,2026,248
510279,2023,136
510279,2024,105
510279,2025,140
510279,2026,67
510285,2023,105
510285,2024,92
510285,2025,101
510285,2026,44
510300,2023,231
510300,2024,227
510300,2025,459
510300,2026,125
510305,2023,164
510305,2024,145
510305,2025,288
510305,2026,69
510310,2023,70
510310,2024,72
510310,2025,67
510310,2026,40
510320,2023,495
510320,2024,455
510320,2025,867
510320,2026,206
510325,2023,407
510325,2024,382
510325,2025,397
510325,2026,200
510330,2023,298
510330,2024,278
510330,2025,411
510330,2026,135
510335,2023,728
510335,2024,709
510335,2025,800
510335,2026,356
510336,2023,57
510336,2024,56
510336,2025,83
510336,2026,27
510337,2023,180
510337,2024,142
510337,2025,132
510337,2026,70
510340,2023,9395
510340,2024,9063
510340,2025,18311
510340,2026,4523
510343,2023,59
510343,2024,62
510343,2025,123
510343,2026,26
510345,2023,95
510345,2024,99
510345,2025,140
510345,2026,50
510350,2023,380
510350,2024,350
510350,2025,689
510350,2026,181
510360,2023,83
510360,2024,67
510360,2025,133
510360,2026,46
510370,2023,212
510370,2024,166
510370,2025,381
510370,2026,84
510380,2023,30
510380,2024,39
510380,2025,39
510380,2026,8
510385,2023,128
510385,2024,159
510385,2025,175
510385,2026,82
510390,2023,129
510390,2024,109
510390,2025,230
510390,2026,77
510395,2023,35
510395,2024,26
510395,2025,61
510395,2026,17
510410,2023,559
510410,2024,552
510410,2025,679
510410,2026,292
510420,2023,115
510420,2024,80
510420,2025,142
510420,2026,47
510450,2023,28
510450,2024,23
510450,2025,47
510450,2026,9
510452,2023,149
510452,2024,140
510452,2025,290
510452,2026,66
510454,2023,102
510454,2024,84
510454,2025,200
510454,2026,49
510455,2023,85
510455,2024,99
510455,2025,114
510455,2026,59
510460,2023,140
510460,2024,129
510460,2025,274
510460,2026,74
510480,2023,368
510480,2024,347
510480,2025,484
510480,2026,173
510490,2023,98
510490,2024,70
510490,2025,178
510490,2026,55
510500,2023,106
510500,2024,91
510500,2025,134
510500,2026,66
510510,2023,664
510510,2024,597
510510,2025,652
510510,2026,299
510515,2023,684
510515,2024,698
510515,2025,704
510515,2026,357
510517,2023,161
510517,2024,160
510517,2025,161
510517,2026,91
510520,2023,103
510520,2024,108
510520,2025,160
510520,2026,55
510523,2023,76
510523,2024,58
510523,2025,138
510523,2026,31
510525,2023,1566
510525,2024,1487
510525,2025,1575
510525,2026,732
510530,2023,37
510530,2024,32
510530,2025,26
510530,2026,21
510550,2023,283
510550,2024,234
510550,2025,264
510550,2026,93
510558,2023,216
510558,2024,183
510558,2025,377
510558,2026,122
510560,2023,461
510560,2024,360
510560,2025,394
510560,2026,185
510562,2023,415
510562,2024,375
510562,2025,485
510562,2026,199
510590,2023,243
510590,2024,229
510590,2025,363
510590,2026,142
510600,2023,77
510600,2024,62
510600,2025,127
510600,2026,35
510610,2023,122
510610,2024,105
510610,2025,192
510610,2026,63
510615,2023,211
510615,2024,170
510615,2025,179
510615,2026,92
510617,2023,125
510617,2024,108
510617,2025,127
510617,2026,60
510618,2023,104
510618,2024,97
510618,2025,124
510618,2026,51
510619,2023,68
510619,2024,57
510619,2025,144
510619,2026,35
510620,2023,45
510620,2024,50
510620,2025,74
510620,2026,33
510621,2023,164
510621,2024,188
510621,2025,286
510621,2026,68
510622,2023,1027
510622,2024,1079
510622,2025,1268
510622,2026,580
510623,2023,283
510623,2024,271
510623,2025,334
510623,2026,105
510624,2023,226
510624,2024,208
510624,2025,299
510624,2026,79
510625,2023,323
510625,2024,304
510625,2025,321
510625,2026,168
510626,2023,110
510626,2024,90
510626,2025,113
510626,2026,60
510627,2023,44
510627,2024,46
510627,2025,53
510627,2026,22
510628,2023,109
510628,2024,90
510628,2025,112
510628,2026,41
510629,2023,168
510629,2024,155
510629,2025,150
510629,2026,68
510630,2023,451
