ano_evento_v17,semana_epi_v17,sorogrupo,casos
2007,1,*Em Branco,1
2007,5,C,1
2007,6,*Em Branco,2
2007,12,*Em Branco,1
2007,15,*Em Branco,1
2007,16,*Em Branco,1
2007,18,*Em Branco,1
2007,23,*Em Branco,1
2007,25,*Em Branco,1
2007,26,*Em Branco,1
2007,28,*Em Branco,1
2007,28,B,1
2007,29,*Em Branco,1
2007,37,*Em Branco,1
2007,38,*Em Branco,1
2007,49,W,1
2008,3,*Em Branco,1
2008,8,*Em Branco,1
2008,11,B,1
2008,18,B,1
2008,20,A,1
2008,26,*Em Branco,1
2008,43,*Em Branco,1
2008,48,*Em Branco,1
2008,50,W,1
2009,2,*Em Branco,1
2009,3,W,1
2009,4,*Em Branco,1
2009,5,*Em Branco,1
2009,13,C,1
2009,14,*Em Branco,1
2009,16,C,1
2009,19,*Em Branco,1
2009,22,*Em Branco,1
2009,27,*Em Branco,1
2009,30,C,1
2009,31,*Em Branco,4
2009,32,*Em Branco,1
2009,33,*Em Branco,2
2009,35,*Em Branco,1
2009,45,C,1
2009,50,C,1
2009,53,*Em Branco,1
2010,10,*Em Branco,1
2010,12,*Em Branco,1
2010,17,*Em Branco,1
2010,19,*Em Branco,1
2010,20,*Em Branco,1
2010,21,*Em Branco,1
2010,23,*Em Branco,1
2010,24,*Em Branco,1
2010,25,C,1
2010,30,*Em Branco,1
2010,36,*Em Branco,1
2010,36,C,1
2010,37,*Em Branco,1
2010,37,C,1
2010,38,*Em Branco,2
2010,39,B,1
2010,42,*Em Branco,1
2010,44,*Em Branco,1
2010,45,*Em Branco,1
2010,47,*Em Branco,1
2010,49,A,1
2010,51,*Em Branco,2
2011,2,C,2
2011,3,B,1
2011,6,*Em Branco,1
2011,10,*Em Branco,1
2011,12,*Em Branco,1
2011,12,B,1
2011,14,C,1
2011,15,*Em Branco,1
2011,19,*Em Branco,1
2011,20,*Em Branco,1
2011,20,C,1
2011,23,*Em Branco,1
2011,25,*Em Branco,1
2011,25,B,1
2011,27,*Em Branco,1
2011,33,B,1
2011,33,C,1
2011,35,*Em Branco,1
2011,36,*Em Branco,1
2011,37,*Em Branco,1
2011,37,B,1
2011,39,B,1
2011,39,C,1
2011,43,*Em Branco,1
2011,49,*Em Branco,1
2011,51,*Em Branco,2
2011,52,C,1
2012,1,*Em Branco,2
2012,1,B,1
2012,1,C,1
2012,4,B,2
2012,8,*Em Branco,1
2012,9,*Em Branco,1
2012,13,*Em Branco,1
2012,15,C,1
2012,17,*Em Branco,1
2012,18,B,1
2012,19,W,1
2012,20,*Em Branco,1
2012,20,C,1
2012,21,*Em Branco,1
2012,21,B,1
2012,23,*Em Branco,1
2012,27,*Em Branco,1
2012,28,W,1
