escopo,recorte,elegiveis_dm_hib,quimio_realizada_n,quimio_com_lead_time,quimio_le_2d_n,pct_quimio_le_2d_entre_elegiveis,pct_quimio_le_2d_entre_com_data,pct_quimio_realizada,p50_quimio_dias,p90_quimio_dias
ESTADUAL,MATO GROSSO,299,219,188,160,53.51170568561873,85.1063829787234,73.24414715719062,1.0,4.0
REGIONAL,AGUA BOA,10,5,4,3,30.0,75.0,50.0,1.0,3.4000000000000004
REGIONAL,ALTA FLORESTA,11,9,9,7,63.63636363636363,77.77777777777779,81.81818181818183,1.0,5.000000000000001
REGIONAL,BARRA DO GARCAS,19,9,8,4,21.052631578947366,50.0,47.368421052631575,1.5,6.3
REGIONAL,CACERES,15,10,8,7,46.666666666666664,87.5,66.66666666666666,0.0,2.499999999999999
REGIONAL,COLIDER,2,0,0,0,0.0,,0.0,,
REGIONAL,CUIABA,94,74,68,60,63.829787234042556,88.23529411764706,78.72340425531915,1.0,3.0
REGIONAL,DIAMANTINO,5,3,3,2,40.0,66.66666666666666,60.0,2.0,2.8
REGIONAL,JUARA,3,2,1,1,33.33333333333333,100.0,66.66666666666666,0.0,0.0
REGIONAL,JUINA,6,4,3,2,33.33333333333333,66.66666666666666,66.66666666666666,1.0,10.600000000000001
REGIONAL,PEIXOTO DE AZEVEDO,4,1,1,0,0.0,0.0,25.0,6.0,6.0
REGIONAL,PONTES E LACERDA,3,2,2,2,66.66666666666666,100.0,66.66666666666666,0.0,0.0
REGIONAL,PORTO ALEGRE DO NORTE,2,2,2,2,100.0,100.0,100.0,1.0,1.8
REGIONAL,RONDONOPOLIS,49,35,30,26,53.06122448979592,86.66666666666667,71.42857142857143,0.0,5.100000000000001
REGIONAL,SAO FELIX DO ARAGUAIA,0,0,0,0,,,,,
REGIONAL,SINOP,68,55,44,39,57.35294117647059,88.63636363636364,80.88235294117648,0.0,2.700000000000003
REGIONAL,TANGARA DA SERRA,8,8,5,5,62.5,100.0,100.0,0.0,1.0
ANO,1966,0,0,0,0,,,,,
ANO,1975,0,0,0,0,,,,,
ANO,1976,0,0,0,0,,,,,
ANO,1980,0,0,0,0,,,,,
ANO,2000,0,0,0,0,,,,,
ANO,2002,0,0,0,0,,,,,
ANO,2004,0,0,0,0,,,,,
ANO,2006,0,0,0,0,,,,,
ANO,2007,20,15,12,9,45.0,75.0,75.0,1.5,6.800000000000001
ANO,2008,11,8,6,5,45.45454545454545,83.33333333333334,72.72727272727273,1.0,4.0
ANO,2009,22,16,13,11,50.0,84.61538461538461,72.72727272727273,1.0,9.000000000000007
ANO,2010,27,22,19,17,62.96296296296296,89.47368421052632,81.48148148148148,1.0,2.3999999999999986
ANO,2011,32,23,20,19,59.375,95.0,71.875,1.0,2.0
ANO,2012,38,32,27,22,57.89473684210527,81.48148148148148,84.21052631578947,0.0,3.0
ANO,2013,34,25,22,20,58.82352941176471,90.9090909090909,73.52941176470588,1.0,2.0
ANO,2014,18,14,13,8,44.44444444444444,61.53846153846154,77.77777777777779,2.0,6.0
ANO,2015,18,12,11,11,61.111111111111114,100.0,66.66666666666666,1.0,2.0
ANO,2016,12,10,8,6,50.0,75.0,83.33333333333334,0.0,3.8999999999999995
ANO,2017,14,13,12,11,78.57142857142857,91.66666666666666,92.85714285714286,0.0,1.9000000000000004
ANO,2018,10,6,5,5,50.0,100.0,60.0,1.0,1.0
ANO,2019,8,6,5,5,62.5,100.0,75.0,0.0,1.2000000000000002
ANO,2020,3,3,2,2,66.66666666666666,100.0,100.0,0.5,0.9
ANO,2021,4,0,0,0,0.0,,0.0,,
ANO,2022,5,3,2,2,40.0,100.0,60.0,2.0,2.0
ANO,2023,9,2,2,2,22.22222222222222,100.0,22.22222222222222,0.0,0.0
ANO,2024,2,2,2,1,50.0,50.0,100.0,1.5,2.7
ANO,2025,8,4,4,2,25.0,50.0,50.0,4.0,24.900000000000006
ANO,2026,4,3,3,2,50.0,66.66666666666666,75.0,1.0,5.0
