variavel,desfecho,n,categorias,teste,p_value,estatistica_chi2,cramers_v,interpretacao_estatistica,relevancia_pratica
FaixaEtaria,obito_meningite_v17,5944,15,Qui-quadrado/Fisher conforme aplicável,4.712178578849703e-12,84.179879012756,0.119004873830514,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,"Cramér's V <0,1 fraco; 0,1–0,3 moderado; >0,3 forte."
FaixaEtaria,hospitalizacao_v17,5944,15,Qui-quadrado/Fisher conforme aplicável,0.3471585977102665,15.464475317411978,0.051006813661916284,p=0.3472: não há evidência estatística suficiente ao nível de 5%.,"Cramér's V <0,1 fraco; 0,1–0,3 moderado; >0,3 forte."
FaixaEtaria,confirmado_v17,5944,15,Qui-quadrado/Fisher conforme aplicável,3.0336884058782026e-11,79.83687543416718,0.11589437706067174,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,"Cramér's V <0,1 fraco; 0,1–0,3 moderado; >0,3 forte."
SexoPaciente,obito_meningite_v17,5944,3,Qui-quadrado/Fisher conforme aplicável,0.5605531208529317,1.157662533828867,0.013955698832999132,p=0.5606: não há evidência estatística suficiente ao nível de 5%.,"Cramér's V <0,1 fraco; 0,1–0,3 moderado; >0,3 forte."
SexoPaciente,hospitalizacao_v17,5944,3,Qui-quadrado/Fisher conforme aplicável,0.6893486945213708,0.7440160962966061,0.01118798216249044,p=0.6893: não há evidência estatística suficiente ao nível de 5%.,"Cramér's V <0,1 fraco; 0,1–0,3 moderado; >0,3 forte."
SexoPaciente,confirmado_v17,5944,3,Qui-quadrado/Fisher conforme aplicável,0.003184061981904859,11.499195089021624,0.0439839593012177,p=0.0032: diferença/associação estatisticamente significativa ao nível de 5%.,"Cramér's V <0,1 fraco; 0,1–0,3 moderado; >0,3 forte."
RacaPaciente,obito_meningite_v17,5944,7,Qui-quadrado/Fisher conforme aplicável,0.10769439339607416,10.429422186242997,0.04188810598473499,p=0.1077: não há evidência estatística suficiente ao nível de 5%.,"Cramér's V <0,1 fraco; 0,1–0,3 moderado; >0,3 forte."
RacaPaciente,hospitalizacao_v17,5944,7,Qui-quadrado/Fisher conforme aplicável,0.0009571484095449957,22.56228639684424,0.06161013401379041,p=0.0010: diferença/associação estatisticamente significativa ao nível de 5%.,"Cramér's V <0,1 fraco; 0,1–0,3 moderado; >0,3 forte."
RacaPaciente,confirmado_v17,5944,7,Qui-quadrado/Fisher conforme aplicável,9.018571632113685e-09,48.58697708049023,0.09041084731562977,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,"Cramér's V <0,1 fraco; 0,1–0,3 moderado; >0,3 forte."
Escolaridade,obito_meningite_v17,5944,12,Qui-quadrado/Fisher conforme aplicável,3.813126739601081e-09,62.07184810724476,0.10218989141631932,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,"Cramér's V <0,1 fraco; 0,1–0,3 moderado; >0,3 forte."
Escolaridade,hospitalizacao_v17,5944,12,Qui-quadrado/Fisher conforme aplicável,0.3517555867749998,12.159755044864353,0.045229627681413115,p=0.3518: não há evidência estatística suficiente ao nível de 5%.,"Cramér's V <0,1 fraco; 0,1–0,3 moderado; >0,3 forte."
Escolaridade,confirmado_v17,5944,12,Qui-quadrado/Fisher conforme aplicável,0.009970819224352034,24.733681312486468,0.06450672301144572,p=0.0100: diferença/associação estatisticamente significativa ao nível de 5%.,"Cramér's V <0,1 fraco; 0,1–0,3 moderado; >0,3 forte."
regional_v17,obito_meningite_v17,5944,16,Qui-quadrado/Fisher conforme aplicável,0.0609055766546914,24.253886911962365,0.06387799466074308,p=0.0609: não há evidência estatística suficiente ao nível de 5%.,"Cramér's V <0,1 fraco; 0,1–0,3 moderado; >0,3 forte."
regional_v17,hospitalizacao_v17,5944,16,Qui-quadrado/Fisher conforme aplicável,3.685829709524487e-09,70.46837986724076,0.10888241452598396,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,"Cramér's V <0,1 fraco; 0,1–0,3 moderado; >0,3 forte."
regional_v17,confirmado_v17,5944,16,Qui-quadrado/Fisher conforme aplicável,1.6063466439632943e-96,497.85549807605423,0.28940914715027355,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,"Cramér's V <0,1 fraco; 0,1–0,3 moderado; >0,3 forte."
classificacao_agrupada_v17,obito_meningite_v17,5944,9,Qui-quadrado/Fisher conforme aplicável,3.2990232258478135e-131,631.8586552672389,0.32603976321668415,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,"Cramér's V <0,1 fraco; 0,1–0,3 moderado; >0,3 forte."
classificacao_agrupada_v17,hospitalizacao_v17,5944,9,Qui-quadrado/Fisher conforme aplicável,1.0173328402774389e-90,443.28089934465964,0.27308642289864576,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,"Cramér's V <0,1 fraco; 0,1–0,3 moderado; >0,3 forte."
classificacao_agrupada_v17,confirmado_v17,5944,9,Qui-quadrado/Fisher conforme aplicável,0.0,5190.580051603762,0.9344768485189241,p=0.0000: diferença/associação estatisticamente significativa ao nível de 5%.,"Cramér's V <0,1 fraco; 0,1–0,3 moderado; >0,3 forte."
